split,arm,synthetic_audit,coexisting,cost,pending_cost,technician_hours,engineer_hours,equipment_hours,nominal_hours,complete,correctly_complete,unresolved_count,false_absences,false_positives,missed_faults,missed_coexisting_faults,incorrectly_complete,review_pending,attempts,inconclusive_attempts,mechanism_evidence_complete,battery_attempted,audit_complete
train,mock,False,False,1987.825907590759,751.4554455445544,4.768015676567657,5.071113861386139,11.611996699669968,34.33046204620462,0.5376402640264026,0.4836138613861386,1.6166336633663367,0.023894389438943894,0.06665016501650164,0.21765676567656767,0.0,0.054026402640264024,0.46235973597359736,3.7296039603960396,0.5374257425742575,0.5376402640264026,0.0,0.0
train,mock,False,True,1988.84375,726.75,4.79171875,5.0525,11.5584375,34.8121875,0.540625,0.48375,1.571875,0.044375,0.06375,0.45375,0.45375,0.056875,0.459375,3.62375,0.511875,0.540625,0.0,0.0
train,mock,True,False,1796.0,1074.0,3.92,4.96,10.88,26.61,0.3606666666666667,0.33266666666666667,1.9606666666666666,0.025666666666666667,0.049666666666666665,0.22566666666666665,0.0,0.028,0.6393333333333333,4.403333333333333,0.7796666666666666,0.36633333333333334,0.4033333333333333,0.3606666666666667
train,mock,True,True,1952.0,918.0,4.44,5.22,11.66,30.77,0.35,0.34,1.63,0.03,0.06,0.17,0.17,0.01,0.65,4.49,0.75,0.45,0.49,0.35
train,prevalence,False,False,1988.0305280528053,750.8910891089109,4.768997524752475,5.0711551155115515,11.612120462046205,34.34281353135314,0.537920792079208,0.4836138613861386,1.6157095709570957,0.023894389438943894,0.06699669966996699,0.21760726072607262,0.0,0.05430693069306931,0.4620792079207921,3.7281188118811883,0.5371287128712872,0.537920792079208,0.0,0.0
train,prevalence,False,True,1991.84375,723.375,4.80203125,5.0571875,11.5725,34.899375,0.541875,0.48375,1.566875,0.044375,0.065,0.45375,0.45375,0.058125,0.458125,3.62375,0.511875,0.541875,0.0,0.0
train,prevalence,True,False,1796.0,1074.0,3.92,4.96,10.88,26.61,0.3606666666666667,0.33266666666666667,1.9606666666666666,0.025666666666666667,0.049666666666666665,0.22566666666666665,0.0,0.028,0.6393333333333333,4.403333333333333,0.7796666666666666,0.36633333333333334,0.4033333333333333,0.3606666666666667
train,prevalence,True,True,1952.0,918.0,4.44,5.22,11.66,30.77,0.35,0.34,1.63,0.03,0.06,0.17,0.17,0.01,0.65,4.49,0.75,0.45,0.49,0.35
validation,ct_first,False,False,1998.1068376068376,739.3846153846154,4.803525641025641,5.087008547008547,11.658675213675213,34.638675213675214,0.542991452991453,0.4847863247863248,1.6007692307692307,0.027008547008547008,0.06863247863247864,0.225982905982906,0.0,0.05820512820512821,0.457008547008547,3.727863247863248,0.5394871794871795,0.542991452991453,0.0,0.0
validation,ct_first,False,True,2107.25,630.0,5.17375,5.2625,12.21,37.56,0.595,0.52,1.33,0.055,0.07,0.435,0.435,0.075,0.405,3.775,0.42,0.595,0.0,0.0
validation,ct_first,True,False,1831.142857142857,1038.857142857143,4.037142857142857,5.018571428571429,11.055714285714286,27.547142857142855,0.37285714285714283,0.3485714285714286,1.9157142857142857,0.01,0.054285714285714284,0.19714285714285715,0.0,0.024285714285714285,0.6271428571428571,4.422857142857143,0.7428571428571429,0.3757142857142857,0.4228571428571429,0.37285714285714283
validation,full,False,False,1998.1068376068376,739.3846153846154,4.803525641025641,5.087008547008547,11.658675213675213,34.638675213675214,0.542991452991453,0.4847863247863248,1.6007692307692307,0.027008547008547008,0.06863247863247864,0.225982905982906,0.0,0.05820512820512821,0.457008547008547,3.727863247863248,0.5394871794871795,0.542991452991453,0.0,0.0
validation,full,False,True,2107.25,630.0,5.17375,5.2625,12.21,37.56,0.595,0.52,1.33,0.055,0.07,0.435,0.435,0.075,0.405,3.775,0.42,0.595,0.0,0.0
validation,full,True,False,1831.142857142857,1038.857142857143,4.037142857142857,5.018571428571429,11.055714285714286,27.547142857142855,0.37285714285714283,0.3485714285714286,1.9157142857142857,0.01,0.054285714285714284,0.19714285714285715,0.0,0.024285714285714285,0.6271428571428571,4.422857142857143,0.7428571428571429,0.3757142857142857,0.4228571428571429,0.37285714285714283
validation,inspection,False,False,1998.1068376068376,739.3846153846154,4.803525641025641,5.087008547008547,11.658675213675213,34.638675213675214,0.542991452991453,0.4847863247863248,1.6007692307692307,0.027008547008547008,0.06863247863247864,0.225982905982906,0.0,0.05820512820512821,0.457008547008547,3.727863247863248,0.5394871794871795,0.542991452991453,0.0,0.0
validation,inspection,False,True,2107.25,630.0,5.17375,5.2625,12.21,37.56,0.595,0.52,1.33,0.055,0.07,0.435,0.435,0.075,0.405,3.775,0.42,0.595,0.0,0.0
validation,inspection,True,False,1831.142857142857,1038.857142857143,4.037142857142857,5.018571428571429,11.055714285714286,27.547142857142855,0.37285714285714283,0.3485714285714286,1.9157142857142857,0.01,0.054285714285714284,0.19714285714285715,0.0,0.024285714285714285,0.6271428571428571,4.422857142857143,0.7428571428571429,0.3757142857142857,0.4228571428571429,0.37285714285714283
validation,manufacturing,False,False,1998.1068376068376,739.3846153846154,4.803525641025641,5.087008547008547,11.658675213675213,34.638675213675214,0.542991452991453,0.4847863247863248,1.6007692307692307,0.027008547008547008,0.06863247863247864,0.225982905982906,0.0,0.05820512820512821,0.457008547008547,3.727863247863248,0.5394871794871795,0.542991452991453,0.0,0.0
validation,manufacturing,False,True,2107.25,630.0,5.17375,5.2625,12.21,37.56,0.595,0.52,1.33,0.055,0.07,0.435,0.435,0.075,0.405,3.775,0.42,0.595,0.0,0.0
validation,manufacturing,True,False,1831.142857142857,1038.857142857143,4.037142857142857,5.018571428571429,11.055714285714286,27.547142857142855,0.37285714285714283,0.3485714285714286,1.9157142857142857,0.01,0.054285714285714284,0.19714285714285715,0.0,0.024285714285714285,0.6271428571428571,4.422857142857143,0.7428571428571429,0.3757142857142857,0.4228571428571429,0.37285714285714283
validation,mock,False,False,1998.465811965812,740.6153846153846,4.803397435897436,5.088931623931624,11.664444444444445,34.617777777777775,0.5423931623931624,0.4847863247863248,1.6027350427350426,0.027008547008547008,0.06786324786324786,0.22623931623931623,0.0,0.05760683760683761,0.4576068376068376,3.735128205128205,0.5403418803418804,0.5423931623931624,0.0,0.0
validation,mock,False,True,2107.25,630.0,5.17375,5.2625,12.21,37.56,0.595,0.52,1.33,0.055,0.07,0.435,0.435,0.075,0.405,3.775,0.42,0.595,0.0,0.0
validation,mock,True,False,1831.142857142857,1038.857142857143,4.037142857142857,5.018571428571429,11.055714285714286,27.547142857142855,0.37285714285714283,0.3485714285714286,1.9157142857142857,0.01,0.054285714285714284,0.19714285714285715,0.0,0.024285714285714285,0.6271428571428571,4.422857142857143,0.7428571428571429,0.3757142857142857,0.4228571428571429,0.37285714285714283
validation,prevalence,False,False,1998.1068376068376,739.3846153846154,4.803525641025641,5.087008547008547,11.658675213675213,34.638675213675214,0.542991452991453,0.4847863247863248,1.6007692307692307,0.027008547008547008,0.06863247863247864,0.225982905982906,0.0,0.05820512820512821,0.457008547008547,3.727863247863248,0.5394871794871795,0.542991452991453,0.0,0.0
validation,prevalence,False,True,2107.25,630.0,5.17375,5.2625,12.21,37.56,0.595,0.52,1.33,0.055,0.07,0.435,0.435,0.075,0.405,3.775,0.42,0.595,0.0,0.0
validation,prevalence,True,False,1831.142857142857,1038.857142857143,4.037142857142857,5.018571428571429,11.055714285714286,27.547142857142855,0.37285714285714283,0.3485714285714286,1.9157142857142857,0.01,0.054285714285714284,0.19714285714285715,0.0,0.024285714285714285,0.6271428571428571,4.422857142857143,0.7428571428571429,0.3757142857142857,0.4228571428571429,0.37285714285714283
