stack_id,split,final_test_pass,final_test_fail,defect_type,defect_stage,label_available_time_utc,reliability_pass,reliability_sampled
S000115,train,1,0,none,none,2025-01-08T12:10:00Z,,0
S000116,train,1,0,none,none,2025-01-08T12:20:00Z,,0
S000117,train,1,0,none,none,2025-01-08T12:30:00Z,1,1
S000118,train,1,0,none,none,2025-01-08T12:40:00Z,,0
S000119,train,1,0,none,none,2025-01-08T12:50:00Z,,0
S000120,train,1,0,none,none,2025-01-08T13:00:00Z,,0
S000121,train,1,0,none,none,2025-01-08T13:10:00Z,1,1
S000122,train,1,0,none,none,2025-01-08T13:20:00Z,,0
S000123,train,1,0,none,none,2025-01-08T13:30:00Z,,0
S000124,train,1,0,none,none,2025-01-08T13:40:00Z,1,1
S000125,train,0,1,die_crack,handling,2025-01-08T13:50:00Z,,0
S000126,train,1,0,none,none,2025-01-08T14:00:00Z,1,1
S000127,train,1,0,none,none,2025-01-08T14:10:00Z,1,1
S000128,train,1,0,none,none,2025-01-08T15:40:00Z,,0
S000129,train,1,0,none,none,2025-01-08T15:50:00Z,1,1
S000130,train,1,0,none,none,2025-01-08T16:00:00Z,,0
S000131,train,1,0,none,none,2025-01-08T16:10:00Z,,0
S000132,train,1,0,none,none,2025-01-08T16:20:00Z,1,1
S000133,train,1,0,none,none,2025-01-08T16:30:00Z,,0
S000134,train,1,0,none,none,2025-01-08T16:40:00Z,,0
S000135,train,1,0,none,none,2025-01-08T16:50:00Z,1,1
S000136,train,1,0,none,none,2025-01-08T17:00:00Z,,0
S000137,train,0,1,underfill_void,molding,2025-01-08T17:10:00Z,,0
S000138,train,1,0,none,none,2025-01-08T17:20:00Z,,0
S000139,train,1,0,none,none,2025-01-08T17:30:00Z,,0
S000140,train,1,0,none,none,2025-01-08T17:40:00Z,1,1
S000141,train,1,0,none,none,2025-01-08T17:50:00Z,1,1
S000142,train,1,0,none,none,2025-01-08T18:00:00Z,,0
S000143,train,1,0,none,none,2025-01-08T18:10:00Z,,0
S000144,train,0,1,delamination,molding,2025-01-08T18:20:00Z,,0
S000145,train,1,0,none,none,2025-01-08T18:30:00Z,,0
S000146,train,0,1,microbump_open_bridge,reflow,2025-01-08T18:40:00Z,,0
S000147,train,1,0,none,none,2025-01-08T18:50:00Z,,0
S000148,train,1,0,none,none,2025-01-08T19:00:00Z,1,1
S000149,train,1,0,none,none,2025-01-08T19:10:00Z,,0
S000150,train,0,1,underfill_void,molding,2025-01-08T19:20:00Z,,0
S000151,train,1,0,none,none,2025-01-08T19:30:00Z,,0
S000152,train,1,0,none,none,2025-01-08T19:40:00Z,,0
S000153,train,1,0,none,none,2025-01-08T19:50:00Z,,0
S000154,train,1,0,none,none,2025-01-08T20:00:00Z,,0
S000155,train,1,0,none,none,2025-01-08T20:10:00Z,,0
S000156,train,1,0,none,none,2025-01-08T20:20:00Z,,0
S000157,train,1,0,none,none,2025-01-08T20:30:00Z,,0
S000158,train,1,0,none,none,2025-01-08T20:40:00Z,,0
S000159,train,1,0,none,none,2025-01-08T20:50:00Z,,0
S000160,train,1,0,none,none,2025-01-08T21:00:00Z,,0
S000161,train,1,0,none,none,2025-01-08T21:10:00Z,,0
S000162,train,1,0,none,none,2025-01-08T21:20:00Z,,0
S000163,train,0,1,multiple,multiple,2025-01-08T21:30:00Z,,0
S000164,train,1,0,none,none,2025-01-08T21:40:00Z,1,1
S000165,train,1,0,none,none,2025-01-08T21:50:00Z,,0
S000166,train,1,0,none,none,2025-01-08T22:00:00Z,1,1
S000167,train,1,0,none,none,2025-01-08T22:10:00Z,1,1
S000168,train,1,0,none,none,2025-01-08T22:20:00Z,0,1
S000169,train,1,0,none,none,2025-01-08T22:30:00Z,,0
S000170,train,1,0,none,none,2025-01-08T22:40:00Z,1,1
S000171,train,1,0,none,none,2025-01-08T22:50:00Z,1,1
S000172,train,1,0,none,none,2025-01-08T23:00:00Z,,0
S000173,train,1,0,none,none,2025-01-08T23:10:00Z,,0
S000174,train,1,0,none,none,2025-01-08T23:20:00Z,,0
S000175,train,1,0,none,none,2025-01-08T23:30:00Z,,0
S000176,train,1,0,none,none,2025-01-08T23:40:00Z,,0
S000177,train,1,0,none,none,2025-01-08T23:50:00Z,,0
S000178,train,1,0,none,none,2025-01-09T00:00:00Z,,0
S000179,train,1,0,none,none,2025-01-09T00:10:00Z,,0
S000180,train,1,0,none,none,2025-01-09T00:20:00Z,,0
S000181,train,1,0,none,none,2025-01-09T00:30:00Z,1,1
S000182,train,1,0,none,none,2025-01-09T00:40:00Z,1,1
S000183,train,1,0,none,none,2025-01-09T00:50:00Z,,0
S000184,train,1,0,none,none,2025-01-09T01:00:00Z,,0
S000185,train,1,0,none,none,2025-01-09T01:10:00Z,,0
S000186,train,1,0,none,none,2025-01-09T01:20:00Z,,0
S000187,train,1,0,none,none,2025-01-09T01:30:00Z,,0
S000188,train,1,0,none,none,2025-01-09T01:40:00Z,,0
S000189,train,1,0,none,none,2025-01-09T01:50:00Z,,0
S000190,train,1,0,none,none,2025-01-09T02:00:00Z,1,1
S000191,train,1,0,none,none,2025-01-09T02:10:00Z,,0
S000192,train,1,0,none,none,2025-01-09T03:40:00Z,,0
S000193,train,1,0,none,none,2025-01-09T03:50:00Z,,0
S000194,train,1,0,none,none,2025-01-09T04:00:00Z,,0
S000195,train,1,0,none,none,2025-01-09T04:10:00Z,1,1
S000196,train,1,0,none,none,2025-01-09T04:20:00Z,,0
S000197,train,1,0,none,none,2025-01-09T04:30:00Z,,0
S000198,train,1,0,none,none,2025-01-09T04:40:00Z,,0
S000199,train,1,0,none,none,2025-01-09T04:50:00Z,,0
S000200,train,1,0,none,none,2025-01-09T05:00:00Z,,0
S000201,train,1,0,none,none,2025-01-09T05:10:00Z,,0
S000202,train,0,1,microbump_open_bridge,reflow,2025-01-09T05:20:00Z,,0
S000203,train,0,1,microbump_open_bridge,reflow,2025-01-09T05:30:00Z,,0
S000204,train,1,0,none,none,2025-01-09T05:40:00Z,,0
S000205,train,1,0,none,none,2025-01-09T05:50:00Z,,0
S000206,train,1,0,none,none,2025-01-09T06:00:00Z,,0
S000207,train,1,0,none,none,2025-01-09T06:10:00Z,1,1
S000208,train,1,0,none,none,2025-01-09T06:20:00Z,,0
S000209,train,1,0,none,none,2025-01-09T06:30:00Z,,0
S000210,train,1,0,none,none,2025-01-09T06:40:00Z,,0
S000211,train,1,0,none,none,2025-01-09T06:50:00Z,,0
S000212,train,1,0,none,none,2025-01-09T07:00:00Z,1,1
S000213,train,1,0,none,none,2025-01-09T07:10:00Z,,0
S000214,train,1,0,none,none,2025-01-09T07:20:00Z,1,1
S000215,train,1,0,none,none,2025-01-09T07:30:00Z,,0
S000216,train,1,0,none,none,2025-01-09T07:40:00Z,,0
S000217,train,1,0,none,none,2025-01-09T07:50:00Z,,0
S000218,train,1,0,none,none,2025-01-09T08:00:00Z,,0
S000219,train,1,0,none,none,2025-01-09T08:10:00Z,,0
S000220,train,1,0,none,none,2025-01-09T08:20:00Z,,0
S000221,train,1,0,none,none,2025-01-09T08:30:00Z,,0
S000222,train,1,0,none,none,2025-01-09T08:40:00Z,,0
S000223,train,1,0,none,none,2025-01-09T08:50:00Z,,0
S000224,train,1,0,none,none,2025-01-09T09:00:00Z,,0
S000225,train,1,0,none,none,2025-01-09T09:10:00Z,,0
S000226,train,1,0,none,none,2025-01-09T09:20:00Z,,0
S000227,train,1,0,none,none,2025-01-09T09:30:00Z,,0
S000228,train,1,0,none,none,2025-01-09T09:40:00Z,,0
S000229,train,1,0,none,none,2025-01-09T09:50:00Z,,0
S000230,train,1,0,none,none,2025-01-09T10:00:00Z,,0
S000231,train,0,1,warpage,assembly,2025-01-09T10:10:00Z,,0
S000232,train,1,0,none,none,2025-01-09T10:20:00Z,,0
S000233,train,1,0,none,none,2025-01-09T10:30:00Z,,0
S000234,train,1,0,none,none,2025-01-09T10:40:00Z,1,1
S000235,train,1,0,none,none,2025-01-09T10:50:00Z,,0
S000236,train,0,1,tsv_open_short,tsv_or_interconnect,2025-01-09T11:00:00Z,,0
S000237,train,1,0,none,none,2025-01-09T11:10:00Z,,0
S000238,train,1,0,none,none,2025-01-09T11:20:00Z,,0
S000239,train,1,0,none,none,2025-01-09T11:30:00Z,1,1
S000240,train,1,0,none,none,2025-01-09T11:40:00Z,,0
S000241,train,1,0,none,none,2025-01-09T11:50:00Z,1,1
S000242,train,1,0,none,none,2025-01-09T12:00:00Z,,0
S000243,train,1,0,none,none,2025-01-09T12:10:00Z,,0
S000244,train,1,0,none,none,2025-01-09T12:20:00Z,,0
S000245,train,1,0,none,none,2025-01-09T12:30:00Z,,0
S000246,train,1,0,none,none,2025-01-09T12:40:00Z,1,1
S000247,train,1,0,none,none,2025-01-09T12:50:00Z,,0
S000248,train,1,0,none,none,2025-01-09T13:00:00Z,,0
S000249,train,1,0,none,none,2025-01-09T13:10:00Z,,0
S000250,train,1,0,none,none,2025-01-09T13:20:00Z,,0
S000251,train,1,0,none,none,2025-01-09T13:30:00Z,1,1
S000252,train,1,0,none,none,2025-01-09T13:40:00Z,,0
S000253,train,1,0,none,none,2025-01-09T13:50:00Z,,0
S000254,train,1,0,none,none,2025-01-09T14:00:00Z,,0
S000255,train,1,0,none,none,2025-01-09T14:10:00Z,,0
S000256,train,1,0,none,none,2025-01-09T14:20:00Z,1,1
S000257,train,1,0,none,none,2025-01-09T14:30:00Z,1,1
S000258,train,1,0,none,none,2025-01-09T14:40:00Z,,0
S000259,train,1,0,none,none,2025-01-09T14:50:00Z,,0
S000260,train,1,0,none,none,2025-01-09T15:00:00Z,,0
S000261,train,1,0,none,none,2025-01-09T15:10:00Z,,0
S000262,train,1,0,none,none,2025-01-09T15:20:00Z,,0
S000263,train,1,0,none,none,2025-01-09T15:30:00Z,,0
S000264,train,1,0,none,none,2025-01-09T15:40:00Z,,0
S000265,train,1,0,none,none,2025-01-09T15:50:00Z,,0
S000266,train,1,0,none,none,2025-01-09T16:00:00Z,,0
S000267,train,1,0,none,none,2025-01-09T16:10:00Z,,0
S000268,train,1,0,none,none,2025-01-09T16:20:00Z,,0
S000269,train,0,1,microbump_open_bridge,reflow,2025-01-09T16:30:00Z,,0
S000270,train,0,1,warpage,assembly,2025-01-09T16:40:00Z,,0
S000271,train,1,0,none,none,2025-01-09T16:50:00Z,1,1
S000272,train,1,0,none,none,2025-01-09T17:00:00Z,,0
S000273,train,1,0,none,none,2025-01-09T17:10:00Z,,0
S000274,train,0,1,underfill_void,molding,2025-01-09T17:20:00Z,,0
S000275,train,1,0,none,none,2025-01-09T17:30:00Z,1,1
S000276,train,1,0,none,none,2025-01-09T17:40:00Z,1,1
S000277,train,1,0,none,none,2025-01-09T17:50:00Z,,0
S000278,train,1,0,none,none,2025-01-09T18:00:00Z,,0
S000279,train,1,0,none,none,2025-01-09T18:10:00Z,,0
S000280,train,1,0,none,none,2025-01-09T18:20:00Z,,0
S000281,train,1,0,none,none,2025-01-09T18:30:00Z,,0
S000282,train,1,0,none,none,2025-01-09T18:40:00Z,,0
S000283,train,1,0,none,none,2025-01-09T18:50:00Z,,0
S000284,train,1,0,none,none,2025-01-09T19:00:00Z,,0
S000285,train,1,0,none,none,2025-01-09T15:40:00Z,1,1
S000286,train,1,0,none,none,2025-01-09T15:50:00Z,,0
S000287,train,1,0,none,none,2025-01-09T16:00:00Z,,0
S000288,train,1,0,none,none,2025-01-09T16:10:00Z,,0
S000289,train,1,0,none,none,2025-01-09T16:20:00Z,,0
S000290,train,1,0,none,none,2025-01-09T16:30:00Z,,0
S000291,train,1,0,none,none,2025-01-09T16:40:00Z,1,1
S000292,train,1,0,none,none,2025-01-09T16:50:00Z,1,1
S000293,train,1,0,none,none,2025-01-09T17:00:00Z,,0
S000294,train,1,0,none,none,2025-01-09T17:10:00Z,,0
S000295,train,0,1,warpage,assembly,2025-01-09T17:20:00Z,,0
S000296,train,1,0,none,none,2025-01-09T17:30:00Z,,0
S000297,train,1,0,none,none,2025-01-09T17:40:00Z,,0
S000298,train,1,0,none,none,2025-01-09T17:50:00Z,,0
S000299,train,1,0,none,none,2025-01-09T18:00:00Z,,0
S000300,train,1,0,none,none,2025-01-09T18:10:00Z,1,1
S000301,train,1,0,none,none,2025-01-09T18:20:00Z,,0
S000302,train,1,0,none,none,2025-01-09T18:30:00Z,,0
S000303,train,1,0,none,none,2025-01-09T18:40:00Z,,0
S000304,train,1,0,none,none,2025-01-09T18:50:00Z,,0
S000305,train,1,0,none,none,2025-01-09T19:00:00Z,,0
S000306,train,1,0,none,none,2025-01-09T19:10:00Z,,0
S000307,train,1,0,none,none,2025-01-09T19:20:00Z,,0
S000308,train,0,1,warpage,assembly,2025-01-09T19:30:00Z,,0
S000309,train,1,0,none,none,2025-01-09T19:40:00Z,,0
S000310,train,1,0,none,none,2025-01-09T19:50:00Z,,0
S000311,train,1,0,none,none,2025-01-09T20:00:00Z,1,1
S000312,train,0,1,dram_electrical,dram_or_base,2025-01-09T20:10:00Z,,0
S000313,train,1,0,none,none,2025-01-09T20:20:00Z,,0
S000314,train,1,0,none,none,2025-01-09T20:30:00Z,,0
S000315,train,1,0,none,none,2025-01-09T20:40:00Z,,0
S000316,train,1,0,none,none,2025-01-09T20:50:00Z,,0
S000317,train,1,0,none,none,2025-01-09T21:00:00Z,1,1
S000318,train,1,0,none,none,2025-01-09T21:10:00Z,,0
S000319,train,1,0,none,none,2025-01-09T21:20:00Z,,0
S000320,train,1,0,none,none,2025-01-09T21:30:00Z,,0
S000321,train,1,0,none,none,2025-01-09T21:40:00Z,,0
S000322,train,1,0,none,none,2025-01-09T21:50:00Z,1,1
S000323,train,1,0,none,none,2025-01-09T22:00:00Z,,0
S000324,train,1,0,none,none,2025-01-09T22:10:00Z,1,1
S000325,train,1,0,none,none,2025-01-09T22:20:00Z,,0
S000326,train,1,0,none,none,2025-01-09T22:30:00Z,,0
S000327,train,1,0,none,none,2025-01-09T22:40:00Z,,0
S000328,train,1,0,none,none,2025-01-09T22:50:00Z,,0
S000329,train,1,0,none,none,2025-01-09T23:00:00Z,,0
S000330,train,1,0,none,none,2025-01-09T23:10:00Z,,0
S000331,train,1,0,none,none,2025-01-09T23:20:00Z,,0
S000332,train,1,0,none,none,2025-01-09T23:30:00Z,,0
S000333,train,1,0,none,none,2025-01-09T23:40:00Z,,0
S000334,train,1,0,none,none,2025-01-09T23:50:00Z,,0
S000335,train,1,0,none,none,2025-01-10T00:00:00Z,,0
S000336,train,1,0,none,none,2025-01-10T00:10:00Z,,0
S000337,train,0,1,die_crack,handling,2025-01-10T00:20:00Z,,0
S000338,train,1,0,none,none,2025-01-10T00:30:00Z,,0
S000339,train,1,0,none,none,2025-01-10T00:40:00Z,,0
S000340,train,1,0,none,none,2025-01-10T00:50:00Z,,0
S000341,train,1,0,none,none,2025-01-10T01:00:00Z,,0
S000342,train,1,0,none,none,2025-01-10T01:10:00Z,,0
S000343,train,1,0,none,none,2025-01-10T01:20:00Z,,0
S000344,train,1,0,none,none,2025-01-10T01:30:00Z,,0
S000345,train,1,0,none,none,2025-01-10T01:40:00Z,1,1
S000346,train,1,0,none,none,2025-01-10T01:50:00Z,,0
S000347,train,1,0,none,none,2025-01-10T02:00:00Z,,0
S000348,train,1,0,none,none,2025-01-10T02:10:00Z,,0
S000349,train,1,0,none,none,2025-01-10T02:20:00Z,,0
S000350,train,0,1,microbump_open_bridge,reflow,2025-01-10T03:40:00Z,,0
S000351,train,1,0,none,none,2025-01-10T03:50:00Z,,0
S000352,train,1,0,none,none,2025-01-10T04:00:00Z,,0
S000353,train,1,0,none,none,2025-01-10T04:10:00Z,,0
S000354,train,1,0,none,none,2025-01-10T04:20:00Z,,0
S000355,train,1,0,none,none,2025-01-10T04:30:00Z,,0
S000356,train,1,0,none,none,2025-01-10T04:40:00Z,,0
S000357,train,1,0,none,none,2025-01-10T04:50:00Z,,0
S000358,train,1,0,none,none,2025-01-10T05:00:00Z,,0
S000359,train,1,0,none,none,2025-01-10T05:10:00Z,,0
S000360,train,1,0,none,none,2025-01-10T05:20:00Z,,0
S000361,train,1,0,none,none,2025-01-10T05:30:00Z,,0
S000362,train,1,0,none,none,2025-01-10T05:40:00Z,,0
S000363,train,1,0,none,none,2025-01-10T05:50:00Z,,0
S000364,train,1,0,none,none,2025-01-10T06:00:00Z,1,1
S000365,train,1,0,none,none,2025-01-10T06:10:00Z,,0
S000366,train,1,0,none,none,2025-01-10T06:20:00Z,,0
S000367,train,1,0,none,none,2025-01-10T06:30:00Z,,0
S000368,train,1,0,none,none,2025-01-10T06:40:00Z,,0
S000369,train,1,0,none,none,2025-01-10T06:50:00Z,,0
S000370,train,1,0,none,none,2025-01-10T07:00:00Z,,0
S000371,train,1,0,none,none,2025-01-10T07:10:00Z,,0
S000372,train,1,0,none,none,2025-01-10T07:20:00Z,,0
S000373,train,1,0,none,none,2025-01-10T07:30:00Z,,0
S000374,train,1,0,none,none,2025-01-10T07:40:00Z,,0
S000375,train,1,0,none,none,2025-01-10T07:50:00Z,1,1
S000376,train,1,0,none,none,2025-01-10T08:00:00Z,,0
S000377,train,1,0,none,none,2025-01-10T08:10:00Z,,0
S000378,train,1,0,none,none,2025-01-10T08:20:00Z,,0
S000379,train,1,0,none,none,2025-01-10T08:30:00Z,,0
S000380,train,1,0,none,none,2025-01-10T08:40:00Z,,0
S000381,train,1,0,none,none,2025-01-10T08:50:00Z,1,1
S000382,train,1,0,none,none,2025-01-10T09:00:00Z,,0
S000383,train,1,0,none,none,2025-01-10T09:10:00Z,,0
S000384,train,1,0,none,none,2025-01-10T09:20:00Z,,0
S000385,train,1,0,none,none,2025-01-10T09:30:00Z,,0
S000386,train,1,0,none,none,2025-01-10T09:40:00Z,,0
S000387,train,1,0,none,none,2025-01-10T09:50:00Z,,0
S000388,train,1,0,none,none,2025-01-10T10:00:00Z,1,1
S000389,train,1,0,none,none,2025-01-10T10:10:00Z,,0
S000390,train,1,0,none,none,2025-01-10T10:20:00Z,,0
S000391,train,1,0,none,none,2025-01-10T10:30:00Z,,0
S000392,train,1,0,none,none,2025-01-10T10:40:00Z,1,1
S000393,train,0,1,tsv_open_short,tsv_or_interconnect,2025-01-10T10:50:00Z,,0
S000394,train,1,0,none,none,2025-01-10T11:00:00Z,1,1
S000395,train,1,0,none,none,2025-01-10T11:10:00Z,,0
S000396,train,1,0,none,none,2025-01-10T11:20:00Z,,0
S000397,train,1,0,none,none,2025-01-10T11:30:00Z,1,1
S000398,train,1,0,none,none,2025-01-10T11:40:00Z,,0
S000399,train,1,0,none,none,2025-01-10T11:50:00Z,1,1
S000400,train,1,0,none,none,2025-01-10T12:00:00Z,,0
S000401,train,1,0,none,none,2025-01-10T12:10:00Z,,0
S000402,train,1,0,none,none,2025-01-10T12:20:00Z,,0
S000403,train,1,0,none,none,2025-01-10T12:30:00Z,,0
S000404,train,1,0,none,none,2025-01-10T12:40:00Z,,0
S000405,train,1,0,none,none,2025-01-10T12:50:00Z,,0
S000406,train,1,0,none,none,2025-01-10T13:00:00Z,,0
S000407,train,1,0,none,none,2025-01-10T13:10:00Z,,0
S000408,train,1,0,none,none,2025-01-10T13:20:00Z,1,1
S000409,train,1,0,none,none,2025-01-10T13:30:00Z,,0
S000410,train,1,0,none,none,2025-01-10T13:40:00Z,,0
S000411,train,1,0,none,none,2025-01-10T13:50:00Z,,0
S000412,train,1,0,none,none,2025-01-10T14:00:00Z,,0
S000413,train,1,0,none,none,2025-01-10T14:10:00Z,,0
S000414,train,1,0,none,none,2025-01-10T14:20:00Z,,0
S000415,train,1,0,none,none,2025-01-10T14:30:00Z,1,1
S000416,train,1,0,none,none,2025-01-10T14:40:00Z,1,1
S000417,train,1,0,none,none,2025-01-10T14:50:00Z,,0
S000418,train,1,0,none,none,2025-01-10T15:00:00Z,,0
S000419,train,1,0,none,none,2025-01-10T15:10:00Z,,0
S000420,train,1,0,none,none,2025-01-10T15:20:00Z,,0
S000421,train,1,0,none,none,2025-01-10T15:30:00Z,,0
S000422,train,1,0,none,none,2025-01-10T15:40:00Z,,0
S000423,train,1,0,none,none,2025-01-10T15:50:00Z,,0
S000424,train,1,0,none,none,2025-01-10T16:00:00Z,,0
S000425,train,1,0,none,none,2025-01-10T16:10:00Z,1,1
