stack_id,lot_id,split,stack_layer_count,capacity_gb,assembly_tool_id,feature_available_time_utc,stack_height_um,inter_die_gap_mean_um,max_alignment_offset_um,cumulative_die_shift_um,emc_viscosity_pa_s,molding_pressure_mpa,molding_vacuum_absolute_kpa,reflow_peak_temperature_c,time_above_liquidus_sec,heating_rate_c_sec,cure_temperature_c,cure_duration_min,underfill_void_pct,delamination_area_pct,package_warpage_um,stacks_since_tool_service,core_thickness_mean_um,core_thickness_std_um,core_warpage_max_um,core_ttv_mean_um,core_leakage_mean_ua,core_repair_count_sum,core_particle_count_sum,core_tsv_resistance_mean_mohm,core_tsv_resistance_max_mohm,core_bump_coplanarity_max_um,n_source_wafers,n_dies_with_detailed_metrology,sampled_core_tsv_void_mean_pct,sampled_core_cd_mean_nm,base_leakage_current_ua,base_die_thickness_um,final_test_fail
S000011,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T05:20:00Z,611.89857,13.044819,0.61740791,1.1143619,8.9624923,6.718796,2.070398,245.52218,54.050803,1.5370643,174.8181,57.6736,0.1799942,0.12740892,13.541148,10,31.307445,0.27229677,1.6383454,0.92449379,0.89804737,17,14,30.194031,31.631563,0.67238992,10,1,0.15140652,24.007413,1.3953508,49.717638,1
S000012,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T05:30:00Z,609.84752,12.966234,0.72733108,0.27205159,10.539562,7.0026147,2.2151277,245.27593,56.947751,1.4373872,176.1146,61.878318,0.21868853,0.067050705,13.059076,11,31.178843,0.33369743,1.4711232,0.86716199,0.80549427,22,12,30.278414,31.896292,0.8063393,12,3,0.5687771,24.101716,1.4035757,50.146561,0
S000013,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T05:40:00Z,608.48657,13.024912,0.69729059,2.1458829,10.607957,7.0867171,2.8837254,248.38125,61.422387,1.6672055,175.65499,60.525752,0.24438031,0.1288463,15.742271,12,30.970708,0.43683416,1.4708326,0.92636117,0.83745383,8,8,29.995083,31.587974,0.75047304,12,0,,,0.59781485,50.355135,0
S000014,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T05:50:00Z,612.60676,13.06116,0.54495249,0.92856321,10.605108,7.2529007,2.2797695,244.91052,59.267126,1.5248208,176.41485,59.718454,0.29918602,0.045277695,15.004132,13,31.296481,0.30484394,1.3968724,0.91234145,0.79211176,11,10,30.595373,32.397304,0.70627558,10,3,0.2256092,24.126902,1.1266496,50.065151,0
S000015,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T06:00:00Z,608.99773,12.947709,0.59273878,2.1178248,9.708364,7.3847896,2.838803,247.20715,58.661872,1.5610512,175.54745,65.469021,0.29009356,0.1913957,16.773472,14,31.131507,0.17552355,1.6673772,0.86406295,0.8261699,12,4,29.977835,31.489538,0.72976438,11,0,,,1.4317521,50.286602,0
S000016,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T06:10:00Z,608.60177,13.018839,0.76312586,0.66704452,10.999103,7.0157954,2.4751874,244.1406,51.109161,1.4613495,175.67361,59.081507,0.32938649,0.13186111,11.192158,15,31.205989,0.17530552,1.3969278,0.90902296,0.87448814,12,9,29.952162,31.775993,0.72260287,10,4,0.54009564,24.283374,1.6111921,49.471971,0
S000017,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T06:20:00Z,607.86965,12.966129,0.61457123,0.49588096,7.7520818,6.8496887,2.0227298,246.44371,53.361209,1.4139959,174.86655,61.564413,0.10648927,0.056436206,12.289058,16,31.067737,0.22300882,1.2969579,0.84577613,0.79633303,12,4,29.954721,32.59926,0.71803849,9,2,0.22582755,23.880934,1.7311828,49.424804,0
S000018,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T06:30:00Z,610.33733,12.977985,0.74990163,1.0482931,9.695849,7.0344206,2.486995,243.56254,56.720736,1.49712,174.68653,58.892255,0.3680927,0.16260145,14.215918,17,31.219083,0.42182997,1.3411389,0.92761013,0.82058625,17,5,30.320783,32.091104,0.64313587,10,4,0.3044802,23.902367,1.1262227,49.535922,0
S000019,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T06:40:00Z,613.96944,13.064643,0.50937713,1.9824065,8.0135993,7.1429885,3.0188138,248.12548,58.527795,1.5263977,175.75706,56.782655,0.23738043,0.10854666,13.277503,18,31.347293,0.29711857,1.4491272,0.87890049,0.82215973,13,11,30.205043,31.813326,0.68615605,8,4,0.39697063,24.188101,1.4985357,50.658717,0
S000020,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T06:50:00Z,612.95335,13.031075,0.67459538,0.53501045,8.0585035,7.0912413,2.5421507,243.60069,54.677464,1.4622163,173.9339,61.158569,0.22630173,0.083896632,12.824611,19,31.40497,0.18305397,1.422397,0.85646074,0.74018959,17,8,30.066857,31.606871,0.69959801,8,4,0.36834893,23.947008,1.0234874,49.863858,0
S000021,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T07:00:00Z,611.01473,13.010007,0.66841478,2.2831261,10.762,7.6107118,3.1876325,250.84343,59.871209,1.4613133,176.59527,60.663903,0.33713246,0.31044701,17.469606,20,31.205855,0.31714705,1.2790051,0.86688147,0.79362849,9,9,30.089673,31.20709,0.76737645,12,1,0.32695392,23.886809,1.2810811,50.31979,0
S000022,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T07:10:00Z,610.00235,13.076072,0.66401664,1.1169632,9.5797965,7.1604927,3.2083476,249.1752,60.665464,1.5023441,175.30668,59.715393,0.31680118,0.098105154,12.96554,21,31.046826,0.20364896,1.7283355,0.93051731,0.7671227,17,9,30.16922,31.822669,0.73830451,8,4,0.26006448,23.892154,1.5253436,50.181777,0
S000023,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T07:20:00Z,613.34404,13.061476,0.43356242,0.33376316,9.6838924,6.7612291,2.3811576,243.55807,58.180415,1.5451893,174.71114,59.349098,0.26386535,0.080829308,10.185791,22,31.359712,0.20886575,1.4679217,0.85999264,0.73496958,14,6,30.295623,31.958293,0.69201379,11,2,0.28763443,24.03111,1.6321625,49.657626,0
S000024,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T07:30:00Z,611.09346,13.040962,0.52234328,1.6590298,9.6212249,6.9272414,2.0127212,243.90114,52.675435,1.4779415,172.64674,58.608888,0.1650922,0.060952391,11.549394,23,31.213511,0.25369598,1.4279954,0.86086885,0.75553574,13,8,29.884821,31.995904,0.73002838,11,1,0.1872049,24.204555,1.3810919,49.98111,0
S000025,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T07:40:00Z,611.84068,13.030369,0.47513576,1.0201457,9.7288395,7.4711767,2.842958,248.55972,55.740324,1.6083626,176.35964,57.940113,0.23800047,0.16563347,12.023545,24,31.318751,0.31245789,1.4885808,0.8989098,0.79152031,8,4,30.449983,32.71777,0.66913384,10,3,0.30875561,24.189912,1.2931632,49.771228,0
S000026,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T07:50:00Z,611.9478,13.018909,0.50810447,0.63269408,9.542706,7.0803764,2.1025997,245.08938,56.355878,1.4239756,173.85387,61.054956,0.16817087,0.075388374,12.777881,25,31.279586,0.27472095,1.5535024,0.92360664,0.84762222,14,8,30.511293,32.913299,0.70281222,11,4,0.44230712,24.105518,1.2008125,50.195627,0
S000027,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T08:00:00Z,610.22822,12.974467,0.44972008,2.6135689,10.592321,7.3323384,3.6530901,249.73285,53.287164,1.3966266,174.54805,59.617944,0.8061121,0.66011695,14.18525,26,31.249388,0.21353046,1.2169114,0.92185376,0.84654485,12,6,30.262343,32.523891,0.69091309,11,1,0.24222504,24.206076,1.0577547,49.986779,0
S000028,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T08:10:00Z,610.07073,13.086072,0.73470636,2.299856,10.530868,7.0978297,2.594077,245.31884,56.672719,1.5733236,173.95083,60.445604,0.16348178,0.095969344,15.088235,27,31.168634,0.29033287,1.2035207,0.88126227,0.77282903,17,11,30.04406,31.78612,0.638115,8,2,0.22528332,24.13178,1.6160668,49.52353,0
S000029,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T08:20:00Z,609.77981,13.016034,0.38050624,0.59178587,9.6276798,7.1587618,2.3060129,244.82446,55.647012,1.4523705,173.93702,61.029746,0.14088435,0.045100232,12.980838,28,31.064431,0.27563268,1.3144697,0.84683125,0.84000047,14,6,30.208389,32.700795,0.76718919,12,2,0.31512378,23.759312,1.4513677,50.47493,0
S000030,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T08:30:00Z,609.98679,12.975537,0.4767533,0.21051678,8.5689099,6.8427272,2.246904,247.12022,53.89146,1.5674828,174.65993,63.358882,0.53325608,0.157704,11.229176,29,31.23506,0.27705602,1.4222175,0.90466128,0.79220965,10,8,30.416565,31.35647,0.69761968,11,4,0.2826388,23.831334,1.1573608,49.687311,0
S000031,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T08:40:00Z,609.93497,12.990359,0.92648456,1.6529293,10.198178,7.0997037,2.9555331,247.4223,58.289927,1.5084316,173.55471,63.163956,0.36685979,0.046819739,12.017377,30,31.088728,0.30406135,1.4917121,0.90031281,0.82382541,6,4,29.879492,32.354703,0.76181566,10,1,0.40041633,23.720021,1.1539753,50.701465,0
S000032,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T08:50:00Z,609.3758,12.962824,0.63045537,0.97741323,9.5506326,7.2664005,2.7231262,248.47616,54.637517,1.3273643,174.50989,62.505767,0.37061154,0.15777896,15.018384,31,31.121486,0.22954603,1.272067,0.89244898,0.85709765,13,10,30.167354,31.412955,0.75385593,9,5,0.35509688,23.997577,1.1213585,50.529412,0
S000033,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T09:00:00Z,611.0622,13.056856,0.49390703,1.8001425,9.5956809,7.1166316,2.7732883,245.43827,61.690194,1.5917599,176.37636,60.787651,0.39255224,0.29329426,16.064444,32,31.202298,0.19999464,1.5414506,0.90777622,0.82083919,17,11,30.441385,31.81872,0.73702285,10,3,0.39436652,24.107179,1.2405711,50.029947,1
S000034,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T09:10:00Z,609.92282,13.004651,0.3942543,1.2528518,10.123422,7.3090066,2.5844273,245.6643,57.417127,1.4720006,174.76296,61.990261,0.22364585,0.050563444,14.239325,33,31.107035,0.19749281,1.3684516,0.8744901,0.76161091,10,7,29.046585,31.022836,0.61116562,9,4,0.32543385,24.102202,0.881346,49.915757,0
S000035,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T09:20:00Z,609.59116,13.026,0.47893197,0.61698341,7.8888209,7.1204942,2.3837443,244.18201,55.407599,1.4817257,173.81174,60.66605,0.16501863,0.19568068,12.509262,34,31.168603,0.2231897,1.5279843,0.90638556,0.86095542,19,5,30.166708,32.752314,0.62483329,9,2,0.28707233,24.061495,1.5524408,49.658653,0
S000036,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T09:30:00Z,608.83688,12.933638,0.80288728,0.22448679,9.0554736,6.9308646,2.409829,245.80566,56.135553,1.5707226,174.27648,59.099192,0.33534582,0.09846615,11.83125,35,31.11477,0.24037355,1.3431951,0.86117859,0.76752549,18,11,30.202671,32.293386,0.7200118,10,7,0.31395063,24.040255,1.1573162,50.350842,0
S000037,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T09:40:00Z,611.07162,13.095126,0.53836343,1.8216049,10.715951,7.3340526,3.3972017,248.77787,59.489967,1.536934,174.89805,62.904341,0.52856993,0.35232978,15.7937,36,31.234069,0.42784763,1.4686882,0.85431211,0.82196537,17,9,30.211564,31.182505,0.67706083,10,2,0.41633189,24.290662,0.76566119,49.640432,0
S000038,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T09:50:00Z,608.35123,12.976864,0.46547322,0.62763817,9.7330371,7.0645719,2.8153232,244.42771,55.651838,1.4755419,175.16767,60.527977,0.41374338,0.078601137,13.262957,37,31.122389,0.36400799,1.4931123,0.91194643,0.78497695,6,7,30.074543,32.057536,0.68976985,10,3,0.5374251,24.035202,0.80777329,49.861592,0
S000039,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T10:00:00Z,609.77504,13.026679,0.56291452,1.3436335,11.022554,7.1567815,3.3386158,249.08185,54.852133,1.5922655,175.32063,59.090444,0.26751145,0.11701139,12.596471,38,31.200103,0.24028195,1.243627,0.87957366,0.77097136,9,3,30.275514,31.24527,0.72364272,7,2,0.22695722,24.139174,1.6779482,49.586395,0
S000040,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T10:10:00Z,611.27017,13.018207,0.52639622,0.2506265,10.66811,7.2565863,2.7138474,245.81335,53.613705,1.5040372,175.12942,61.069782,0.58189675,0.10635211,13.017223,39,31.212803,0.42079167,1.2603198,0.89875268,0.78333607,16,8,30.187012,31.921852,0.69672629,11,2,0.46673302,24.005329,1.150876,49.608237,1
S000041,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T10:20:00Z,607.76842,12.940558,0.53524438,1.7785485,8.5444318,6.817431,1.7743277,246.36495,51.593261,1.3857351,175.14097,62.832432,0.14115359,0.097745944,13.133342,40,31.116319,0.32331558,1.6452682,0.93517553,0.80318824,3,4,29.9167,32.335301,0.78428347,9,4,0.42080163,24.068909,1.0168609,49.529291,0
S000042,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T10:30:00Z,609.25333,12.955766,0.64943661,0.80648605,9.1208823,7.1110502,2.654466,242.69031,52.964895,1.4475354,174.42653,57.791458,0.15480097,0.084188092,12.478353,41,31.159023,0.35856627,1.2722062,0.90041909,0.81056409,12,5,29.857189,31.173272,0.66468401,10,3,0.36111295,24.054214,1.1978548,49.699427,0
S000043,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T10:40:00Z,612.13394,12.99862,0.74555096,1.3745352,9.5006376,7.3956236,3.7684588,245.47916,58.038473,1.4860285,174.74688,62.47851,0.25032798,0.11952233,14.268374,42,31.33223,0.2330926,1.3555396,0.93961495,0.80991862,11,7,29.937663,31.043732,0.67936854,9,3,0.42065564,24.196308,1.3836995,50.421075,0
S000044,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T10:50:00Z,610.70634,12.980482,0.65888794,1.3644481,9.6952175,7.2758017,2.5262369,245.14823,50.422644,1.5537942,173.90078,58.920829,0.18773511,0.065645921,13.091685,43,31.235352,0.35131433,1.4186396,0.86286063,0.8075095,14,8,30.036661,31.641914,0.73320532,10,3,0.25773546,24.346346,0.90798174,50.141281,0
S000045,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T11:00:00Z,610.30163,12.957823,0.68418587,2.5465235,9.564366,7.0677524,2.6708612,246.87137,57.114501,1.5480675,177.34034,58.23674,0.50271546,0.46344358,16.45328,44,31.177099,0.46703134,1.5786734,0.9217081,0.82197907,8,6,30.123635,32.561874,0.79223213,11,0,,,1.1816308,50.29547,0
S000046,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T11:10:00Z,609.45386,12.989414,0.61386605,1.8865651,10.832354,6.6949087,2.8492492,249.1205,57.433791,1.5004834,175.55097,55.060373,0.16165497,0.15323113,15.646246,45,31.161629,0.33128817,1.2482477,0.82667328,0.79150451,10,1,30.215415,32.344172,0.57672324,7,0,,,1.1188148,50.425934,0
S000047,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T11:20:00Z,611.41089,13.048418,0.42435856,0.54091986,9.3163307,6.668468,2.7041817,246.34371,52.920405,1.4968679,173.95641,59.105239,0.15830579,0.22518414,12.603635,46,31.283065,0.26316297,1.4374913,0.84547942,0.90588786,13,6,30.902996,32.595281,0.74283189,8,3,0.26696153,24.107391,1.2274598,49.952727,0
S000048,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T11:30:00Z,610.50833,12.943093,0.6757186,0.12469324,8.2395538,6.381638,2.339251,244.91901,53.32252,1.5796851,175.52563,63.44027,0.22814723,0.303409,12.561647,47,31.288499,0.3441979,1.5159682,0.88785641,0.82028621,10,7,29.920952,31.296854,0.72041482,10,3,0.23233984,23.802977,1.226791,50.088237,0
S000049,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T11:40:00Z,609.29757,12.893365,0.71303256,1.3175891,10.4258,7.1926291,3.2096912,248.57067,57.866262,1.4707014,176.04103,63.71117,0.26109302,0.072089015,13.66256,48,31.178837,0.28502661,1.3981573,0.96614187,0.84444221,10,3,30.635849,32.173487,0.63997466,8,0,,,1.2136619,50.473172,0
S000050,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T11:50:00Z,608.32203,12.883355,0.48661921,0.64100047,7.7813328,7.0303959,2.4589468,245.48345,55.929977,1.4659568,176.4399,59.425731,0.11276771,0.074914299,12.621167,49,31.116437,0.32371099,1.690899,0.94603598,0.74113498,15,7,30.390405,31.934677,0.78347752,8,3,0.53243923,23.867863,0.97713273,50.262611,0
S000051,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T12:00:00Z,611.6296,12.980023,0.48304709,0.43019062,9.7675113,7.2455965,4.0868861,246.24318,55.168859,1.5692021,175.82453,61.538609,0.46554171,0.18177769,14.672245,50,31.259323,0.35172268,1.5910105,0.8570043,0.69018643,6,2,30.446895,32.184511,0.75883245,10,2,0.15419273,23.747074,1.2508562,50.445768,0
S000052,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T12:10:00Z,609.05221,13.009331,0.61953365,1.1859404,9.298901,6.8844195,2.7149987,246.31965,55.17309,1.5976809,175.70942,60.449176,0.28316437,0.070081211,14.959729,51,31.109767,0.32919834,1.4472754,0.84250025,0.81517505,15,7,30.177156,30.976095,0.72947351,9,2,0.31048432,23.579288,1.0263415,50.167423,0
S000053,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T12:20:00Z,607.669,13.024283,0.36930883,0.33377489,9.4305802,6.8265043,2.1179776,245.33227,51.418109,1.4082866,174.40246,60.549774,0.15393292,0.098563155,11.771458,52,30.924989,0.33670607,1.3871881,0.90619345,0.67978853,8,4,30.631504,32.070094,0.78561487,8,1,0.29810428,23.743994,1.1222747,49.979314,0
S000054,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T12:30:00Z,612.44666,12.976467,0.63274871,2.2224092,9.5535711,6.9088557,2.6299741,246.36014,58.682133,1.4962412,175.2151,57.693728,0.23437425,0.04933224,14.005372,53,31.30816,0.29282419,1.287917,0.91951578,0.77661582,15,6,29.942632,31.442975,0.73152878,11,5,0.25991487,24.109668,1.6361983,50.339409,0
S000055,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T12:40:00Z,611.39879,13.024581,0.55034051,1.542136,9.2945794,7.1482569,3.6445498,245.46077,56.146461,1.5209696,173.24886,61.975847,0.74706078,0.20045029,12.759128,54,31.306778,0.2577073,1.3964494,0.86933784,0.75971203,10,4,30.154955,32.478345,0.7692755,10,2,0.29667286,23.893767,1.3452514,49.677754,1
S000056,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T12:50:00Z,610.30535,12.99406,0.58127539,0.81550184,9.6718567,7.0683882,2.2902311,246.17394,56.719509,1.4315492,174.34446,63.729901,0.40237029,0.14329936,12.8303,55,31.183422,0.36446182,1.4752185,0.93410212,0.83827866,22,13,29.597379,30.752587,0.74505148,10,4,0.30505014,24.163892,1.1120506,50.228431,1
S000057,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T13:00:00Z,611.60947,12.963781,0.70993373,2.1233964,9.1647998,7.0937987,3.3120747,246.77585,61.526903,1.5364476,174.62377,59.68455,0.48449655,0.28908803,15.931856,56,31.296004,0.36038779,1.3510323,1.005472,0.78334204,6,5,30.216736,31.808305,0.70328406,11,4,0.38937294,23.820559,1.1927549,50.277588,0
S000058,L0001,train,12,36,ASSEMBLY_T04,2025-01-07T13:10:00Z,610.92698,13.107491,0.66262603,1.9438862,8.9371181,6.8295526,3.2398838,245.70782,56.936895,1.4470036,175.03467,61.943508,0.3508052,0.060038265,15.211101,57,31.09038,0.43287215,1.4155138,0.94186424,0.80542594,11,6,29.79939,31.594502,0.6689771,7,1,0.29416792,24.145109,0.94384084,50.37083,1
S000059,L0001,train,12,36,ASSEMBLY_T05,2025-01-07T13:20:00Z,611.02801,13.089135,0.45484004,1.2729569,9.1470944,6.9076194,2.3500827,245.64603,59.083563,1.4274413,176.30593,61.345124,0.22021408,0.1122002,14.039214,58,31.161075,0.3245434,1.3490985,0.89258144,0.82848032,8,9,30.423503,32.281843,0.70851211,9,4,0.44482568,24.023417,1.2212072,49.133622,1
S000060,L0001,train,12,36,ASSEMBLY_T06,2025-01-07T13:30:00Z,612.43677,13.084273,0.47868658,0.68353105,8.5082638,6.8036353,2.1272927,244.18374,58.481353,1.5107023,175.08717,63.468558,0.39007394,0.180931,13.815433,59,31.214555,0.225504,1.2844682,0.91354324,0.89114836,16,7,30.237459,31.360992,0.76949398,7,5,0.40339627,24.17606,0.86492919,50.748937,0
S000061,L0001,train,12,36,ASSEMBLY_T01,2025-01-07T13:40:00Z,614.66504,13.095407,0.57990674,1.8659541,9.7513454,7.1634556,2.7317864,247.11309,62.928307,1.323051,174.9305,59.381655,0.29473696,0.23755547,17.98766,60,31.349551,0.24632404,1.3191918,0.88906568,0.80055565,14,3,30.39046,31.85046,0.8680721,8,3,0.20410337,24.061944,1.3769731,50.761739,0
S000062,L0001,train,12,36,ASSEMBLY_T02,2025-01-07T13:50:00Z,611.79256,13.037064,0.63940305,0.70623138,8.8475986,7.1406741,1.9858256,243.18622,53.26111,1.5749905,174.96381,62.113146,0.32751817,0.27697341,13.279072,61,31.249528,0.23433774,1.1504201,0.85763931,0.74382776,7,9,30.421136,31.468436,0.7404446,9,1,0.48291683,24.395898,1.2119636,49.824545,0
S000063,L0001,train,12,36,ASSEMBLY_T03,2025-01-07T14:00:00Z,610.22723,12.930266,0.66603574,1.0357597,10.724408,7.0289752,4.0090396,244.75797,59.256203,1.6125639,176.69352,62.070741,0.61054868,0.097181846,15.853557,62,31.180814,0.20658473,1.535002,0.91280915,0.77251868,16,6,29.948798,31.187433,0.7037963,11,3,0.31970956,23.898587,1.2937508,49.972342,0
S000064,L0002,train,12,36,ASSEMBLY_T02,2025-01-07T15:40:00Z,606.34833,12.990248,0.46607597,1.35508,9.6275777,7.0278719,2.898427,245.86568,57.271265,1.4224296,175.91793,62.092881,0.35840201,0.035423854,12.793167,75,30.93994,0.19915829,1.4606375,0.85954275,0.69605602,12,5,29.986235,31.137501,0.69035792,9,2,0.6516361,23.810965,1.0186753,49.795318,0
S000065,L0002,train,12,36,ASSEMBLY_T03,2025-01-07T15:50:00Z,608.04882,12.915556,0.72547482,1.8433552,9.7709712,7.2468071,3.5404868,246.10982,57.279045,1.4985938,176.3049,60.064535,0.34562728,0.31316396,16.13675,76,31.10738,0.31363775,1.365747,0.8946248,0.70044607,14,7,29.476299,31.602359,0.85889407,9,2,0.41126147,24.098345,0.87421754,49.430877,0
