stack_id,latent_inherited_cell_faults,latent_inherited_tsv_faults,latent_assembly_state,p_dram_electrical,p_tsv_open_short,p_microbump_open_bridge,p_die_crack,p_warpage,p_underfill_void,p_delamination,fault_dram_electrical,fault_tsv_open_short,fault_microbump_open_bridge,fault_die_crack,fault_warpage,fault_underfill_void,fault_delamination,p_reliability_failure
S000062,0,0,0.036839978,0.0051576113,0.0047400756,0.0069538366,0.0018959783,0.01248459,0.013048201,0.0058205256,0,0,0,0,0,0,0,0.038444057
S000063,0,1,1.0234478,0.004995825,0.14253681,0.01010434,0.003336291,0.028007881,0.020369793,0.004715756,0,0,0,0,0,0,0,0.12022121
S000064,0,0,-0.063336988,0.0042312812,0.0045846212,0.0052447365,0.0024256953,0.010706006,0.013700107,0.0035450459,0,0,0,0,0,0,0,0.034832819
S000065,0,0,0.92327084,0.004425739,0.0043767513,0.010477362,0.0028379073,0.030583314,0.013426647,0.0071378413,0,0,0,0,0,0,0,0.088712075
S000066,0,0,0.29796896,0.0041711686,0.0043708722,0.0074638653,0.0030436968,0.01450349,0.010084255,0.006095954,0,0,0,0,0,0,0,0.032332526
S000067,0,0,-0.31665946,0.0043198143,0.0040148613,0.0046063064,0.002205403,0.011959322,0.011048461,0.0049447557,0,0,0,0,0,0,0,0.029715696
S000068,0,0,-0.0068072669,0.0044189965,0.0038600976,0.0061602117,0.0022630678,0.0074641326,0.011366753,0.0036638991,0,0,0,0,0,0,0,0.021068379
S000069,0,0,0.6360424,0.0049195385,0.0048596496,0.0081144019,0.0039614207,0.012156658,0.016697509,0.006851138,0,0,0,0,0,0,0,0.051230334
S000070,0,0,-0.049769149,0.0045229314,0.004380722,0.0055178325,0.0022978144,0.012731731,0.0094036551,0.0044960023,0,0,0,0,0,0,0,0.027117844
S000071,0,0,0.93683868,0.0046283509,0.0044443209,0.01230681,0.002817116,0.025789181,0.011503494,0.0053183167,0,0,0,0,0,0,0,0.068367583
S000072,0,0,0.31153679,0.0045282466,0.0046630696,0.013297806,0.0027027941,0.0093968781,0.01444619,0.0040508259,0,0,0,0,0,0,0,0.035380755
S000073,0,0,-0.30309162,0.0045750963,0.0044666263,0.0074675616,0.0024483036,0.0075583498,0.011437788,0.0037594635,0,0,0,0,0,0,0,0.021040079
S000074,0,0,1.4067606,0.0046337954,0.0042720768,0.013649654,0.00375082,0.033340922,0.010623477,0.0051469766,0,0,0,0,0,0,0,0.078340695
S000075,0,0,0.64961024,0.0042431941,0.0042318689,0.011892079,0.0025523061,0.056576026,0.015273188,0.0079046818,0,0,0,0,0,0,0,0.17630128
S000076,0,0,-0.03620131,0.0042681932,0.0042205003,0.0065126129,0.0029113576,0.0085235266,0.012200194,0.0036214671,0,0,0,0,0,0,0,0.025635835
S000077,0,0,0.95040652,0.0046072717,0.0044450484,0.0096499006,0.0029562776,0.028938001,0.010945447,0.0064160498,0,0,0,0,0,0,0,0.066298185
S000078,0,0,0.32510463,0.0046565638,0.0046400405,0.0062575862,0.0027580516,0.019000336,0.022433981,0.0055700371,0,0,0,0,0,0,0,0.10289941
S000079,0,0,1.1104762,0.0044720989,0.0050147535,0.010699056,0.0029846692,0.032850371,0.012952145,0.0047679514,0,0,0,0,0,0,0,0.089520272
S000080,0,0,0.020328412,0.0041906877,0.0039986318,0.0054993064,0.0024088736,0.0084815322,0.011762837,0.003579557,0,0,0,0,0,0,0,0.023820376
S000081,0,0,0.66317808,0.0046150886,0.0042229974,0.0091427317,0.0031017128,0.016920791,0.015400658,0.0040694495,0,0,0,0,0,0,0,0.060266346
S000082,0,0,-0.022633471,0.0046041643,0.004197093,0.0061329086,0.0022421266,0.0087816182,0.01113699,0.0038243839,0,0,0,0,0,0,0,0.024648597
S000083,0,0,0.96397436,0.0045081508,0.0043273402,0.010005503,0.0026171335,0.0095788662,0.012151985,0.004724124,0,0,0,0,0,0,0,0.027517328
S000084,0,0,1.7386725,0.0041655754,0.0042669166,0.015003968,0.0034471477,0.054103549,0.036620027,0.010099418,0,0,0,0,1,0,0,0.35974969
S000085,0,0,-0.27595594,0.0041944568,0.0042810137,0.005033077,0.0022787143,0.0068544176,0.011704682,0.0040165885,0,0,0,0,0,0,0,0.020394996
S000086,0,0,0.033896251,0.0045279666,0.0044244093,0.0060690573,0.0023358463,0.0060872869,0.010282162,0.0050116076,0,0,0,0,0,0,0,0.015234187
S000087,0,0,0.67674592,0.00439514,0.0040348,0.0082675121,0.0025475299,0.020219809,0.013751003,0.0062820932,0,0,0,0,0,0,0,0.062738835
S000088,0,0,-0.0090656316,0.0046465485,0.0050786825,0.0075058194,0.0021901029,0.0086328006,0.012896746,0.0038409136,0,0,1,0,0,0,0,0.026972851
S000089,0,0,0.9775422,0.0043565304,0.0038963623,0.0090635519,0.0030746785,0.032070466,0.018259199,0.0055183312,0,0,0,0,0,0,0,0.1290296
S000090,0,0,1.7522403,0.0043062906,0.0041308722,0.018495245,0.0036055156,0.059710011,0.029230035,0.0083609665,0,0,0,0,0,0,0,0.32251429
S000091,0,0,-0.2623881,0.0042335388,0.0046190731,0.0055650977,0.0022471733,0.010885236,0.012310074,0.0044616507,0,0,0,0,0,0,0,0.030136761
S000092,0,0,0.04746409,0.0045445957,0.0050951633,0.0056274323,0.0026588713,0.013669587,0.012327924,0.0045036021,0,0,0,0,0,0,0,0.036605707
S000093,0,0,0.69031375,0.0043985882,0.0040033167,0.0084572122,0.0031020272,0.016408426,0.011855818,0.0066422795,0,0,0,0,0,0,0,0.043253582
S000094,0,0,0.0045022076,0.0046219529,0.0043589507,0.0075914441,0.0026144784,0.0070305757,0.012471622,0.0037941881,0,0,0,0,0,0,0,0.021679747
S000095,0,0,2.39111,0.004378564,0.0040292603,0.026668207,0.0038454725,0.097365457,0.063819424,0.017264181,0,0,0,0,0,0,0,0.68185775
S000096,0,0,0.36580815,0.0043158218,0.0046671845,0.0072158373,0.0027252164,0.021545245,0.012077318,0.0044059856,0,0,0,0,0,0,0,0.058667444
S000097,0,0,-0.24882026,0.0042580417,0.004549835,0.0066343061,0.002580474,0.012562876,0.011600196,0.0039185074,0,0,0,0,0,0,0,0.033880986
S000098,0,0,0.061031929,0.0043808428,0.0040508101,0.0083524557,0.0023251799,0.019629831,0.018743801,0.0046013258,0,0,0,0,0,0,0,0.089450173
S000099,0,0,0.70388159,0.0042453248,0.0044025852,0.0094282942,0.00280211,0.024002091,0.010194391,0.0049246359,0,0,0,0,0,0,0,0.054810094
S000100,0,0,1.41807,0.0044348194,0.004319532,0.017208609,0.003540461,0.1077201,0.01306771,0.006113387,0,0,0,0,0,0,0,0.25435681
S000101,0,0,1.0046779,0.0046702185,0.005267981,0.010636164,0.0031790662,0.012758735,0.011390079,0.0048731109,0,0,0,0,0,0,0,0.034052125
S000102,0,0,0.37937599,0.0046226877,0.0050301724,0.0075293377,0.0026981379,0.019408233,0.012414192,0.0044409487,0,0,0,0,0,0,0,0.05715491
S000103,0,0,-0.23525242,0.0044352142,0.0044134183,0.0052880827,0.0025875171,0.020928074,0.0096030826,0.0057237185,0,0,0,0,0,0,0,0.043862971
S000104,0,0,0.074599768,0.0046715133,0.0043443505,0.0063778886,0.0025921988,0.01589813,0.013421964,0.0040458432,0,0,0,0,0,0,0,0.04743339
S000105,0,0,2.1174494,0.0044348433,0.0041740867,0.024923349,0.0035430667,0.059023621,0.029401185,0.020030212,0,0,0,0,0,0,0,0.3285799
S000106,0,0,0.031637886,0.0042587687,0.0044000634,0.0059797299,0.0025259605,0.008545295,0.010553585,0.0038105525,0,0,0,0,0,0,0,0.021314086
S000107,0,0,1.0182457,0.0044351087,0.0053491942,0.012520979,0.0028529155,0.040056712,0.017154033,0.0076655889,0,0,0,0,0,0,0,0.14878416
S000108,0,0,0.39294383,0.0045623142,0.0043218203,0.0064991301,0.002554019,0.01853339,0.018238266,0.0048314016,0,0,0,0,0,0,0,0.079357894
S000109,0,0,-0.22168458,0.0041731619,0.0038053169,0.0047425227,0.0032166779,0.013361583,0.011209276,0.0036509612,0,0,0,0,0,0,0,0.034503501
S000110,0,0,0.088167608,0.004312796,0.0049645108,0.0068087517,0.0025698638,0.012712843,0.011818672,0.0040298146,0,0,0,0,0,0,0,0.035890381
S000111,0,0,2.1310173,0.0046290488,0.0046345857,0.021439445,0.0037524332,0.052603715,0.026942161,0.0065272471,0,0,0,0,0,1,0,0.2844199
S000112,0,0,0.045205725,0.0042752108,0.0043858683,0.0054971912,0.00249308,0.0075313263,0.013922333,0.0043610376,0,0,0,0,0,0,0,0.02645267
S000113,0,0,1.0318136,0.0042696309,0.0041422468,0.011592841,0.002868358,0.011264731,0.012507838,0.0045169123,0,0,0,0,0,0,0,0.033144944
S000114,0,0,0.40651167,0.0042698672,0.0046723828,0.0070423068,0.0024414127,0.03568441,0.010941663,0.0050148919,0,0,0,0,0,0,0,0.082364112
S000115,0,0,-0.20811675,0.0044110815,0.0052621858,0.0060864566,0.00304547,0.012338093,0.011639284,0.0036451046,0,0,0,0,0,0,0,0.031435024
S000116,0,0,0.10173545,0.0046635339,0.0042372292,0.0079174567,0.0025075591,0.012560323,0.014044364,0.0039946793,0,0,0,0,0,0,0,0.044183121
S000117,0,0,0.74458511,0.0044790024,0.0042022046,0.0083211546,0.0026684412,0.033467174,0.0094206208,0.0068649905,0,0,0,0,0,0,0,0.065403216
S000118,0,0,0.058773564,0.0041999547,0.0041384963,0.0060333346,0.00238329,0.013360718,0.013405214,0.0038822063,0,0,0,0,0,0,0,0.043350915
S000119,0,0,1.0453814,0.0046790049,0.0043404333,0.0089516679,0.0027302424,0.02414182,0.019175499,0.0048125981,0,0,0,0,0,0,0,0.11081864
S000120,0,0,0.42007951,0.0043389008,0.0042628456,0.0085863822,0.0028617858,0.014183707,0.012002196,0.0039827538,0,0,0,0,0,0,0,0.039367251
S000121,0,0,-0.19454891,0.0043668709,0.0045336725,0.0053294315,0.0025626478,0.010358588,0.012122384,0.003709791,0,0,0,0,0,0,0,0.029469572
S000122,0,0,0.11530329,0.0041531267,0.0041493937,0.0062522347,0.0022113027,0.019228879,0.011941608,0.0037781134,0,0,0,0,0,0,0,0.049527975
S000123,0,0,0.75815295,0.0043218135,0.0039062104,0.0083719536,0.0027894571,0.013027709,0.013005683,0.0048779886,0,0,0,0,0,0,0,0.040081591
S000124,0,0,0.072341404,0.0044896024,0.0044040663,0.0060863266,0.0024222334,0.0088328522,0.01545723,0.003582659,0,0,0,0,0,0,0,0.03314337
S000125,0,0,1.0589492,0.004932583,0.0052041869,0.01336243,0.003507464,0.027310499,0.020673912,0.005277928,0,0,0,1,0,0,0,0.12780464
S000126,0,0,0.43364735,0.0046054532,0.0043633597,0.0080279492,0.002434123,0.006740383,0.014408876,0.0041258478,0,0,0,0,0,0,0,0.023833905
S000127,0,0,-0.18098107,0.0045823072,0.0046598045,0.0077254423,0.0023364651,0.017699371,0.010494524,0.0046831365,0,0,0,0,0,0,0,0.039519216
S000128,0,0,1.140016,0.0047622878,0.0040931216,0.011837826,0.0031445901,0.02581565,0.22757876,0.0408429,0,0,0,0,0,0,0,0.75792739
S000129,0,0,0.51471411,0.0047179704,0.0052970635,0.0081495598,0.0025377668,0.047008937,0.020381899,0.0093505945,0,0,0,0,0,0,0,0.1976363
S000130,0,0,-0.099914308,0.0048406765,0.0045910647,0.0063689574,0.0023654975,0.018101636,0.018234276,0.0052437872,0,0,0,0,0,0,0,0.079204115
S000131,0,0,0.20993788,0.0045832237,0.0041800256,0.0088122005,0.0024128582,0.018573942,0.010271732,0.0047437786,0,0,0,0,0,0,0,0.041762319
S000132,0,0,0.85278755,0.0048512558,0.0046769022,0.01057223,0.0027532278,0.04938396,0.014910693,0.010452697,0,0,0,0,0,0,0,0.14731576
S000133,0,0,0.166976,0.0047598323,0.0039864014,0.0072880847,0.0025423799,0.0076849163,0.012466359,0.0043108635,0,0,0,0,0,0,0,0.024318095
S000134,0,0,1.1535838,0.0046697808,0.0040105083,0.013109436,0.0027331252,0.030226538,0.018423167,0.0062319215,0,0,0,0,0,0,0,0.12333776
S000135,0,0,0.52828195,0.0047548029,0.0042031616,0.0075928354,0.0025089146,0.014218439,0.013308722,0.0042091632,0,0,0,0,0,0,0,0.045441715
S000136,0,0,-0.086346469,0.0044517009,0.0041151775,0.005778045,0.0021864948,0.008474495,0.0111665,0.0040318415,0,0,0,0,0,0,0,0.022142893
S000137,0,0,0.22350572,0.0048521773,0.0052261314,0.0080516846,0.0029780578,0.02600501,0.010070169,0.0046376511,0,0,0,0,0,1,0,0.057451998
S000138,0,0,0.86635539,0.0045909705,0.0044987039,0.0090981502,0.0028576685,0.013950272,0.020008983,0.0044571746,0,0,0,0,0,0,0,0.069784576
S000139,0,0,0.18054384,0.0044415163,0.0040892332,0.0062361673,0.0022616238,0.0048526281,0.011486563,0.0037929883,0,0,0,0,0,0,0,0.013735203
S000140,0,0,1.1671517,0.0048683237,0.0048373916,0.01131322,0.003021726,0.11353647,0.017937486,0.0091245452,0,0,0,0,0,0,0,0.34794925
S000141,0,0,0.54184979,0.004424353,0.004729882,0.0085119555,0.0031235077,0.010383619,0.012689308,0.0051142135,0,0,0,0,0,0,0,0.031118343
S000142,0,0,-0.07277863,0.0048894233,0.004620931,0.005460231,0.0023210275,0.0063972311,0.015362313,0.0036192733,0,0,0,0,0,0,0,0.025904411
S000143,0,0,0.23707356,0.0044641497,0.004168901,0.0064762118,0.0025240711,0.027680349,0.011457136,0.0051451324,0,0,0,0,0,0,0,0.070933706
S000144,0,0,0.87992323,0.0046946905,0.004030134,0.0092963064,0.0033624897,0.023457132,0.012774251,0.0067095652,0,0,0,0,0,0,1,0.066813433
S000145,0,0,0.19411168,0.0046389588,0.0046176577,0.0077874594,0.0022055061,0.010742809,0.012547039,0.0052466546,0,0,0,0,0,0,0,0.032139755
S000146,0,0,1.1807195,0.0046868147,0.0043036364,0.010492944,0.003145034,0.028269318,0.026081563,0.0073045784,0,0,1,0,0,0,0,0.16936149
S000147,0,0,0.55541762,0.0046884765,0.0045881199,0.0079650858,0.0029470337,0.038450393,0.023259345,0.0050649649,0,0,0,0,0,0,0,0.18531146
S000148,0,0,-0.05921079,0.0049110932,0.0059472014,0.0067786765,0.0024186554,0.009344256,0.015500596,0.0042088579,0,0,0,0,0,0,0,0.035947252
S000149,0,0,0.2506414,0.0047244158,0.0042322814,0.0069773627,0.002491919,0.038050371,0.0099711942,0.0052146325,0,0,0,0,0,0,0,0.077047856
S000150,0,0,0.89349107,0.0043334367,0.0043130357,0.008709514,0.0026184055,0.024831406,0.019954701,0.0051131849,0,0,0,0,0,1,0,0.11404862
S000151,0,0,0.20767952,0.0047558727,0.0043202081,0.0078849377,0.0022310108,0.011373077,0.011223504,0.0043287338,0,0,0,0,0,0,0,0.029770992
S000152,0,0,1.1942873,0.0048070695,0.0041075396,0.015419447,0.0034279082,0.048608804,0.014838296,0.011582336,0,0,0,0,0,0,0,0.14125686
S000153,0,0,0.56898546,0.0043060781,0.0047137569,0.008144009,0.0026479289,0.022008667,0.010989294,0.0048093197,0,0,0,0,0,0,0,0.056351986
S000154,0,0,-0.045642951,0.0046781099,0.0042617217,0.0056700319,0.0023019307,0.0038926174,0.010603194,0.0037458406,0,0,0,0,0,0,0,0.010397307
S000155,0,0,0.26420924,0.0049173522,0.0045231827,0.010031667,0.0021080426,0.021185378,0.011083329,0.0050815355,0,0,0,0,0,0,0,0.052752504
S000156,0,0,0.90705891,0.0049341222,0.0050272876,0.010150012,0.0033214057,0.023029131,0.014767783,0.0056319262,0,0,0,0,0,0,0,0.080191743
S000157,0,0,0.22124736,0.0042762263,0.0042503834,0.0087288875,0.002320602,0.010522472,0.011471431,0.0037347405,0,0,0,0,0,0,0,0.029022295
S000158,0,0,1.2078552,0.0045410746,0.0041889983,0.0096353835,0.0033891023,0.016134825,0.01455431,0.0047889165,0,0,0,0,0,0,0,0.053209538
S000159,0,0,0.5825533,0.0043893195,0.0044367441,0.0093172107,0.0024630708,0.010344004,0.012482896,0.0053469311,0,0,0,0,0,0,0,0.030431872
S000160,0,0,-0.032075112,0.0044645705,0.0046967468,0.0073444609,0.0026936002,0.0091717722,0.011173681,0.0040138896,0,0,0,0,0,0,0,0.023742804
S000161,0,0,0.27777708,0.0046300577,0.0044381907,0.0093907094,0.0025781851,0.014367246,0.018766089,0.0051373899,0,0,0,0,0,0,0,0.064937854
S000162,0,0,0.92062674,0.004446068,0.0044476147,0.012118254,0.0025507509,0.020189658,0.0096012957,0.0046786706,0,0,0,0,0,0,0,0.042832348
S000163,0,0,0.2348152,0.0046746686,0.0050410382,0.0070550571,0.0022934611,0.0083896034,0.011604031,0.0048853568,0,1,0,0,0,0,1,0.023152647
S000164,0,0,1.221423,0.0045098963,0.0039334511,0.011541445,0.0031616746,0.045380122,0.018421886,0.0054504758,0,0,0,0,0,0,0,0.17406068
S000165,0,0,0.59612114,0.0045307919,0.0044652385,0.0074741543,0.0027735818,0.025743147,0.013425554,0.0068972427,0,0,0,0,0,0,0,0.074213991
S000166,0,0,-0.018507273,0.0043926067,0.0042885141,0.0061448224,0.0022896061,0.016063893,0.0097847352,0.0049688322,0,0,0,0,0,0,0,0.036852822
S000167,0,1,0.29134492,0.004672617,0.12513863,0.0068128574,0.0021972904,0.019136358,0.011904421,0.0058929745,0,0,0,0,0,0,0,0.049806466
S000168,0,0,0.93419458,0.0047614048,0.0042457177,0.0088101831,0.002708698,0.031934045,0.012186453,0.0094270092,0,0,0,0,0,0,0,0.084096179
