die_id,latent_die_stress,latent_cell_fault,latent_tsv_open_fault,latent_tsv_short_fault,latent_local_cluster,actual_tsv_copper_void_pct,actual_tsv_diameter_um,actual_tsv_etched_depth_um,actual_critical_dimension_nm,actual_film_thickness_nm
D0000061,0.43200635,0,0,0,0,0.6369133,4.9571567,64.994902,24.328311,40.408664
D0000062,0.97074178,0,0,0,0,0.96993263,5.0584622,65.323485,24.644343,40.789357
D0000063,0.73557898,1,0,0,0,0.42020791,5.0035499,63.831777,23.926844,41.709299
D0000064,0.36392828,0,0,0,0,0.5552171,4.9784273,64.956378,24.10907,40.452923
D0000065,0.63400923,0,0,0,0,0.57799987,4.9879052,65.558226,24.056562,40.246567
D0000066,0.94908558,0,0,0,0,0.57556257,5.0922599,65.031546,24.28372,40.404844
D0000067,0.69949196,0,0,0,0,0.48366509,4.9655965,65.119971,24.060109,40.79912
D0000068,0.47226344,0,0,0,0,0.6029774,5.0720566,64.798717,23.953275,40.964713
D0000069,0.37257284,0,0,0,0,0.6025831,5.0617316,64.998018,24.279784,40.532509
D0000070,0.64589462,0,0,0,0,0.45736108,4.9660476,65.555599,24.048641,40.499181
D0000071,0.91203079,0,0,0,0,0.7634454,5.0804526,64.48025,24.402131,39.948405
D0000072,0.33017121,0,0,0,0,0.50808245,5.059313,64.859628,24.139065,40.718529
D0000073,1.1049636,0,0,0,0,0.41689699,5.1115993,65.36023,24.098905,40.618821
D0000074,0.42372736,0,0,0,0,0.40986802,4.9647322,64.348451,23.903294,40.522203
D0000075,0.60214829,0,0,0,0,0.56704339,4.941349,64.809629,24.08552,40.077694
D0000076,0.71095721,0,0,0,0,0.490933,5.0555801,64.617203,24.035614,40.690831
D0000077,0.55353849,0,1,0,0,0.27849528,5.07236,64.418398,24.278861,40.462119
D0000078,0.13209643,0,0,0,0,0.29246011,5.0095939,65.407215,24.262229,41.047
D0000079,1.0221627,0,0,0,0,0.74976742,4.9850338,65.115149,24.394015,40.235039
D0000080,0.5719347,0,0,0,0,0.31815057,5.069108,65.209309,24.101737,40.694791
D0000081,1.0040475,0,0,0,0,0.75,5.0647456,64.95498,24.32943,40.534689
D0000082,0.024295807,0,0,1,0,0.3778899,5.0035328,65.144638,23.879505,40.704704
D0000083,0.45916023,0,0,0,0,0.55105292,5.0419063,65.305372,24.141165,40.596432
D0000084,0.37479478,0,0,0,0,0.36131856,5.0205848,65.568941,24.145529,40.560877
D0000085,1.20385,0,0,0,0,0.60354302,4.9621642,64.5333,24.370097,41.211218
D0000086,-0.045538638,0,0,0,0,0.42144926,4.9648503,64.078781,24.149636,40.923285
D0000087,0.87140204,0,0,0,0,0.6740169,4.9899502,65.315583,24.150878,40.508318
D0000088,0.1630811,0,0,0,0,0.30018467,5.0764341,64.579341,24.208599,41.212462
D0000089,0.3288331,0,0,0,0,0.43071085,4.9918375,64.396478,24.152035,40.564033
D0000090,0.47656391,0,0,0,0,0.67079299,5.0232286,65.547924,24.100545,40.497146
D0000091,0.68420981,0,0,0,0,0.32673246,5.0423813,65.324256,24.068691,41.04742
D0000092,0.71400371,1,0,0,0,0.6325855,4.9434686,65.15567,24.11185,41.114008
D0000093,0.64744243,0,0,0,0,0.62646705,5.0908872,64.957823,24.133055,40.475131
D0000094,0.33738119,0,0,0,0,0.62812942,5.0510372,64.715697,24.083582,40.426435
D0000095,0.55688211,0,0,0,0,0.34394905,5.0168992,65.451184,24.264008,40.878675
D0000096,0.49410238,0,0,0,0,0.3839432,5.10242,65.0272,24.087535,40.224849
D0000097,0.093455559,0,0,0,0,0.40377027,4.9122708,64.358816,24.110149,39.627983
D0000098,-0.095044861,0,0,0,0,0.63111993,5.0549449,65.070249,24.080485,40.121744
D0000099,0.46267825,0,0,0,0,0.54891494,4.9927652,65.253863,24.324595,40.768373
D0000100,0.37942783,0,0,0,0,0.22828168,5.1118831,65.736295,24.146205,40.146718
D0000101,0.069797801,0,0,0,0,0.43653793,5.0666948,64.349336,24.044856,40.228302
D0000102,-0.098649407,0,0,0,0,0.39753683,5.1228756,65.605686,24.233829,39.449874
D0000103,0.59847958,0,0,0,0,0.43950518,5.0987803,65.691564,24.242667,40.220685
D0000104,0.58394571,0,0,0,0,0.36830904,5.0609777,64.740669,23.942453,39.280513
D0000105,0.018832325,0,0,0,0,0.33140171,5.0077824,64.621602,23.999555,40.313912
D0000106,0.59743508,0,0,0,0,0.28147867,5.0544361,65.073557,24.431335,39.79051
D0000107,-0.085713064,0,0,0,0,0.63609081,5.0969817,65.131007,23.880464,40.103549
D0000108,0.12681022,0,0,0,0,0.44247279,4.9406647,65.19754,24.267676,40.102434
D0000109,0.37226304,0,1,0,0,0.35786955,4.917849,64.694391,24.195528,39.878615
D0000110,0.32985346,0,0,0,0,0.65079046,5.1643509,65.478263,24.1446,39.505277
D0000111,0.80418406,0,0,0,0,0.86655,5.0801142,65.537041,24.412424,40.082387
D0000112,0.6717022,0,0,0,0,0.54978791,5.0372457,65.316966,24.265461,40.372121
D0000113,0.2723301,0,0,0,0,0.43150506,5.0173657,64.450841,24.244386,38.893555
D0000114,0.12481089,0,0,0,0,0.20944367,5.1155235,64.373361,24.024944,39.505291
D0000115,0.28253108,0,0,0,0,0.54702661,4.9599221,64.973068,24.242829,40.185217
D0000116,0.38059455,0,0,0,0,0.64688294,5.0065192,64.821043,23.907257,39.631176
D0000117,-0.01597987,0,0,0,0,0.36283683,5.0838638,65.310435,24.056759,40.048482
D0000118,0.65094016,0,0,0,0,0.28270475,5.0766742,64.6648,24.371581,39.856262
D0000119,0.01176574,0,0,0,0,0.45850313,5.203081,64.435403,24.165284,39.720011
D0000120,-0.4040396,0,0,0,0,0.3811829,5.0203469,65.375038,23.956875,39.084538
D0000121,0.31079137,0,0,0,0,0.31625682,5.0552556,65.187502,24.324773,39.2774
D0000122,0.21112099,0,0,0,0,0.48514918,5.0380673,64.54885,24.220037,39.666943
D0000123,0.33254571,0,0,0,0,0.47982696,5.1421125,65.296574,23.947106,40.162149
D0000124,0.26897288,0,0,0,0,0.438394,5.0012817,64.623465,24.095816,39.671016
D0000125,0.72645182,0,0,0,0,0.3597592,4.98915,64.493838,24.189861,39.875984
D0000126,0.22090113,0,0,0,0,0.24080537,4.9258045,65.575586,24.276439,39.964282
D0000127,0.12253042,0,0,0,0,0.48897446,4.9977064,64.294532,24.283762,40.458706
D0000128,0.39615941,0,0,0,0,0.36107649,5.0465055,64.74611,24.228759,39.981582
D0000129,-0.041752455,0,0,0,0,0.28583048,5.0112249,64.980824,23.921076,39.949864
D0000130,0.52796439,0,0,0,0,0.27292202,4.8899678,64.160567,24.242796,40.038208
D0000131,-0.091060101,0,0,0,0,0.21815908,4.9377732,65.359468,24.243761,40.347862
D0000132,-0.18720545,0,0,0,0,0.1466245,4.8781537,65.455728,24.133162,40.160001
D0000133,-0.077882615,0,0,0,0,0.28427171,5.0126465,65.169456,24.241819,39.734384
D0000134,0.7951797,0,0,0,0,0.1951969,4.9426466,65.098804,24.12571,40.466656
D0000135,0.40365556,0,0,0,0,0.1998983,5.0793011,64.296417,24.127643,39.949778
D0000136,0.54742688,0,0,0,0,0.31194056,4.9577483,64.948119,24.428183,39.841715
D0000137,0.17382338,0,0,0,0,0.13738129,5.0443194,65.463746,24.469949,39.660901
D0000138,0.28566936,0,0,0,0,0.31628412,4.9934233,65.56466,24.227035,39.523798
D0000139,-0.046459072,0,0,0,0,0.52402272,5.0252636,65.792305,24.099225,39.943367
D0000140,0.78348094,0,0,0,0,0.26298259,5.1246605,64.208317,24.323153,39.877344
D0000141,0.70424314,0,0,0,0,0.24992791,4.9609211,64.779607,24.35594,40.511002
D0000142,0.3460158,0,0,0,0,0.33831676,5.0673806,65.00606,24.356695,40.130799
D0000143,-0.058101654,0,0,0,0,0.25652195,5.0775169,64.857692,24.346873,40.537075
D0000144,0.28150483,0,0,0,0,0.28559078,5.1378151,64.908816,24.747467,40.454351
D0000145,0.022862862,0,0,0,0,0.19767623,5.0747475,65.44214,24.159437,40.254757
D0000146,0.38579663,0,0,0,0,0.35133601,4.9184903,65.18523,23.965271,40.684541
D0000147,0.02830831,0,0,0,0,0.30520811,5.0931635,64.544343,24.032351,39.986095
D0000148,0.56920396,0,0,0,0,0.21711557,4.949305,65.713785,24.424175,40.493713
D0000149,0.57915366,0,0,0,0,0.58250774,4.9742251,64.753407,24.081706,40.566969
D0000150,0.27220983,0,0,0,0,0.39739657,5.1130126,64.996977,24.730747,39.562447
D0000151,0.18579341,0,0,0,0,0.19915784,4.9749827,64.99839,23.819501,39.543786
D0000152,0.50373878,0,0,0,0,0.19851177,4.9888742,65.65852,24.204771,40.642675
D0000153,0.2427017,0,0,0,0,0.2075354,5.0885553,65.06205,24.43217,40.06978
D0000154,0.73012909,0,0,0,0,0.25378948,5.0686876,64.890399,24.281525,39.989331
D0000155,0.71611945,0,0,0,0,0.37634495,4.9562184,65.168397,24.401309,39.782957
D0000156,0.21498725,0,0,0,0,0.34322667,5.0325257,65.610855,24.010148,40.303537
D0000157,0.26914872,0,0,0,0,0.18791382,5.136278,65.189982,24.1335,38.819456
D0000158,0.8327699,0,0,0,0,0.32016412,4.9807756,64.910902,24.489412,40.179014
D0000159,0.19474205,0,0,0,0,0.28597757,5.0030029,65.074375,24.224497,40.127489
D0000160,1.0070084,0,0,0,0,0.17418556,5.037159,64.489979,24.284572,39.974768
D0000161,-0.33013502,0,0,0,0,0.26166248,5.1116692,65.013189,24.142671,40.331006
D0000162,0.084602001,0,0,0,0,0.17520123,5.0921354,65.494339,23.781227,40.590283
D0000163,-0.09088051,0,0,0,0,0.19169182,5.0082732,64.642526,23.76523,41.271191
D0000164,-0.055229744,0,0,0,0,0.25302163,5.0136082,64.791402,24.348748,40.561677
D0000165,0.79997326,0,0,0,0,0.48173126,4.941058,65.102722,23.7889,41.681146
D0000166,0.25022627,0,0,0,0,0.15061347,5.0318233,65.0449,24.165335,40.785739
D0000167,0.61573272,0,0,0,0,0.17974461,5.0179048,65.319532,23.855172,40.782188
D0000168,0.64697257,0,0,0,0,0.42467624,5.0612771,65.24287,24.131959,40.835161
D0000169,0.42181743,0,0,0,0,0.16865027,5.0238609,65.38819,23.663117,40.294224
D0000170,0.55046377,0,0,0,0,0.3247133,5.0905506,65.080544,24.171708,41.68799
D0000171,-0.013342333,0,0,0,0,0.17115412,5.1524949,64.584551,23.9079,41.115615
D0000172,-0.049943768,0,0,0,0,0.2073612,4.9558492,65.609893,23.721711,40.628309
D0000173,0.37954502,0,0,0,0,0.37782718,5.0785356,65.458095,24.276313,40.229096
D0000174,0.14295022,0,0,0,0,0.25554042,5.1386534,64.074069,23.905458,40.647871
D0000175,0.13732831,0,0,0,0,0.32824433,5.1042496,64.622771,24.245503,41.611904
D0000176,0.17608397,0,0,0,0,0.22970313,5.0689651,65.086852,23.626617,40.96527
D0000177,0.47048883,0,0,0,0,0.33760321,4.9886228,64.590227,24.273545,41.681757
D0000178,0.4831321,0,0,0,0,0.23857734,5.0061777,65.320204,23.965119,40.363928
D0000179,0.60346423,0,0,0,0,0.31473437,5.0617436,65.330537,23.955042,40.722905
D0000180,0.19358876,0,0,0,0,0.17469535,5.10181,64.12141,23.963922,41.61005
D0000181,0.016929425,0,0,0,0,0.45268504,5.0744348,64.966282,24.112701,41.188064
D0000182,0.14508697,0,0,0,0,0.19325214,5.0584455,65.516275,24.079856,40.265757
D0000183,-0.24939931,0,0,0,0,0.16074164,5.0075655,64.393366,23.742641,40.823967
D0000184,0.026104484,0,0,0,0,0.20041799,4.9786267,65.675515,24.259106,40.535977
D0000185,0.17562877,0,0,0,0,0.45534826,5.0086396,64.69975,23.731204,40.61539
D0000186,0.15406146,0,0,0,0,0.091036304,5.1312654,64.925226,24.07485,39.389069
D0000187,-0.083119194,0,0,0,0,0.35871022,5.027984,65.066066,24.295399,40.581727
D0000188,1.0766056,0,0,0,0,0.23069096,5.0828283,64.791918,24.041908,42.347376
D0000189,0.49232696,0,0,0,0,0.24260302,4.9848018,65.858125,24.17328,40.376103
D0000190,0.25813999,0,0,0,0,0.4029108,4.9960007,64.984347,24.0019,40.91528
D0000191,-0.026818077,0,0,0,0,0.27719692,5.1227013,66.211897,24.209396,41.390158
D0000192,0.22347439,0,0,0,0,0.26211079,5.2020537,65.50746,23.889838,40.271143
D0000193,0.86707238,0,0,0,0,0.4939727,5.0826005,65.090056,24.395486,39.989308
D0000194,0.65996141,0,0,0,0,0.37200555,5.0168076,65.289389,24.079653,39.960433
D0000195,0.75224815,0,1,0,0,0.56777287,5.0567562,65.583273,24.227107,40.549613
D0000196,1.0628036,0,0,0,0,0.46816695,5.0441146,64.88552,24.283282,39.896318
D0000197,0.5257476,0,0,0,0,0.23958389,5.0063133,64.43683,24.102167,39.59438
D0000198,0.8893247,0,0,0,0,0.36912093,4.9528678,65.226998,24.543586,39.52461
D0000199,0.40846733,0,0,0,0,0.29072734,4.9058842,64.872123,23.893004,40.503387
D0000200,0.47867749,0,0,0,0,0.3154853,5.0561958,64.623485,24.020473,39.694807
D0000201,0.73392743,0,0,0,0,0.41204598,5.0634868,64.648061,24.462636,40.444619
D0000202,0.92932668,0,0,0,0,0.57470407,5.02165,65.672941,24.483821,39.986286
D0000203,0.31005123,0,0,0,0,0.34771589,5.0699604,65.816992,24.152845,40.568916
D0000204,0.99503483,0,0,0,0,0.41169555,4.9153785,65.455154,24.141893,40.307745
D0000205,0.2579221,0,0,0,0,0.25420944,5.0550862,65.313968,24.44692,39.976862
D0000206,0.37996514,0,0,0,0,0.60221935,5.0346778,64.970636,24.582867,40.301328
D0000207,0.84087026,0,0,0,0,0.53024469,5.074437,65.751911,24.40162,40.442947
D0000208,0.36343842,0,0,0,0,0.91631138,5.0472227,63.819407,24.503191,39.559388
D0000209,0.86811407,0,0,0,0,0.5724067,5.0021388,65.177123,24.439881,40.307299
D0000210,0.53984345,0,0,0,0,0.80833029,5.0862265,65.057272,24.128979,40.168818
D0000211,0.91256752,0,0,0,0,0.27959715,5.012141,65.649236,24.444422,39.667656
D0000212,1.3118773,0,0,0,0,0.88262286,4.9637022,65.7761,24.443462,41.126126
D0000213,0.98202265,0,0,0,0,0.26276694,4.9956083,65.257512,24.321459,40.450354
D0000214,1.2250664,0,0,0,0,1.1168196,4.9114861,65.14914,24.686443,39.752261
D0000215,1.191729,0,0,0,0,0.53028519,4.9785212,65.174461,24.09228,40.385401
D0000216,0.53897327,0,0,0,0,0.53996796,4.9680987,64.810596,24.089689,40.247738
D0000217,1.0751441,0,0,0,0,1.099294,5.0744414,64.775399,24.459688,40.611867
D0000218,0.47159316,0,0,0,0,0.54850714,4.9905531,65.229686,24.172966,40.45296
D0000219,0.6910899,0,0,0,0,0.50350644,5.1051336,65.116306,24.33828,40.252515
D0000220,0.64259351,0,0,0,0,0.24222504,5.0139877,65.194054,24.206076,40.278387
D0000221,1.4074569,0,0,0,0,0.46619662,4.9768448,65.274239,24.370574,40.286999
D0000222,0.49660278,0,0,0,0,0.49811323,5.077283,65.243478,24.766716,39.352864
D0000223,0.53030254,0,0,0,0,0.50360444,4.9669974,64.103315,24.35568,40.017197
D0000224,0.2669391,0,0,0,0,0.3224144,5.0748669,64.90794,24.430989,40.306599
D0000225,0.61510879,0,0,0,0,0.31900496,5.025801,65.092153,24.101,40.337362
D0000226,0.0031138204,0,0,0,0,0.331687,4.9992493,64.697738,24.246478,40.776726
D0000227,0.15384595,0,0,0,0,0.29392294,4.9751148,64.694792,24.219634,39.872272
D0000228,0.52305587,0,0,0,0,0.35357729,4.9822289,64.833648,24.347235,40.784611
D0000229,0.58199248,0,0,0,0,0.55838408,5.0086784,64.998994,24.28257,40.056214
D0000230,0.35378336,0,0,0,0,0.34944274,4.9211821,66.005861,24.134878,40.357786
D0000231,0.36484332,0,0,0,0,0.50895639,5.0610996,64.561081,24.169599,39.852463
D0000232,0.25407853,1,0,0,0,0.46009256,4.9975146,64.441619,24.28086,39.747274
D0000233,1.339329,0,0,0,0,0.52862088,5.0364644,64.753869,24.697918,40.107501
D0000234,0.34710227,0,0,0,0,0.57027719,4.9328738,64.54148,24.186801,39.325474
D0000235,1.2437859,0,0,0,0,0.34584184,4.9918723,65.101,24.491699,40.324079
D0000236,0.90605708,0,0,0,0,0.46025204,5.0390109,65.134205,24.518117,40.197159
D0000237,0.13724468,0,0,0,0,0.48214838,5.1495494,65.617224,24.20294,39.961254
D0000238,0.38941389,0,0,0,0,0.73874627,4.8687078,64.454425,24.11552,39.861894
D0000239,-0.2251722,0,0,0,0,0.34720275,4.9682794,64.786815,24.367763,39.6451
D0000240,0.34735486,0,1,0,0,0.30476814,5.0349082,63.957115,24.262415,39.772645
D0000241,0.9598562,0,0,0,0,0.87688659,5.1047077,64.852579,24.408617,39.874069
D0000242,0.74210013,0,0,0,0,0.38258491,5.049659,63.724203,24.386005,39.852694
D0000243,0.29784674,0,0,0,0,0.37844005,5.0026845,63.863479,24.031085,39.501449
D0000244,0.95954941,0,1,0,0,0.43247123,5.1173418,65.591822,24.229822,40.388984
D0000245,0.76193092,0,0,0,0,0.25607211,5.1439176,64.35629,24.359716,40.290594
D0000246,0.602882,0,0,0,0,0.37030819,5.0076934,65.280275,24.335438,40.401989
D0000247,0.88113206,0,0,0,0,0.38036317,5.1004185,64.634552,24.312315,40.413052
D0000248,-0.0060979766,0,0,0,0,0.5553884,5.0929454,64.84034,24.061176,40.09269
D0000249,0.64394491,0,1,0,0,0.48354941,5.0588049,64.715129,24.385792,40.399959
D0000250,0.16969399,0,0,0,0,0.88476438,4.9379713,64.714938,24.310918,39.884856
D0000251,0.36628085,0,0,0,0,0.26505123,4.9613842,65.618351,24.159018,40.219456
D0000252,0.30627369,0,0,0,0,0.23299875,5.0165503,64.972581,24.156868,40.365944
D0000253,0.44484601,0,0,0,0,0.49083144,5.1481881,65.233228,24.359766,39.927851
D0000254,1.0239813,0,0,0,0,0.98753223,5.063909,65.492739,24.368129,40.457076
D0000255,0.87031179,0,0,0,0,0.39506522,5.054714,65.65672,24.458705,39.976721
D0000256,0.6629323,0,0,0,0,0.61014802,5.1884505,64.910436,24.805693,39.497681
D0000257,0.52268768,0,0,0,0,0.24583661,5.0099553,65.005547,23.814265,40.461722
D0000258,-0.37794349,0,0,0,0,0.2324698,4.8850223,65.383555,23.629293,38.824267
D0000259,0.14023759,0,0,0,0,0.22480574,5.0801049,64.98225,23.999975,40.161608
D0000260,-0.48762833,0,0,0,0,0.21847376,5.0313437,64.731217,23.725583,40.291667
D0000261,0.19195264,0,0,0,0,0.20201849,5.068618,64.978351,24.005076,40.942721
D0000262,0.52314018,0,0,0,0,0.16267778,5.1216948,64.759302,23.963097,40.68007
D0000263,0.58692846,0,0,0,0,0.21690683,5.0177569,64.148943,24.182845,40.000631
D0000264,0.31462191,0,0,0,0,0.1336685,4.9628426,65.198459,23.782454,40.613829
D0000265,0.72876686,0,0,0,0,0.42301646,4.9699358,64.813566,24.21783,39.948073
D0000266,0.28870963,0,0,0,0,0.21725074,5.0160134,65.434347,23.741114,40.13391
D0000267,0.71720572,0,0,0,0,0.20581997,4.9094165,65.702402,23.972684,40.15353
D0000268,0.63894188,0,0,0,0,0.36269597,4.9397695,64.382212,24.23992,40.764216
D0000269,-0.031562696,0,0,0,0,0.13662805,5.0540608,65.323356,23.731815,40.084503
D0000270,0.29945635,0,0,0,0,0.17667031,5.1168741,65.014467,23.885282,40.367741
D0000271,0.73740841,0,0,0,0,0.31878101,5.1121027,65.060152,24.153311,40.00313
D0000272,0.74914811,0,0,0,0,0.10740795,5.1020567,65.218119,24.044482,40.024794
D0000273,0.44704688,0,0,0,0,0.15056885,4.951536,65.249675,23.836594,40.312848
D0000274,-0.28533317,0,0,0,0,0.17164986,5.1092316,65.157729,23.859147,40.576058
D0000275,1.0241073,0,0,0,0,0.16491279,4.9849158,64.870108,23.850867,40.058931
D0000276,0.56072362,0,0,0,0,0.23325724,5.0628606,65.906942,24.233965,39.135408
D0000277,0.074321495,0,0,0,0,0.290082,5.0716477,64.564917,23.820139,39.883742
D0000278,0.68364193,0,0,0,0,0.29461379,5.0308743,64.824693,23.934907,40.21548
D0000279,0.67599392,0,0,0,0,0.31317942,5.1569473,64.538202,24.112763,40.251088
D0000280,-0.034681699,0,0,0,0,0.12456937,4.9779661,64.878686,23.802677,39.083774
D0000281,0.38717751,0,0,0,0,0.25896241,4.9770682,65.266628,23.607963,40.099771
D0000282,0.37541152,0,0,0,0,0.20337693,5.0520575,65.366917,23.863966,40.568936
D0000283,0.80382557,0,0,0,0,0.28033737,5.098219,65.335993,23.9332,39.991128
D0000284,-0.1010704,0,0,0,0,0.16829396,4.9649445,65.156006,23.688868,39.780324
D0000285,0.26915374,0,0,0,0,0.15004823,4.9895329,65.533856,23.50448,39.826674
D0000286,0.16026569,0,0,0,0,0.30612894,5.007194,64.849227,23.874216,40.056097
D0000287,0.27296893,0,0,0,0,0.10479875,4.9505017,65.278466,24.056624,40.281291
D0000288,0.24226556,0,0,0,0,0.11285202,5.2107895,64.742882,24.082311,39.930894
D0000289,0.54267798,0,0,0,0,0.44714586,5.027497,64.448876,24.298778,41.140255
D0000290,0.28319236,0,0,0,0,0.53349299,5.0536455,65.105148,23.964526,40.31892
D0000291,0.20966729,0,0,0,0,0.40306261,4.9104772,64.118161,24.139427,39.567377
D0000292,0.21461428,0,0,0,0,0.53648096,5.0486409,65.021726,24.054658,41.254662
D0000293,0.16810281,0,0,0,0,0.35027825,4.9756372,64.283016,23.915137,40.432978
D0000294,0.10726125,0,0,0,0,0.14561247,4.9854996,64.675073,24.040201,39.756512
D0000295,0.75771617,0,0,0,0,0.26849534,4.909581,64.769777,24.037949,40.540029
D0000296,-0.1295701,0,0,0,0,0.34837125,4.9773386,64.767364,23.859228,40.33175
D0000297,0.33934737,0,0,0,0,0.42411164,5.0590676,65.691983,24.12917,40.530979
D0000298,0.5864917,0,0,0,0,0.49530038,4.9645557,64.552884,24.235331,40.458055
D0000299,-0.20755955,0,0,0,0,0.26359334,5.0079639,64.247353,23.672046,41.023838
