wafer_id,lot_id,wafer_slot,wafer_diameter_mm,full_die_sites_on_assumed_grid,sampled_die_sites,stack_layer_count,split,start_time_utc
W000094,L0004,19,300,621,32,8,train,2025-01-02T14:24:00Z
W000095,L0004,20,300,621,32,8,train,2025-01-02T14:32:00Z
W000096,L0004,21,300,621,32,8,train,2025-01-02T14:40:00Z
W000097,L0004,22,300,621,32,8,train,2025-01-02T14:48:00Z
W000098,L0004,23,300,621,32,8,train,2025-01-02T14:56:00Z
W000099,L0004,24,300,621,32,8,train,2025-01-02T15:04:00Z
W000100,L0004,25,300,621,32,8,train,2025-01-02T15:12:00Z
W000101,L0005,1,300,621,32,12,train,2025-01-03T00:00:00Z
W000102,L0005,2,300,621,32,12,train,2025-01-03T00:08:00Z
W000103,L0005,3,300,621,32,12,train,2025-01-03T00:16:00Z
W000104,L0005,4,300,621,32,12,train,2025-01-03T00:24:00Z
W000105,L0005,5,300,621,32,12,train,2025-01-03T00:32:00Z
W000106,L0005,6,300,621,32,12,train,2025-01-03T00:40:00Z
W000107,L0005,7,300,621,32,12,train,2025-01-03T00:48:00Z
W000108,L0005,8,300,621,32,12,train,2025-01-03T00:56:00Z
W000109,L0005,9,300,621,32,12,train,2025-01-03T01:04:00Z
W000110,L0005,10,300,621,32,12,train,2025-01-03T01:12:00Z
W000111,L0005,11,300,621,32,12,train,2025-01-03T01:20:00Z
W000112,L0005,12,300,621,32,12,train,2025-01-03T01:28:00Z
W000113,L0005,13,300,621,32,12,train,2025-01-03T01:36:00Z
W000114,L0005,14,300,621,32,12,train,2025-01-03T01:44:00Z
W000115,L0005,15,300,621,32,12,train,2025-01-03T01:52:00Z
W000116,L0005,16,300,621,32,12,train,2025-01-03T02:00:00Z
W000117,L0005,17,300,621,32,12,train,2025-01-03T02:08:00Z
W000118,L0005,18,300,621,32,12,train,2025-01-03T02:16:00Z
W000119,L0005,19,300,621,32,12,train,2025-01-03T02:24:00Z
W000120,L0005,20,300,621,32,12,train,2025-01-03T02:32:00Z
W000121,L0005,21,300,621,32,12,train,2025-01-03T02:40:00Z
W000122,L0005,22,300,621,32,12,train,2025-01-03T02:48:00Z
W000123,L0005,23,300,621,32,12,train,2025-01-03T02:56:00Z
W000124,L0005,24,300,621,32,12,train,2025-01-03T03:04:00Z
W000125,L0005,25,300,621,32,12,train,2025-01-03T03:12:00Z
W000126,L0006,1,300,621,32,8,train,2025-01-03T12:00:00Z
W000127,L0006,2,300,621,32,8,train,2025-01-03T12:08:00Z
W000128,L0006,3,300,621,32,8,train,2025-01-03T12:16:00Z
W000129,L0006,4,300,621,32,8,train,2025-01-03T12:24:00Z
W000130,L0006,5,300,621,32,8,train,2025-01-03T12:32:00Z
W000131,L0006,6,300,621,32,8,train,2025-01-03T12:40:00Z
W000132,L0006,7,300,621,32,8,train,2025-01-03T12:48:00Z
W000133,L0006,8,300,621,32,8,train,2025-01-03T12:56:00Z
W000134,L0006,9,300,621,32,8,train,2025-01-03T13:04:00Z
W000135,L0006,10,300,621,32,8,train,2025-01-03T13:12:00Z
W000136,L0006,11,300,621,32,8,train,2025-01-03T13:20:00Z
W000137,L0006,12,300,621,32,8,train,2025-01-03T13:28:00Z
W000138,L0006,13,300,621,32,8,train,2025-01-03T13:36:00Z
W000139,L0006,14,300,621,32,8,train,2025-01-03T13:44:00Z
W000140,L0006,15,300,621,32,8,train,2025-01-03T13:52:00Z
W000141,L0006,16,300,621,32,8,train,2025-01-03T14:00:00Z
W000142,L0006,17,300,621,32,8,train,2025-01-03T14:08:00Z
W000143,L0006,18,300,621,32,8,train,2025-01-03T14:16:00Z
W000144,L0006,19,300,621,32,8,train,2025-01-03T14:24:00Z
W000145,L0006,20,300,621,32,8,train,2025-01-03T14:32:00Z
W000146,L0006,21,300,621,32,8,train,2025-01-03T14:40:00Z
W000147,L0006,22,300,621,32,8,train,2025-01-03T14:48:00Z
W000148,L0006,23,300,621,32,8,train,2025-01-03T14:56:00Z
W000149,L0006,24,300,621,32,8,train,2025-01-03T15:04:00Z
W000150,L0006,25,300,621,32,8,train,2025-01-03T15:12:00Z
W000151,L0007,1,300,621,32,8,train,2025-01-04T00:00:00Z
W000152,L0007,2,300,621,32,8,train,2025-01-04T00:08:00Z
W000153,L0007,3,300,621,32,8,train,2025-01-04T00:16:00Z
W000154,L0007,4,300,621,32,8,train,2025-01-04T00:24:00Z
W000155,L0007,5,300,621,32,8,train,2025-01-04T00:32:00Z
W000156,L0007,6,300,621,32,8,train,2025-01-04T00:40:00Z
W000157,L0007,7,300,621,32,8,train,2025-01-04T00:48:00Z
W000158,L0007,8,300,621,32,8,train,2025-01-04T00:56:00Z
W000159,L0007,9,300,621,32,8,train,2025-01-04T01:04:00Z
W000160,L0007,10,300,621,32,8,train,2025-01-04T01:12:00Z
W000161,L0007,11,300,621,32,8,train,2025-01-04T01:20:00Z
W000162,L0007,12,300,621,32,8,train,2025-01-04T01:28:00Z
W000163,L0007,13,300,621,32,8,train,2025-01-04T01:36:00Z
W000164,L0007,14,300,621,32,8,train,2025-01-04T01:44:00Z
W000165,L0007,15,300,621,32,8,train,2025-01-04T01:52:00Z
W000166,L0007,16,300,621,32,8,train,2025-01-04T02:00:00Z
W000167,L0007,17,300,621,32,8,train,2025-01-04T02:08:00Z
W000168,L0007,18,300,621,32,8,train,2025-01-04T02:16:00Z
W000169,L0007,19,300,621,32,8,train,2025-01-04T02:24:00Z
W000170,L0007,20,300,621,32,8,train,2025-01-04T02:32:00Z
W000171,L0007,21,300,621,32,8,train,2025-01-04T02:40:00Z
W000172,L0007,22,300,621,32,8,train,2025-01-04T02:48:00Z
W000173,L0007,23,300,621,32,8,train,2025-01-04T02:56:00Z
W000174,L0007,24,300,621,32,8,train,2025-01-04T03:04:00Z
W000175,L0007,25,300,621,32,8,train,2025-01-04T03:12:00Z
W000176,L0008,1,300,621,32,8,train,2025-01-04T12:00:00Z
W000177,L0008,2,300,621,32,8,train,2025-01-04T12:08:00Z
W000178,L0008,3,300,621,32,8,train,2025-01-04T12:16:00Z
W000179,L0008,4,300,621,32,8,train,2025-01-04T12:24:00Z
W000180,L0008,5,300,621,32,8,train,2025-01-04T12:32:00Z
W000181,L0008,6,300,621,32,8,train,2025-01-04T12:40:00Z
W000182,L0008,7,300,621,32,8,train,2025-01-04T12:48:00Z
W000183,L0008,8,300,621,32,8,train,2025-01-04T12:56:00Z
W000184,L0008,9,300,621,32,8,train,2025-01-04T13:04:00Z
W000185,L0008,10,300,621,32,8,train,2025-01-04T13:12:00Z
W000186,L0008,11,300,621,32,8,train,2025-01-04T13:20:00Z
W000187,L0008,12,300,621,32,8,train,2025-01-04T13:28:00Z
W000188,L0008,13,300,621,32,8,train,2025-01-04T13:36:00Z
W000189,L0008,14,300,621,32,8,train,2025-01-04T13:44:00Z
W000190,L0008,15,300,621,32,8,train,2025-01-04T13:52:00Z
W000191,L0008,16,300,621,32,8,train,2025-01-04T14:00:00Z
W000192,L0008,17,300,621,32,8,train,2025-01-04T14:08:00Z
W000193,L0008,18,300,621,32,8,train,2025-01-04T14:16:00Z
W000194,L0008,19,300,621,32,8,train,2025-01-04T14:24:00Z
W000195,L0008,20,300,621,32,8,train,2025-01-04T14:32:00Z
W000196,L0008,21,300,621,32,8,train,2025-01-04T14:40:00Z
W000197,L0008,22,300,621,32,8,train,2025-01-04T14:48:00Z
W000198,L0008,23,300,621,32,8,train,2025-01-04T14:56:00Z
W000199,L0008,24,300,621,32,8,train,2025-01-04T15:04:00Z
W000200,L0008,25,300,621,32,8,train,2025-01-04T15:12:00Z
W000201,L0009,1,300,621,32,12,train,2025-01-05T00:00:00Z
W000202,L0009,2,300,621,32,12,train,2025-01-05T00:08:00Z
W000203,L0009,3,300,621,32,12,train,2025-01-05T00:16:00Z
W000204,L0009,4,300,621,32,12,train,2025-01-05T00:24:00Z
W000205,L0009,5,300,621,32,12,train,2025-01-05T00:32:00Z
W000206,L0009,6,300,621,32,12,train,2025-01-05T00:40:00Z
W000207,L0009,7,300,621,32,12,train,2025-01-05T00:48:00Z
W000208,L0009,8,300,621,32,12,train,2025-01-05T00:56:00Z
W000209,L0009,9,300,621,32,12,train,2025-01-05T01:04:00Z
W000210,L0009,10,300,621,32,12,train,2025-01-05T01:12:00Z
W000211,L0009,11,300,621,32,12,train,2025-01-05T01:20:00Z
W000212,L0009,12,300,621,32,12,train,2025-01-05T01:28:00Z
W000213,L0009,13,300,621,32,12,train,2025-01-05T01:36:00Z
W000214,L0009,14,300,621,32,12,train,2025-01-05T01:44:00Z
W000215,L0009,15,300,621,32,12,train,2025-01-05T01:52:00Z
W000216,L0009,16,300,621,32,12,train,2025-01-05T02:00:00Z
W000217,L0009,17,300,621,32,12,train,2025-01-05T02:08:00Z
W000218,L0009,18,300,621,32,12,train,2025-01-05T02:16:00Z
W000219,L0009,19,300,621,32,12,train,2025-01-05T02:24:00Z
W000220,L0009,20,300,621,32,12,train,2025-01-05T02:32:00Z
W000221,L0009,21,300,621,32,12,train,2025-01-05T02:40:00Z
W000222,L0009,22,300,621,32,12,train,2025-01-05T02:48:00Z
W000223,L0009,23,300,621,32,12,train,2025-01-05T02:56:00Z
W000224,L0009,24,300,621,32,12,train,2025-01-05T03:04:00Z
W000225,L0009,25,300,621,32,12,train,2025-01-05T03:12:00Z
W000226,L0010,1,300,621,32,8,train,2025-01-05T12:00:00Z
W000227,L0010,2,300,621,32,8,train,2025-01-05T12:08:00Z
W000228,L0010,3,300,621,32,8,train,2025-01-05T12:16:00Z
W000229,L0010,4,300,621,32,8,train,2025-01-05T12:24:00Z
W000230,L0010,5,300,621,32,8,train,2025-01-05T12:32:00Z
W000231,L0010,6,300,621,32,8,train,2025-01-05T12:40:00Z
W000232,L0010,7,300,621,32,8,train,2025-01-05T12:48:00Z
W000233,L0010,8,300,621,32,8,train,2025-01-05T12:56:00Z
W000234,L0010,9,300,621,32,8,train,2025-01-05T13:04:00Z
W000235,L0010,10,300,621,32,8,train,2025-01-05T13:12:00Z
W000236,L0010,11,300,621,32,8,train,2025-01-05T13:20:00Z
W000237,L0010,12,300,621,32,8,train,2025-01-05T13:28:00Z
W000238,L0010,13,300,621,32,8,train,2025-01-05T13:36:00Z
W000239,L0010,14,300,621,32,8,train,2025-01-05T13:44:00Z
W000240,L0010,15,300,621,32,8,train,2025-01-05T13:52:00Z
W000241,L0010,16,300,621,32,8,train,2025-01-05T14:00:00Z
W000242,L0010,17,300,621,32,8,train,2025-01-05T14:08:00Z
W000243,L0010,18,300,621,32,8,train,2025-01-05T14:16:00Z
W000244,L0010,19,300,621,32,8,train,2025-01-05T14:24:00Z
W000245,L0010,20,300,621,32,8,train,2025-01-05T14:32:00Z
W000246,L0010,21,300,621,32,8,train,2025-01-05T14:40:00Z
W000247,L0010,22,300,621,32,8,train,2025-01-05T14:48:00Z
W000248,L0010,23,300,621,32,8,train,2025-01-05T14:56:00Z
W000249,L0010,24,300,621,32,8,train,2025-01-05T15:04:00Z
W000250,L0010,25,300,621,32,8,train,2025-01-05T15:12:00Z
W000251,L0011,1,300,621,32,12,train,2025-01-06T00:00:00Z
W000252,L0011,2,300,621,32,12,train,2025-01-06T00:08:00Z
W000253,L0011,3,300,621,32,12,train,2025-01-06T00:16:00Z
W000254,L0011,4,300,621,32,12,train,2025-01-06T00:24:00Z
W000255,L0011,5,300,621,32,12,train,2025-01-06T00:32:00Z
W000256,L0011,6,300,621,32,12,train,2025-01-06T00:40:00Z
W000257,L0011,7,300,621,32,12,train,2025-01-06T00:48:00Z
W000258,L0011,8,300,621,32,12,train,2025-01-06T00:56:00Z
W000259,L0011,9,300,621,32,12,train,2025-01-06T01:04:00Z
W000260,L0011,10,300,621,32,12,train,2025-01-06T01:12:00Z
W000261,L0011,11,300,621,32,12,train,2025-01-06T01:20:00Z
W000262,L0011,12,300,621,32,12,train,2025-01-06T01:28:00Z
W000263,L0011,13,300,621,32,12,train,2025-01-06T01:36:00Z
W000264,L0011,14,300,621,32,12,train,2025-01-06T01:44:00Z
W000265,L0011,15,300,621,32,12,train,2025-01-06T01:52:00Z
W000266,L0011,16,300,621,32,12,train,2025-01-06T02:00:00Z
W000267,L0011,17,300,621,32,12,train,2025-01-06T02:08:00Z
W000268,L0011,18,300,621,32,12,train,2025-01-06T02:16:00Z
W000269,L0011,19,300,621,32,12,train,2025-01-06T02:24:00Z
W000270,L0011,20,300,621,32,12,train,2025-01-06T02:32:00Z
W000271,L0011,21,300,621,32,12,train,2025-01-06T02:40:00Z
W000272,L0011,22,300,621,32,12,train,2025-01-06T02:48:00Z
W000273,L0011,23,300,621,32,12,train,2025-01-06T02:56:00Z
W000274,L0011,24,300,621,32,12,train,2025-01-06T03:04:00Z
W000275,L0011,25,300,621,32,12,train,2025-01-06T03:12:00Z
W000276,L0012,1,300,621,32,12,train,2025-01-06T12:00:00Z
W000277,L0012,2,300,621,32,12,train,2025-01-06T12:08:00Z
W000278,L0012,3,300,621,32,12,train,2025-01-06T12:16:00Z
W000279,L0012,4,300,621,32,12,train,2025-01-06T12:24:00Z
W000280,L0012,5,300,621,32,12,train,2025-01-06T12:32:00Z
W000281,L0012,6,300,621,32,12,train,2025-01-06T12:40:00Z
W000282,L0012,7,300,621,32,12,train,2025-01-06T12:48:00Z
W000283,L0012,8,300,621,32,12,train,2025-01-06T12:56:00Z
W000284,L0012,9,300,621,32,12,train,2025-01-06T13:04:00Z
W000285,L0012,10,300,621,32,12,train,2025-01-06T13:12:00Z
W000286,L0012,11,300,621,32,12,train,2025-01-06T13:20:00Z
W000287,L0012,12,300,621,32,12,train,2025-01-06T13:28:00Z
W000288,L0012,13,300,621,32,12,train,2025-01-06T13:36:00Z
W000289,L0012,14,300,621,32,12,train,2025-01-06T13:44:00Z
W000290,L0012,15,300,621,32,12,train,2025-01-06T13:52:00Z
W000291,L0012,16,300,621,32,12,train,2025-01-06T14:00:00Z
W000292,L0012,17,300,621,32,12,train,2025-01-06T14:08:00Z
W000293,L0012,18,300,621,32,12,train,2025-01-06T14:16:00Z
W000294,L0012,19,300,621,32,12,train,2025-01-06T14:24:00Z
W000295,L0012,20,300,621,32,12,train,2025-01-06T14:32:00Z
W000296,L0012,21,300,621,32,12,train,2025-01-06T14:40:00Z
W000297,L0012,22,300,621,32,12,train,2025-01-06T14:48:00Z
W000298,L0012,23,300,621,32,12,train,2025-01-06T14:56:00Z
W000299,L0012,24,300,621,32,12,train,2025-01-06T15:04:00Z
W000300,L0012,25,300,621,32,12,train,2025-01-06T15:12:00Z
W000301,L0013,1,300,621,32,8,train,2025-01-07T00:00:00Z
W000302,L0013,2,300,621,32,8,train,2025-01-07T00:08:00Z
W000303,L0013,3,300,621,32,8,train,2025-01-07T00:16:00Z
W000304,L0013,4,300,621,32,8,train,2025-01-07T00:24:00Z
W000305,L0013,5,300,621,32,8,train,2025-01-07T00:32:00Z
W000306,L0013,6,300,621,32,8,train,2025-01-07T00:40:00Z
W000307,L0013,7,300,621,32,8,train,2025-01-07T00:48:00Z
W000308,L0013,8,300,621,32,8,train,2025-01-07T00:56:00Z
W000309,L0013,9,300,621,32,8,train,2025-01-07T01:04:00Z
W000310,L0013,10,300,621,32,8,train,2025-01-07T01:12:00Z
W000311,L0013,11,300,621,32,8,train,2025-01-07T01:20:00Z
W000312,L0013,12,300,621,32,8,train,2025-01-07T01:28:00Z
W000313,L0013,13,300,621,32,8,train,2025-01-07T01:36:00Z
W000314,L0013,14,300,621,32,8,train,2025-01-07T01:44:00Z
W000315,L0013,15,300,621,32,8,train,2025-01-07T01:52:00Z
W000316,L0013,16,300,621,32,8,train,2025-01-07T02:00:00Z
W000317,L0013,17,300,621,32,8,train,2025-01-07T02:08:00Z
W000318,L0013,18,300,621,32,8,train,2025-01-07T02:16:00Z
W000319,L0013,19,300,621,32,8,train,2025-01-07T02:24:00Z
W000320,L0013,20,300,621,32,8,train,2025-01-07T02:32:00Z
W000321,L0013,21,300,621,32,8,train,2025-01-07T02:40:00Z
W000322,L0013,22,300,621,32,8,train,2025-01-07T02:48:00Z
W000323,L0013,23,300,621,32,8,train,2025-01-07T02:56:00Z
W000324,L0013,24,300,621,32,8,train,2025-01-07T03:04:00Z
W000325,L0013,25,300,621,32,8,train,2025-01-07T03:12:00Z
W000326,L0014,1,300,621,32,12,train,2025-01-07T12:00:00Z
W000327,L0014,2,300,621,32,12,train,2025-01-07T12:08:00Z
W000328,L0014,3,300,621,32,12,train,2025-01-07T12:16:00Z
W000329,L0014,4,300,621,32,12,train,2025-01-07T12:24:00Z
W000330,L0014,5,300,621,32,12,train,2025-01-07T12:32:00Z
W000331,L0014,6,300,621,32,12,train,2025-01-07T12:40:00Z
W000332,L0014,7,300,621,32,12,train,2025-01-07T12:48:00Z
W000333,L0014,8,300,621,32,12,train,2025-01-07T12:56:00Z
W000334,L0014,9,300,621,32,12,train,2025-01-07T13:04:00Z
W000335,L0014,10,300,621,32,12,train,2025-01-07T13:12:00Z
W000336,L0014,11,300,621,32,12,train,2025-01-07T13:20:00Z
W000337,L0014,12,300,621,32,12,train,2025-01-07T13:28:00Z
W000338,L0014,13,300,621,32,12,train,2025-01-07T13:36:00Z
W000339,L0014,14,300,621,32,12,train,2025-01-07T13:44:00Z
W000340,L0014,15,300,621,32,12,train,2025-01-07T13:52:00Z
W000341,L0014,16,300,621,32,12,train,2025-01-07T14:00:00Z
W000342,L0014,17,300,621,32,12,train,2025-01-07T14:08:00Z
W000343,L0014,18,300,621,32,12,train,2025-01-07T14:16:00Z
W000344,L0014,19,300,621,32,12,train,2025-01-07T14:24:00Z
W000345,L0014,20,300,621,32,12,train,2025-01-07T14:32:00Z
W000346,L0014,21,300,621,32,12,train,2025-01-07T14:40:00Z
W000347,L0014,22,300,621,32,12,train,2025-01-07T14:48:00Z
W000348,L0014,23,300,621,32,12,train,2025-01-07T14:56:00Z
W000349,L0014,24,300,621,32,12,train,2025-01-07T15:04:00Z
W000350,L0014,25,300,621,32,12,train,2025-01-07T15:12:00Z
W000351,L0015,1,300,621,32,8,train,2025-01-08T00:00:00Z
W000352,L0015,2,300,621,32,8,train,2025-01-08T00:08:00Z
W000353,L0015,3,300,621,32,8,train,2025-01-08T00:16:00Z
W000354,L0015,4,300,621,32,8,train,2025-01-08T00:24:00Z
W000355,L0015,5,300,621,32,8,train,2025-01-08T00:32:00Z
W000356,L0015,6,300,621,32,8,train,2025-01-08T00:40:00Z
W000357,L0015,7,300,621,32,8,train,2025-01-08T00:48:00Z
W000358,L0015,8,300,621,32,8,train,2025-01-08T00:56:00Z
W000359,L0015,9,300,621,32,8,train,2025-01-08T01:04:00Z
W000360,L0015,10,300,621,32,8,train,2025-01-08T01:12:00Z
W000361,L0015,11,300,621,32,8,train,2025-01-08T01:20:00Z
W000362,L0015,12,300,621,32,8,train,2025-01-08T01:28:00Z
W000363,L0015,13,300,621,32,8,train,2025-01-08T01:36:00Z
W000364,L0015,14,300,621,32,8,train,2025-01-08T01:44:00Z
W000365,L0015,15,300,621,32,8,train,2025-01-08T01:52:00Z
W000366,L0015,16,300,621,32,8,train,2025-01-08T02:00:00Z
W000367,L0015,17,300,621,32,8,train,2025-01-08T02:08:00Z
W000368,L0015,18,300,621,32,8,train,2025-01-08T02:16:00Z
W000369,L0015,19,300,621,32,8,train,2025-01-08T02:24:00Z
W000370,L0015,20,300,621,32,8,train,2025-01-08T02:32:00Z
W000371,L0015,21,300,621,32,8,train,2025-01-08T02:40:00Z
W000372,L0015,22,300,621,32,8,train,2025-01-08T02:48:00Z
W000373,L0015,23,300,621,32,8,train,2025-01-08T02:56:00Z
W000374,L0015,24,300,621,32,8,train,2025-01-08T03:04:00Z
W000375,L0015,25,300,621,32,8,train,2025-01-08T03:12:00Z
W000376,L0016,1,300,621,32,12,train,2025-01-08T12:00:00Z
W000377,L0016,2,300,621,32,12,train,2025-01-08T12:08:00Z
W000378,L0016,3,300,621,32,12,train,2025-01-08T12:16:00Z
W000379,L0016,4,300,621,32,12,train,2025-01-08T12:24:00Z
W000380,L0016,5,300,621,32,12,train,2025-01-08T12:32:00Z
W000381,L0016,6,300,621,32,12,train,2025-01-08T12:40:00Z
W000382,L0016,7,300,621,32,12,train,2025-01-08T12:48:00Z
W000383,L0016,8,300,621,32,12,train,2025-01-08T12:56:00Z
W000384,L0016,9,300,621,32,12,train,2025-01-08T13:04:00Z
W000385,L0016,10,300,621,32,12,train,2025-01-08T13:12:00Z
W000386,L0016,11,300,621,32,12,train,2025-01-08T13:20:00Z
W000387,L0016,12,300,621,32,12,train,2025-01-08T13:28:00Z
W000388,L0016,13,300,621,32,12,train,2025-01-08T13:36:00Z
W000389,L0016,14,300,621,32,12,train,2025-01-08T13:44:00Z
W000390,L0016,15,300,621,32,12,train,2025-01-08T13:52:00Z
W000391,L0016,16,300,621,32,12,train,2025-01-08T14:00:00Z
W000392,L0016,17,300,621,32,12,train,2025-01-08T14:08:00Z
W000393,L0016,18,300,621,32,12,train,2025-01-08T14:16:00Z
W000394,L0016,19,300,621,32,12,train,2025-01-08T14:24:00Z
W000395,L0016,20,300,621,32,12,train,2025-01-08T14:32:00Z
