run_id,wafer_id,process_step,process_order,tool_id,chamber_id,recipe_id,start_time_utc,end_time_utc,duration_sec,temperature_c,pressure_torr,gas_flow_sccm,etch_rate_nm_min,rf_source_power_w,temperature_std_c,temperature_slope_c_min,wafers_since_chamber_clean,hours_since_maintenance,consumable_age_cycles,alarm_count_run,cleanroom_humidity_pct,airborne_particles_per_m3
R0000011,W000011,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-01T01:20:00Z,2025-01-01T01:50:14Z,1814.1964,847.37987,780.51681,3961.6293,,,1.9488717,0.024367927,1,1.0666667,1,0,43.528365,2
R0000012,W000012,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H12_V1,2025-01-01T01:28:00Z,2025-01-01T01:57:38Z,1778.1447,847.68175,742.14517,4065.389,,,1.7,0.0052419284,1,1.0666667,1,0,43.854987,7
R0000013,W000013,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H12_V1,2025-01-01T01:36:00Z,2025-01-01T02:06:26Z,1826.7548,852.4729,756.26025,4012.4346,,,1.7,0.0084410681,1,1.0666667,1,0,42.119112,4
R0000014,W000014,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H12_V1,2025-01-01T01:44:00Z,2025-01-01T02:14:34Z,1834.0269,850.24363,774.45816,4055.017,,,1.9129371,-0.024725416,1,1.0666667,1,0,44.336061,4
R0000015,W000015,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H12_V1,2025-01-01T01:52:00Z,2025-01-01T02:22:20Z,1820.6207,851.57782,754.37164,3969.3928,,,1.8853291,-0.0023016069,1,1.0666667,1,0,43.80975,5
R0000016,W000016,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H12_V1,2025-01-01T02:00:00Z,2025-01-01T02:30:14Z,1814.2085,848.95734,751.92699,4126.6563,,,1.7,-0.0083914409,1,1.0666667,1,0,44.006301,3
R0000017,W000017,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-01T02:08:00Z,2025-01-01T02:37:21Z,1761.6816,843.74492,746.10232,4121.231,,,1.7,0.012856652,2,2.1333333,2,0,43.835949,3
R0000018,W000018,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-01T02:16:00Z,2025-01-01T02:46:15Z,1815.319,850.79515,759.07843,3926.0951,,,1.7067605,-0.032286365,2,2.1333333,2,0,42.272043,3
R0000019,W000019,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-01T02:24:00Z,2025-01-01T02:54:11Z,1811.9642,852.53231,764.5644,3949.2857,,,1.8597921,-0.00029447005,2,2.1333333,2,0,43.012189,7
R0000020,W000020,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H12_V1,2025-01-01T02:32:00Z,2025-01-01T03:01:53Z,1793.0441,844.41483,757.57775,4109.9348,,,1.7,0.0084304785,2,2.1333333,2,0,43.868057,5
R0000021,W000021,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H12_V1,2025-01-01T02:40:00Z,2025-01-01T03:10:05Z,1805.4185,849.35802,754.36642,3927.9099,,,1.8253709,-0.0415348,2,2.1333333,2,0,44.606326,3
R0000022,W000022,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H12_V1,2025-01-01T02:48:00Z,2025-01-01T03:18:30Z,1830.7696,851.50415,793.15781,4071.6559,,,1.9708876,0.0095537284,2,2.1333333,2,0,43.38355,2
R0000023,W000023,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H12_V1,2025-01-01T02:56:00Z,2025-01-01T03:26:32Z,1832.0244,846.37312,752.92796,3948.8037,,,1.7,-0.025794487,2,2.1333333,2,0,44.078891,2
R0000024,W000024,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H12_V1,2025-01-01T03:04:00Z,2025-01-01T03:34:04Z,1804.1357,845.21051,754.77099,4001.188,,,1.7,0.0040507234,2,2.1333333,2,0,43.774894,1
R0000025,W000025,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-01T03:12:00Z,2025-01-01T03:42:37Z,1837.7128,851.0645,748.3649,3958.8907,,,1.7,-0.01134871,3,3.2,3,0,43.595871,1
R0000026,W000026,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-01T12:00:00Z,2025-01-01T12:30:36Z,1836.4656,851.12501,773.40865,3973.4418,,,1.8810775,0.011220562,3,11.866667,3,0,41.983069,4
R0000027,W000027,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-01T12:08:00Z,2025-01-01T12:38:05Z,1805.2817,851.49232,771.04235,4042.8836,,,1.751172,0.0093842782,3,11.866667,3,0,43.515765,3
R0000028,W000028,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H12_V1,2025-01-01T12:16:00Z,2025-01-01T12:46:01Z,1801.3357,845.96597,735.51072,3956.0682,,,1.7,-0.013431836,3,11.866667,3,0,41.711084,3
R0000029,W000029,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H12_V1,2025-01-01T12:24:00Z,2025-01-01T12:54:37Z,1837.6055,846.3432,759.53738,3986.7955,,,1.7,-0.0054913957,3,11.866667,3,0,43.598218,3
R0000030,W000030,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H12_V1,2025-01-01T12:32:00Z,2025-01-01T13:02:14Z,1814.1434,850.13566,760.34133,4120.0103,,,1.944879,-0.017627688,3,11.866667,3,0,42.906771,4
R0000031,W000031,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H12_V1,2025-01-01T12:40:00Z,2025-01-01T13:10:06Z,1806.2112,851.77244,757.32675,3942.1014,,,1.7,0.012983078,3,11.866667,3,0,41.676865,2
R0000032,W000032,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H12_V1,2025-01-01T12:48:00Z,2025-01-01T13:16:48Z,1728.8201,848.21665,723.28793,4003.8156,,,1.7,0.0049515355,3,11.866667,3,0,40.854695,3
R0000033,W000033,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-01T12:56:00Z,2025-01-01T13:26:22Z,1822.9613,848.33282,762.70369,4042.1557,,,1.7,0.013426316,4,12.933333,4,0,42.238257,3
R0000034,W000034,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-01T13:04:00Z,2025-01-01T13:34:04Z,1804.907,843.51901,748.98301,4121.6736,,,1.7,0.036175131,4,12.933333,4,1,43.498618,2
R0000035,W000035,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-01T13:12:00Z,2025-01-01T13:41:42Z,1782.4678,853.0867,766.15934,4008.4848,,,1.7,-0.005980034,4,12.933333,4,0,41.954843,3
R0000036,W000036,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H12_V1,2025-01-01T13:20:00Z,2025-01-01T13:49:05Z,1745.0708,851.60218,757.89198,4021.8417,,,1.7,-0.02086704,4,12.933333,4,0,42.139609,5
R0000037,W000037,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H12_V1,2025-01-01T13:28:00Z,2025-01-01T13:57:46Z,1786.6872,847.82947,755.60146,3975.6748,,,1.794434,-0.024048032,4,12.933333,4,0,42.371807,7
R0000038,W000038,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H12_V1,2025-01-01T13:36:00Z,2025-01-01T14:05:28Z,1768.6188,852.13009,774.98218,4034.3912,,,1.9132368,-0.014950164,4,12.933333,4,0,41.610766,4
R0000039,W000039,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H12_V1,2025-01-01T13:44:00Z,2025-01-01T14:14:02Z,1802.3149,843.35703,778.38658,4091.0761,,,1.8673432,-0.025959951,4,12.933333,4,0,41.556721,2
R0000040,W000040,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H12_V1,2025-01-01T13:52:00Z,2025-01-01T14:21:26Z,1766.6466,844.95286,757.32005,4054.3824,,,1.7,-0.0065162261,4,12.933333,4,0,41.197288,3
R0000041,W000041,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-01T14:00:00Z,2025-01-01T14:30:29Z,1829.6035,848.54505,769.8912,3953.1154,,,1.7,-0.013044144,5,14,5,0,41.985242,3
R0000042,W000042,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-01T14:08:00Z,2025-01-01T14:37:23Z,1763.3107,848.71121,753.77527,4073.9412,,,1.7,-0.019775717,5,14,5,0,40.974609,4
R0000043,W000043,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-01T14:16:00Z,2025-01-01T14:46:34Z,1834.3571,856.09935,778.1801,3886.2818,,,2.2091155,0.0025432248,5,14,5,0,41.44064,2
R0000044,W000044,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H12_V1,2025-01-01T14:24:00Z,2025-01-01T14:53:40Z,1780.7121,849.57619,746.28356,4073.5521,,,1.7,0.017803754,5,14,5,0,42.821181,2
R0000045,W000045,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H12_V1,2025-01-01T14:32:00Z,2025-01-01T15:01:21Z,1761.6576,847.40764,737.85051,4043.9602,,,1.7,0.0084237638,5,14,5,0,42.503231,0
R0000046,W000046,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H12_V1,2025-01-01T14:40:00Z,2025-01-01T15:09:12Z,1752.8822,850.02302,747.43798,4108.5549,,,1.7,-0.012161509,5,14,5,0,42.387099,2
R0000047,W000047,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H12_V1,2025-01-01T14:48:00Z,2025-01-01T15:18:21Z,1821.3082,852.15791,763.18708,4014.4891,,,1.9172508,-0.0029409711,5,14,5,0,42.442879,6
R0000048,W000048,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H12_V1,2025-01-01T14:56:00Z,2025-01-01T15:25:21Z,1761.9204,847.3225,737.60442,3895.1328,,,1.7,0.018615603,5,14,5,0,42.513212,2
R0000049,W000049,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-01T15:04:00Z,2025-01-01T15:33:31Z,1771.8149,844.81229,748.26886,3947.9392,,,1.7,0.025395339,6,15.066667,6,0,41.464323,2
R0000050,W000050,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-01T15:12:00Z,2025-01-01T15:41:47Z,1787.3495,849.95338,750.06425,3936.1234,,,1.7,0.038575646,6,15.066667,6,0,42.180447,4
R0000051,W000051,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-02T00:00:00Z,2025-01-02T00:30:19Z,1819.6887,852.40506,751.25651,3983.0672,,,1.8114862,0.035618347,6,23.733333,6,0,41.7687,1
R0000052,W000052,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H12_V1,2025-01-02T00:08:00Z,2025-01-02T00:38:28Z,1828.4467,848.20997,766.41441,3923.2227,,,1.7,0.032135308,6,23.733333,6,0,41.37408,7
R0000053,W000053,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H12_V1,2025-01-02T00:16:00Z,2025-01-02T00:45:51Z,1791.0342,851.86661,745.15605,3914.9727,,,1.7886135,0.01236836,6,23.733333,6,0,42.996876,6
R0000054,W000054,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H12_V1,2025-01-02T00:24:00Z,2025-01-02T00:53:33Z,1773.7402,851.55523,761.19435,4081.0393,,,1.8299102,0.018162094,6,23.733333,6,0,42.118535,3
R0000055,W000055,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H12_V1,2025-01-02T00:32:00Z,2025-01-02T01:02:12Z,1812.3451,847.83449,743.78309,3923.7234,,,1.8316433,-0.0015691208,6,23.733333,6,0,42.694355,3
R0000056,W000056,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H12_V1,2025-01-02T00:40:00Z,2025-01-02T01:09:27Z,1767.0694,853.04761,741.81296,4041.1236,,,1.7,0.0098025247,6,23.733333,6,0,43.100721,2
R0000057,W000057,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-02T00:48:00Z,2025-01-02T01:18:28Z,1828.0439,852.77963,758.16129,3979.2261,,,1.7460178,0.024580518,7,24.8,7,0,42.486131,2
R0000058,W000058,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-02T00:56:00Z,2025-01-02T01:25:58Z,1798.1234,852.38714,765.35934,4039.4608,,,1.7,0.016671203,7,24.8,7,0,44.494316,0
R0000059,W000059,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-02T01:04:00Z,2025-01-02T01:33:51Z,1791.0425,845.77901,746.54383,3995.9481,,,1.7793864,-0.036931763,7,24.8,7,0,43.415779,1
R0000060,W000060,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H12_V1,2025-01-02T01:12:00Z,2025-01-02T01:41:36Z,1776.891,851.90886,758.04993,3967.2313,,,1.7,-0.014512116,7,24.8,7,0,42.785949,9
R0000061,W000061,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H12_V1,2025-01-02T01:20:00Z,2025-01-02T01:50:30Z,1830.3289,846.53933,748.72163,3971.8559,,,1.7337514,0.016662628,7,24.8,7,0,44.271884,6
R0000062,W000062,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H12_V1,2025-01-02T01:28:00Z,2025-01-02T01:58:21Z,1821.8158,854.5404,765.15981,3966.881,,,2.1076797,0.019502203,7,24.8,7,1,42.820183,5
R0000063,W000063,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H12_V1,2025-01-02T01:36:00Z,2025-01-02T02:06:19Z,1819.3657,853.71347,784.54223,3907.1415,,,2.1765763,0.0059893441,7,24.8,7,0,43.166311,1
R0000064,W000064,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H12_V1,2025-01-02T01:44:00Z,2025-01-02T02:13:34Z,1774.5508,847.62007,756.01774,4040.6956,,,1.7,0.011275383,7,24.8,7,0,43.891391,1
R0000065,W000065,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-02T01:52:00Z,2025-01-02T02:21:55Z,1795.5319,849.03819,750.92511,4067.6955,,,1.7,-0.028586632,8,25.866667,8,0,42.37886,3
R0000066,W000066,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-02T02:00:00Z,2025-01-02T02:29:35Z,1775.1965,846.35169,726.54243,3981.2247,,,1.7,0.012371508,8,25.866667,8,0,42.330584,4
R0000067,W000067,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-02T02:08:00Z,2025-01-02T02:38:05Z,1805.872,852.34349,753.92859,3848.9949,,,1.8301325,-0.0065412527,8,25.866667,8,0,41.94392,4
R0000068,W000068,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H12_V1,2025-01-02T02:16:00Z,2025-01-02T02:45:56Z,1796.6545,854.68396,753.92558,3909.733,,,1.7,-0.010328762,8,25.866667,8,0,41.745396,1
R0000069,W000069,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H12_V1,2025-01-02T02:24:00Z,2025-01-02T02:54:27Z,1827.3825,847.30983,779.34854,3963.8978,,,1.7250985,0.017765822,8,25.866667,8,0,43.174685,0
R0000070,W000070,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H12_V1,2025-01-02T02:32:00Z,2025-01-02T03:02:05Z,1805.5251,846.59373,771.2969,4013.7102,,,1.704244,-0.0067116275,8,25.866667,8,0,42.937188,3
R0000071,W000071,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H12_V1,2025-01-02T02:40:00Z,2025-01-02T03:10:59Z,1859.5105,853.71731,766.63716,3977.5437,,,2.0203199,-0.010036193,8,25.866667,8,0,43.98751,1
R0000072,W000072,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H12_V1,2025-01-02T02:48:00Z,2025-01-02T03:17:30Z,1770.2944,846.71584,749.3609,3980.6767,,,1.7,-0.0077981322,8,25.866667,8,0,40.599166,3
R0000073,W000073,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H12_V1,2025-01-02T02:56:00Z,2025-01-02T03:24:55Z,1735.7931,845.85106,751.87359,3987.8664,,,1.7,-0.019347253,9,26.933333,9,0,42.047377,2
R0000074,W000074,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H12_V1,2025-01-02T03:04:00Z,2025-01-02T03:34:03Z,1803.0833,844.0625,749.27705,4011.8637,,,1.7,0.052182401,9,26.933333,9,0,42.564191,5
R0000075,W000075,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H12_V1,2025-01-02T03:12:00Z,2025-01-02T03:41:46Z,1786.1726,849.17744,769.84182,4088.0399,,,1.7,0.0052235339,9,26.933333,9,0,42.808355,2
R0000076,W000076,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H8_V1,2025-01-02T12:00:00Z,2025-01-02T12:30:15Z,1815.6203,851.37973,763.9571,4034.0954,,,1.8060247,0.012289765,9,35.6,9,0,44.888717,7
R0000077,W000077,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H8_V1,2025-01-02T12:08:00Z,2025-01-02T12:38:21Z,1821.201,851.11349,746.73771,4005.1815,,,1.8189014,0.0029645442,9,35.6,9,0,46.518378,1
R0000078,W000078,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H8_V1,2025-01-02T12:16:00Z,2025-01-02T12:45:32Z,1772.804,849.2769,756.32404,4114.3664,,,1.879465,-0.0054410855,9,35.6,9,0,44.343761,6
R0000079,W000079,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H8_V1,2025-01-02T12:24:00Z,2025-01-02T12:54:15Z,1815.8072,849.87486,751.23085,4024.9087,,,1.7101091,-0.0050358697,9,35.6,9,0,44.413147,3
R0000080,W000080,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H8_V1,2025-01-02T12:32:00Z,2025-01-02T13:01:14Z,1754.6632,849.86708,737.37202,4042.3142,,,1.7,-0.011310937,9,35.6,9,0,45.142581,4
R0000081,W000081,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H8_V1,2025-01-02T12:40:00Z,2025-01-02T13:10:29Z,1829.752,847.65936,761.54875,3995.8456,,,1.7,-0.0042623541,10,36.666667,10,0,46.035782,4
R0000082,W000082,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H8_V1,2025-01-02T12:48:00Z,2025-01-02T13:17:40Z,1780.0685,850.96797,765.07541,4071.9312,,,1.7459562,-0.018534487,10,36.666667,10,0,43.361714,3
R0000083,W000083,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H8_V1,2025-01-02T12:56:00Z,2025-01-02T13:26:53Z,1853.7175,850.71794,788.34167,4018.2245,,,2.0511973,0.019622163,10,36.666667,10,0,46.462992,5
R0000084,W000084,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H8_V1,2025-01-02T13:04:00Z,2025-01-02T13:34:32Z,1832.4473,847.55726,776.43567,3960.8304,,,1.8386501,0.0030587136,10,36.666667,10,0,45.073829,0
R0000085,W000085,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H8_V1,2025-01-02T13:12:00Z,2025-01-02T13:41:27Z,1767.3236,852.73244,772.94487,3960.8373,,,1.9630757,0.0057552879,10,36.666667,10,0,44.483024,5
R0000086,W000086,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H8_V1,2025-01-02T13:20:00Z,2025-01-02T13:50:12Z,1812.77,852.90499,784.7136,3990.4115,,,2.1002066,0.021782001,10,36.666667,10,0,43.958513,5
R0000087,W000087,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H8_V1,2025-01-02T13:28:00Z,2025-01-02T13:58:35Z,1835.6855,850.40976,761.32662,3948.3272,,,1.8983422,0.0042058363,10,36.666667,10,0,43.979019,1
R0000088,W000088,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H8_V1,2025-01-02T13:36:00Z,2025-01-02T14:05:24Z,1764.7041,847.05788,731.0134,3980.5844,,,1.7,0.029675361,10,36.666667,10,0,44.361147,1
R0000089,W000089,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H8_V1,2025-01-02T13:44:00Z,2025-01-02T14:13:59Z,1799.3886,847.18235,766.91694,4009.9825,,,1.7218143,0.015627785,11,37.733333,11,0,45.157726,4
R0000090,W000090,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H8_V1,2025-01-02T13:52:00Z,2025-01-02T14:21:37Z,1777.8363,850.16286,731.85416,3938.4041,,,1.7867277,0.017529257,11,37.733333,11,0,45.953158,1
R0000091,W000091,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H8_V1,2025-01-02T14:00:00Z,2025-01-02T14:29:51Z,1791.6065,849.70277,778.1665,3965.0844,,,1.9052398,0.0070432129,11,37.733333,11,0,45.602761,0
R0000092,W000092,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H8_V1,2025-01-02T14:08:00Z,2025-01-02T14:37:54Z,1794.9055,847.04863,772.18571,4030.7354,,,1.7678588,-0.0045405525,11,37.733333,11,0,45.645468,1
R0000093,W000093,OXIDATION,1,OXIDATION_T03,OXIDATION_C05,R_OXIDATION_H8_V1,2025-01-02T14:16:00Z,2025-01-02T14:46:02Z,1802.809,855.29952,771.39202,4102.7717,,,2.0070433,-0.0091989583,11,37.733333,11,0,44.80442,6
R0000094,W000094,OXIDATION,1,OXIDATION_T03,OXIDATION_C06,R_OXIDATION_H8_V1,2025-01-02T14:24:00Z,2025-01-02T14:55:27Z,1887.6995,852.34877,772.48752,3988.464,,,1.8983047,0.012141069,11,37.733333,11,0,44.486537,4
R0000095,W000095,OXIDATION,1,OXIDATION_T04,OXIDATION_C07,R_OXIDATION_H8_V1,2025-01-02T14:32:00Z,2025-01-02T15:01:51Z,1791.1917,848.90691,764.95076,4084.5328,,,1.7620988,-0.010047192,11,37.733333,11,1,45.637004,4
R0000096,W000096,OXIDATION,1,OXIDATION_T04,OXIDATION_C08,R_OXIDATION_H8_V1,2025-01-02T14:40:00Z,2025-01-02T15:09:53Z,1793.8764,852.63245,729.4686,3969.4303,,,1.7,0.016418955,11,37.733333,11,0,43.549064,2
R0000097,W000097,OXIDATION,1,OXIDATION_T01,OXIDATION_C01,R_OXIDATION_H8_V1,2025-01-02T14:48:00Z,2025-01-02T15:18:50Z,1850.176,848.31117,761.40688,3879.6087,,,1.8630472,-0.016172016,12,38.8,12,0,45.712498,5
R0000098,W000098,OXIDATION,1,OXIDATION_T01,OXIDATION_C02,R_OXIDATION_H8_V1,2025-01-02T14:56:00Z,2025-01-02T15:26:04Z,1804.5295,850.76804,752.48045,3871.1622,,,1.736524,0.019736132,12,38.8,12,0,45.949382,7
R0000099,W000099,OXIDATION,1,OXIDATION_T02,OXIDATION_C03,R_OXIDATION_H8_V1,2025-01-02T15:04:00Z,2025-01-02T15:33:51Z,1791.7649,856.59134,751.82168,4018.2536,,,1.8230949,-0.033131626,12,38.8,12,0,44.952378,3
R0000100,W000100,OXIDATION,1,OXIDATION_T02,OXIDATION_C04,R_OXIDATION_H8_V1,2025-01-02T15:12:00Z,2025-01-02T15:42:11Z,1811.8003,843.50565,757.32573,4008.9981,,,1.7071559,0.028160118,12,38.8,12,0,45.200119,4
