base_die_id,base_lot_id,receiving_lot_id,base_die_source,probe_time_utc,base_die_thickness_um,base_leakage_current_ua,base_probe_pass,split,inventory_status
B0000018,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.535922,1.1262227,1,train,assembled
B0000019,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.658717,1.4985357,1,train,assembled
B0000020,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.863858,1.0234874,1,train,assembled
B0000021,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.31979,1.2810811,1,train,assembled
B0000022,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.181777,1.5253436,1,train,assembled
B0000023,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.657626,1.6321625,1,train,assembled
B0000024,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.98111,1.3810919,1,train,assembled
B0000025,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.771228,1.2931632,1,train,assembled
B0000026,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.195627,1.2008125,1,train,assembled
B0000027,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.986779,1.0577547,1,train,assembled
B0000028,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.52353,1.6160668,1,train,assembled
B0000029,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.47493,1.4513677,1,train,assembled
B0000030,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.687311,1.1573608,1,train,assembled
B0000031,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.701465,1.1539753,1,train,assembled
B0000032,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.529412,1.1213585,1,train,assembled
B0000033,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.029947,1.2405711,1,train,assembled
B0000034,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.915757,0.881346,1,train,assembled
B0000035,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.658653,1.5524408,1,train,assembled
B0000036,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.350842,1.1573162,1,train,assembled
B0000037,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.640432,0.76566119,1,train,assembled
B0000038,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.861592,0.80777329,1,train,assembled
B0000039,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.586395,1.6779482,1,train,assembled
B0000040,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.608237,1.150876,1,train,assembled
B0000041,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.529291,1.0168609,1,train,assembled
B0000042,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.699427,1.1978548,1,train,assembled
B0000043,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.421075,1.3836995,1,train,assembled
B0000044,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.141281,0.90798174,1,train,assembled
B0000045,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.29547,1.1816308,1,train,assembled
B0000046,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.425934,1.1188148,1,train,assembled
B0000047,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.952727,1.2274598,1,train,assembled
B0000048,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.088237,1.226791,1,train,assembled
B0000049,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.473172,1.2136619,1,train,assembled
B0000050,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.262611,0.97713273,1,train,assembled
B0000051,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.445768,1.2508562,1,train,assembled
B0000052,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.167423,1.0263415,1,train,assembled
B0000053,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.979314,1.1222747,1,train,assembled
B0000054,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.339409,1.6361983,1,train,assembled
B0000055,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.677754,1.3452514,1,train,assembled
B0000056,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.228431,1.1120506,1,train,assembled
B0000057,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.277588,1.1927549,1,train,assembled
B0000058,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.37083,0.94384084,1,train,assembled
B0000059,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.133622,1.2212072,1,train,assembled
B0000060,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.748937,0.86492919,1,train,assembled
B0000061,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.761739,1.3769731,1,train,assembled
B0000062,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.824545,1.2119636,1,train,assembled
B0000063,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.972342,1.2937508,1,train,assembled
B0000064,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.554652,1.037734,1,train,eligible_unassigned
B0000065,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.928078,1.0395054,1,train,eligible_unassigned
B0000066,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.851569,1.110644,1,train,eligible_unassigned
B0000067,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.60011,1.718712,1,train,eligible_unassigned
B0000068,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.032595,0.85674058,1,train,eligible_unassigned
B0000069,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,50.242382,1.1545583,1,train,eligible_unassigned
B0000070,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.693656,1.0102127,1,train,eligible_unassigned
B0000071,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.883423,1.934722,1,train,eligible_unassigned
B0000072,BL0001,L0001,synthetic_internal_HBM3E,2025-01-06T00:00:00Z,49.306097,1.4114824,1,train,eligible_unassigned
B0000073,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.795318,1.0186753,1,train,assembled
B0000074,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.430877,0.87421754,1,train,assembled
B0000075,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.802184,1.3476703,1,train,assembled
B0000076,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.60845,0.87650026,1,train,assembled
B0000077,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.728385,0.92426885,1,train,assembled
B0000078,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.945195,1.1803365,1,train,assembled
B0000079,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.390528,0.92643419,1,train,assembled
B0000080,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.545731,1.1786532,1,train,assembled
B0000081,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.939326,1.435228,1,train,assembled
B0000082,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.413538,1.1806213,1,train,assembled
B0000083,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.959587,1.4117409,1,train,assembled
B0000084,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.915181,1.1033009,1,train,assembled
B0000085,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.348838,1.1403333,1,train,assembled
B0000086,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.716331,0.90826616,1,train,assembled
B0000087,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.508877,1.1757024,1,train,assembled
B0000088,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.497278,1.1029398,1,train,assembled
B0000089,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.898915,1.4809236,1,train,assembled
B0000090,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.338299,0.982857,1,train,assembled
B0000091,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.574206,1.3121119,1,train,assembled
B0000092,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.147389,1.2686045,1,train,assembled
B0000093,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.478152,1.269999,1,train,assembled
B0000094,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.016302,0.76361909,1,train,assembled
B0000095,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.633363,1.1543617,1,train,assembled
B0000096,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.779367,1.0994055,1,train,assembled
B0000097,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.098582,1.0335948,1,train,assembled
B0000098,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.045758,1.5332125,1,train,assembled
B0000099,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.013369,0.88359091,1,train,assembled
B0000100,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.400405,1.4040995,1,train,assembled
B0000101,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.183353,1.6170746,1,train,assembled
B0000102,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.554591,1.2059605,1,train,assembled
B0000103,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.17884,1.5975812,1,train,assembled
B0000104,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.299974,1.5828497,1,train,assembled
B0000105,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.06019,0.95784098,1,train,assembled
B0000106,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.22111,1.1956176,1,train,assembled
B0000107,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.65213,1.795444,1,train,assembled
B0000108,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.284307,1.7213273,1,train,assembled
B0000109,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.863308,1.1340145,1,train,assembled
B0000110,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.849446,0.94941472,1,train,assembled
B0000111,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.251572,1.0358571,1,train,assembled
B0000112,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.830484,0.98905507,1,train,assembled
B0000113,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.971848,1.3550508,1,train,assembled
B0000114,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.847101,1.116167,1,train,assembled
B0000115,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.039558,1.0849662,1,train,assembled
B0000116,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.031458,0.98988821,1,train,assembled
B0000117,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.346071,1.2218082,1,train,assembled
B0000118,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.791389,0.98231581,1,train,assembled
B0000119,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.184635,0.91796404,1,train,assembled
B0000120,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.028165,0.82269672,1,train,assembled
B0000121,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.470425,1.1872298,1,train,assembled
B0000122,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.924933,0.91191146,1,train,assembled
B0000123,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.759348,1.2076459,1,train,assembled
B0000124,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.370912,1.6525698,1,train,assembled
B0000125,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.809754,1.027874,1,train,assembled
B0000126,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.350984,1.3985524,1,train,assembled
B0000127,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.606862,1.2403487,1,train,assembled
B0000128,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.888697,0.91323503,1,train,assembled
B0000129,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.557434,0.84331329,1,train,assembled
B0000130,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.240439,1.4204959,1,train,assembled
B0000131,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.793076,1.1563686,1,train,assembled
B0000132,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.732432,1.0669005,1,train,assembled
B0000133,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.881638,0.8029456,1,train,assembled
B0000134,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.905697,1.3369547,1,train,assembled
B0000135,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.078429,0.99449587,1,train,assembled
B0000136,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.096672,0.89302211,1,train,assembled
B0000137,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.087159,1.3478709,1,train,eligible_unassigned
B0000138,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.0085,1.6879364,1,train,eligible_unassigned
B0000139,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.342152,1.0046179,1,train,eligible_unassigned
B0000140,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.058595,1.1513332,1,train,eligible_unassigned
B0000141,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.428644,1.1487492,1,train,eligible_unassigned
B0000142,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.77957,1.1095637,1,train,eligible_unassigned
B0000143,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,50.413208,1.0257206,1,train,eligible_unassigned
B0000144,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.488021,1.2615987,1,train,eligible_unassigned
B0000145,BL0002,L0002,synthetic_internal_HBM3E,2025-01-06T12:00:00Z,49.619638,1.27382,1,train,eligible_unassigned
B0000146,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.515899,1.1794331,1,train,assembled
B0000147,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.344263,0.94332792,1,train,assembled
B0000148,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.983226,1.4509175,1,train,assembled
B0000149,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.3011,1.0585697,1,train,assembled
B0000150,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.079988,0.89413558,1,train,assembled
B0000151,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.843859,1.0249366,1,train,assembled
B0000152,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.754162,1.2586564,1,train,assembled
B0000153,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.733211,1.2336529,1,train,assembled
B0000154,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.667304,1.054082,1,train,assembled
B0000155,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.643711,0.94968692,1,train,assembled
B0000156,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.851779,1.3971272,1,train,assembled
B0000157,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.399135,1.3253035,1,train,assembled
B0000158,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.779441,0.86816445,1,train,assembled
B0000159,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.255951,1.2979894,1,train,assembled
B0000160,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.981106,1.0016242,1,train,assembled
B0000161,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.896565,1.3404062,1,train,assembled
B0000162,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.001622,0.91281751,1,train,assembled
B0000163,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.777088,1.3230493,1,train,assembled
B0000164,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.555537,1.1423951,1,train,assembled
B0000165,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.723806,0.89649349,1,train,assembled
B0000166,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.71961,1.2700018,1,train,assembled
B0000167,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.316674,0.86834852,1,train,assembled
B0000168,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.912588,1.0359815,1,train,assembled
B0000169,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.679409,1.0471439,1,train,assembled
B0000170,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.027623,0.88746514,1,train,assembled
B0000171,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.989441,0.85579544,1,train,assembled
B0000172,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.716487,1.5211408,1,train,assembled
B0000173,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.147757,1.1416589,1,train,assembled
B0000174,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.01155,0.89557665,1,train,assembled
B0000175,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.201949,1.18178,1,train,assembled
B0000176,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.0769,1.6281221,1,train,assembled
B0000177,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.775334,1.7194999,1,train,assembled
B0000178,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.547564,1.1017135,1,train,assembled
B0000179,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.797207,1.5451574,1,train,assembled
B0000180,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.777983,0.97665141,1,train,assembled
B0000181,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.887712,1.1273995,1,train,assembled
B0000182,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.962422,1.2786179,1,train,assembled
B0000183,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.128097,1.7111745,1,train,assembled
B0000184,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.633122,0.99966928,1,train,assembled
B0000185,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.511893,1.1913215,1,train,assembled
B0000186,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.272701,1.4129444,1,train,assembled
B0000187,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.836914,1.0514263,1,train,assembled
B0000188,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.521623,1.3135681,1,train,assembled
B0000189,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.63244,1.3389348,1,train,assembled
B0000190,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.756916,0.88779286,1,train,assembled
B0000191,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.150618,1.5572168,1,train,assembled
B0000192,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.969742,0.91949642,1,train,assembled
B0000193,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.647659,1.0621486,1,train,assembled
B0000194,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.419761,0.724085,1,train,assembled
B0000195,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.73538,1.3807863,1,train,assembled
B0000196,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.158819,1.1798706,1,train,assembled
B0000197,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.877206,1.4834117,1,train,assembled
B0000198,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.271207,1.4435061,1,train,assembled
B0000199,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.883614,1.1113909,1,train,assembled
B0000200,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.872309,1.2463116,1,train,assembled
B0000201,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.887256,1.3278823,1,train,assembled
B0000202,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.627487,1.1853993,1,train,assembled
B0000203,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.986463,1.2409071,1,train,assembled
B0000204,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.93717,1.1763313,1,train,assembled
B0000205,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.80962,0.90979757,1,train,assembled
B0000206,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.563968,1.2351122,1,train,assembled
B0000207,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.162837,0.79907481,1,train,assembled
B0000208,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.650621,1.374281,1,train,assembled
B0000209,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.217522,1.7972265,1,train,assembled
B0000210,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.262964,1.3331525,1,train,eligible_unassigned
B0000211,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.443302,0.90359868,1,train,eligible_unassigned
B0000212,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,48.970229,1.2497555,1,train,eligible_unassigned
B0000213,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.809356,1.355331,1,train,eligible_unassigned
B0000214,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,50.298391,1.0886692,1,train,eligible_unassigned
B0000215,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.507631,0.96194112,1,train,eligible_unassigned
B0000216,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.694574,1.6829916,1,train,eligible_unassigned
B0000217,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.8442,1.0976631,1,train,eligible_unassigned
B0000218,BL0003,L0003,synthetic_internal_HBM3E,2025-01-07T00:00:00Z,49.211304,1.5439549,1,train,eligible_unassigned
B0000219,BL0004,L0004,synthetic_internal_HBM3E,2025-01-07T12:00:00Z,50.16672,1.1805898,1,train,assembled
B0000220,BL0004,L0004,synthetic_internal_HBM3E,2025-01-07T12:00:00Z,50.231814,1.1280938,1,train,assembled
B0000221,BL0004,L0004,synthetic_internal_HBM3E,2025-01-07T12:00:00Z,50.217496,1.148569,1,train,assembled
