lot_id,release_time_utc,split,product_generation,stack_layer_count,capacity_gb,scenario,material_batch_id,wafers_in_cohort,sampled_dies_per_wafer
L0017,2025-01-09T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT003,25,32
L0018,2025-01-09T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT003,25,32
L0019,2025-01-10T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT004,25,32
L0020,2025-01-10T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT004,25,32
L0021,2025-01-11T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT004,25,32
L0022,2025-01-11T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT004,25,32
L0023,2025-01-12T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT004,25,32
L0024,2025-01-12T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT004,25,32
L0025,2025-01-13T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT005,25,32
L0026,2025-01-13T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT005,25,32
L0027,2025-01-14T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT005,25,32
L0028,2025-01-14T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT005,25,32
L0029,2025-01-15T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT005,25,32
L0030,2025-01-15T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT005,25,32
L0031,2025-01-16T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT006,25,32
L0032,2025-01-16T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT006,25,32
L0033,2025-01-17T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT006,25,32
L0034,2025-01-17T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT006,25,32
L0035,2025-01-18T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT006,25,32
L0036,2025-01-18T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT006,25,32
L0037,2025-01-19T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT007,25,32
L0038,2025-01-19T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT007,25,32
L0039,2025-01-20T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT007,25,32
L0040,2025-01-20T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT007,25,32
L0041,2025-01-21T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT007,25,32
L0042,2025-01-21T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT007,25,32
L0043,2025-01-22T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT008,25,32
L0044,2025-01-22T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT008,25,32
L0045,2025-01-23T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT008,25,32
L0046,2025-01-23T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT008,25,32
L0047,2025-01-24T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT008,25,32
L0048,2025-01-24T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT008,25,32
L0049,2025-01-25T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT009,25,32
L0050,2025-01-25T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT009,25,32
L0051,2025-01-26T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT009,25,32
L0052,2025-01-26T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT009,25,32
L0053,2025-01-27T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT009,25,32
L0054,2025-01-27T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT009,25,32
L0055,2025-01-28T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT010,25,32
L0056,2025-01-28T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT010,25,32
L0057,2025-01-29T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT010,25,32
L0058,2025-01-29T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT010,25,32
L0059,2025-01-30T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT010,25,32
L0060,2025-01-30T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT010,25,32
L0061,2025-01-31T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT011,25,32
L0062,2025-01-31T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT011,25,32
L0063,2025-02-01T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT011,25,32
L0064,2025-02-01T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT011,25,32
L0065,2025-02-02T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT011,25,32
L0066,2025-02-02T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT011,25,32
L0067,2025-02-03T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT012,25,32
L0068,2025-02-03T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT012,25,32
L0069,2025-02-04T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT012,25,32
L0070,2025-02-04T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT012,25,32
L0071,2025-02-05T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT012,25,32
L0072,2025-02-05T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT012,25,32
L0073,2025-02-06T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT013,25,32
L0074,2025-02-06T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT013,25,32
L0075,2025-02-07T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT013,25,32
L0076,2025-02-07T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT013,25,32
L0077,2025-02-08T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT013,25,32
L0078,2025-02-08T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT013,25,32
L0079,2025-02-09T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT014,25,32
L0080,2025-02-09T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT014,25,32
L0081,2025-02-10T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT014,25,32
L0082,2025-02-10T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT014,25,32
L0083,2025-02-11T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT014,25,32
L0084,2025-02-11T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT014,25,32
L0085,2025-02-12T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT015,25,32
L0086,2025-02-12T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT015,25,32
L0087,2025-02-13T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT015,25,32
L0088,2025-02-13T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT015,25,32
L0089,2025-02-14T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT015,25,32
L0090,2025-02-14T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT015,25,32
L0091,2025-02-15T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT016,25,32
L0092,2025-02-15T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT016,25,32
L0093,2025-02-16T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT016,25,32
L0094,2025-02-16T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT016,25,32
L0095,2025-02-17T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT016,25,32
L0096,2025-02-17T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT016,25,32
L0097,2025-02-18T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT017,25,32
L0098,2025-02-18T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT017,25,32
L0099,2025-02-19T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT017,25,32
L0100,2025-02-19T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT017,25,32
L0101,2025-02-20T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT017,25,32
L0102,2025-02-20T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT017,25,32
L0103,2025-02-21T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT018,25,32
L0104,2025-02-21T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT018,25,32
L0105,2025-02-22T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT018,25,32
L0106,2025-02-22T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT018,25,32
L0107,2025-02-23T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT018,25,32
L0108,2025-02-23T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT018,25,32
L0109,2025-02-24T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT019,25,32
L0110,2025-02-24T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT019,25,32
L0111,2025-02-25T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT019,25,32
L0112,2025-02-25T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT019,25,32
L0113,2025-02-26T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT019,25,32
L0114,2025-02-26T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT019,25,32
L0115,2025-02-27T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT020,25,32
L0116,2025-02-27T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT020,25,32
L0117,2025-02-28T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT020,25,32
L0118,2025-02-28T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT020,25,32
L0119,2025-03-01T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT020,25,32
L0120,2025-03-01T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT020,25,32
L0121,2025-03-02T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT021,25,32
L0122,2025-03-02T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT021,25,32
L0123,2025-03-03T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT021,25,32
L0124,2025-03-03T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT021,25,32
L0125,2025-03-04T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT021,25,32
L0126,2025-03-04T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT021,25,32
L0127,2025-03-05T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT022,25,32
L0128,2025-03-05T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT022,25,32
L0129,2025-03-06T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT022,25,32
L0130,2025-03-06T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT022,25,32
L0131,2025-03-07T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT022,25,32
L0132,2025-03-07T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT022,25,32
L0133,2025-03-08T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT023,25,32
L0134,2025-03-08T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT023,25,32
L0135,2025-03-09T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT023,25,32
L0136,2025-03-09T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT023,25,32
L0137,2025-03-10T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT023,25,32
L0138,2025-03-10T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT023,25,32
L0139,2025-03-11T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT024,25,32
L0140,2025-03-11T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT024,25,32
L0141,2025-03-12T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT024,25,32
L0142,2025-03-12T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT024,25,32
L0143,2025-03-13T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT024,25,32
L0144,2025-03-13T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT024,25,32
L0145,2025-03-14T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT025,25,32
L0146,2025-03-14T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT025,25,32
L0147,2025-03-15T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT025,25,32
L0148,2025-03-15T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT025,25,32
L0149,2025-03-16T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT025,25,32
L0150,2025-03-16T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT025,25,32
L0151,2025-03-17T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT026,25,32
L0152,2025-03-17T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT026,25,32
L0153,2025-03-18T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT026,25,32
L0154,2025-03-18T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT026,25,32
L0155,2025-03-19T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT026,25,32
L0156,2025-03-19T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT026,25,32
L0157,2025-03-20T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT027,25,32
L0158,2025-03-20T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT027,25,32
L0159,2025-03-21T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT027,25,32
L0160,2025-03-21T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT027,25,32
L0161,2025-03-22T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT027,25,32
L0162,2025-03-22T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT027,25,32
L0163,2025-03-23T00:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT028,25,32
L0164,2025-03-23T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT028,25,32
L0165,2025-03-24T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT028,25,32
L0166,2025-03-24T12:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT028,25,32
L0167,2025-03-25T00:00:00Z,train,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT028,25,32
L0168,2025-03-25T12:00:00Z,train,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT028,25,32
L0169,2025-04-16T00:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT029,25,32
L0170,2025-04-16T12:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT029,25,32
L0171,2025-04-17T00:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT029,25,32
L0172,2025-04-17T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT029,25,32
L0173,2025-04-18T00:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT029,25,32
L0174,2025-04-18T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT029,25,32
L0175,2025-04-19T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT030,25,32
L0176,2025-04-19T12:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT030,25,32
L0177,2025-04-20T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT030,25,32
L0178,2025-04-20T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT030,25,32
L0179,2025-04-21T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT030,25,32
L0180,2025-04-21T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT030,25,32
L0181,2025-04-22T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT031,25,32
L0182,2025-04-22T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT031,25,32
L0183,2025-04-23T00:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT031,25,32
L0184,2025-04-23T12:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT031,25,32
L0185,2025-04-24T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT031,25,32
L0186,2025-04-24T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT031,25,32
L0187,2025-04-25T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT032,25,32
L0188,2025-04-25T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT032,25,32
L0189,2025-04-26T00:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT032,25,32
L0190,2025-04-26T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT032,25,32
L0191,2025-04-27T00:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT032,25,32
L0192,2025-04-27T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT032,25,32
L0193,2025-04-28T00:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT033,25,32
L0194,2025-04-28T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT033,25,32
L0195,2025-04-29T00:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT033,25,32
L0196,2025-04-29T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT033,25,32
L0197,2025-04-30T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT033,25,32
L0198,2025-04-30T12:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT033,25,32
L0199,2025-05-01T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT034,25,32
L0200,2025-05-01T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT034,25,32
L0201,2025-05-02T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT034,25,32
L0202,2025-05-02T12:00:00Z,validation,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT034,25,32
L0203,2025-05-03T00:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT034,25,32
L0204,2025-05-03T12:00:00Z,validation,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT034,25,32
L0205,2025-05-25T00:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT035,25,32
L0206,2025-05-25T12:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT035,25,32
L0207,2025-05-26T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT035,25,32
L0208,2025-05-26T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT035,25,32
L0209,2025-05-27T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT035,25,32
L0210,2025-05-27T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT035,25,32
L0211,2025-05-28T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT036,25,32
L0212,2025-05-28T12:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT036,25,32
L0213,2025-05-29T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT036,25,32
L0214,2025-05-29T12:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT036,25,32
L0215,2025-05-30T00:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT036,25,32
L0216,2025-05-30T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT036,25,32
L0217,2025-05-31T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT037,25,32
L0218,2025-05-31T12:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT037,25,32
L0219,2025-06-01T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT037,25,32
L0220,2025-06-01T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT037,25,32
L0221,2025-06-02T00:00:00Z,test,HBM3E,8,24,SK_hynix_like_HBM3E_synthetic,MAT037,25,32
L0222,2025-06-02T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT037,25,32
L0223,2025-06-03T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT038,25,32
L0224,2025-06-03T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT038,25,32
L0225,2025-06-04T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT038,25,32
L0226,2025-06-04T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT038,25,32
L0227,2025-06-05T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT038,25,32
L0228,2025-06-05T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT038,25,32
L0229,2025-06-06T00:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT039,25,32
L0230,2025-06-06T12:00:00Z,test,HBM3E,12,36,SK_hynix_like_HBM3E_synthetic,MAT039,25,32
