die_id,available_time_utc,tsv_count_assumed,tsv_pitch_um_assumed,tsv_diameter_um,tsv_etched_depth_um,tsv_etch_aspect_ratio,tsv_conductor_length_um,tsv_sidewall_angle_deg,tsv_liner_thickness_nm,tsv_copper_void_pct,tsv_resistance_mohm,detected_tsv_open_count,detected_tsv_short_count,tsv_continuity_pass
D0000048,2025-01-05T18:08:00Z,8192,35,,,,31.565574,,,,31.181763,0,0,1
D0000049,2025-01-05T18:08:00Z,8192,35,,,,31.182617,,,,28.422984,0,0,1
D0000050,2025-01-05T18:08:00Z,8192,35,,,,31.164527,,,,29.672388,0,0,1
D0000051,2025-01-05T18:08:00Z,8192,35,,,,31.424215,,,,28.867779,0,0,1
D0000052,2025-01-05T18:08:00Z,8192,35,,,,31.506306,,,,31.054291,0,0,1
D0000053,2025-01-05T18:08:00Z,8192,35,,,,31.410271,,,,30.585437,0,0,1
D0000054,2025-01-05T18:08:00Z,8192,35,,,,31.475775,,,,32.157394,0,0,1
D0000055,2025-01-05T18:08:00Z,8192,35,,,,31.273914,,,,30.815344,0,0,1
D0000056,2025-01-05T18:08:00Z,8192,35,,,,31.356783,,,,29.706648,0,0,1
D0000057,2025-01-05T18:08:00Z,8192,35,,,,31.441908,,,,30.102069,0,0,1
D0000058,2025-01-05T18:08:00Z,8192,35,,,,31.494146,,,,30.185666,0,0,1
D0000059,2025-01-05T18:08:00Z,8192,35,,,,31.587377,,,,27.957595,0,0,1
D0000060,2025-01-05T18:08:00Z,8192,35,,,,31.606364,,,,29.131458,0,0,1
D0000061,2025-01-05T18:08:00Z,8192,35,,,,31.581969,,,,29.75218,0,0,1
D0000062,2025-01-05T18:08:00Z,8192,35,,,,31.45326,,,,29.558807,0,0,1
D0000063,2025-01-05T18:08:00Z,8192,35,,,,31.181572,,,,29.598284,0,0,1
D0000064,2025-01-05T18:08:00Z,8192,35,,,,31.533782,,,,30.042527,0,0,1
D0000065,2025-01-05T18:16:00Z,8192,35,,,,31.311572,,,,31.606871,0,0,1
D0000066,2025-01-05T18:16:00Z,8192,35,,,,31.339286,,,,28.481375,0,0,1
D0000067,2025-01-05T18:16:00Z,8192,35,,,,31.307391,,,,30.572242,0,0,1
D0000068,2025-01-05T18:16:00Z,8192,35,,,,30.913785,,,,29.357422,0,0,1
D0000069,2025-01-05T18:16:00Z,8192,35,,,,31.613578,,,,30.512086,0,0,1
D0000070,2025-01-05T18:16:00Z,8192,35,,,,31.282124,,,,30.031833,0,0,1
D0000071,2025-01-05T18:16:00Z,8192,35,,,,31.522063,,,,31.164427,0,0,1
D0000072,2025-01-05T18:16:00Z,8192,35,,,,31.526352,,,,29.563188,0,0,1
D0000073,2025-01-05T18:16:00Z,8192,35,,,,31.492454,,,,29.938817,0,0,1
D0000074,2025-01-05T18:16:00Z,8192,35,,,,31.601329,,,,30.155213,0,0,1
D0000075,2025-01-05T18:16:00Z,8192,35,,,,31.493222,,,,29.843763,0,0,1
D0000076,2025-01-05T18:16:00Z,8192,35,,,,31.603742,,,,30.703067,0,0,1
D0000077,2025-01-05T18:16:00Z,8192,35,,,,31.241624,,,,30.624149,0,0,1
D0000078,2025-01-05T18:16:00Z,8192,35,,,,31.337852,,,,30.672373,0,0,1
D0000079,2025-01-05T18:16:00Z,8192,35,,,,31.701286,,,,31.163923,0,0,1
D0000080,2025-01-05T18:16:00Z,8192,35,5.069108,65.209309,12.86406,31.488759,89.560349,198.02718,0.31815057,29.576125,0,0,1
D0000081,2025-01-05T18:16:00Z,8192,35,,,,32.037713,,,,30.024585,0,0,1
D0000082,2025-01-05T18:16:00Z,8192,35,5.0035328,65.144638,13.019728,31.139753,89.481901,201.6132,0.3778899,28.836511,0,1,0
D0000083,2025-01-05T18:16:00Z,8192,35,,,,31.331278,,,,31.251662,0,0,1
D0000084,2025-01-05T18:16:00Z,8192,35,,,,31.858208,,,,31.029739,0,0,1
D0000085,2025-01-05T18:16:00Z,8192,35,4.9621642,64.5333,13.005071,31.463869,89.535952,203.18316,0.60354302,30.928705,0,0,1
D0000086,2025-01-05T18:16:00Z,8192,35,,,,31.53121,,,,31.459686,0,0,1
D0000087,2025-01-05T18:16:00Z,8192,35,,,,31.07865,,,,30.095237,0,0,1
D0000088,2025-01-05T18:16:00Z,8192,35,,,,31.303384,,,,29.77107,0,0,1
D0000089,2025-01-05T18:16:00Z,8192,35,,,,31.077993,,,,29.9356,0,0,1
D0000090,2025-01-05T18:16:00Z,8192,35,,,,31.092621,,,,31.529458,0,0,1
D0000091,2025-01-05T18:16:00Z,8192,35,,,,31.387696,,,,29.546092,0,0,1
D0000092,2025-01-05T18:16:00Z,8192,35,,,,31.440251,,,,31.239375,0,0,1
D0000093,2025-01-05T18:16:00Z,8192,35,,,,31.550919,,,,31.21041,0,0,1
D0000094,2025-01-05T18:16:00Z,8192,35,,,,30.983902,,,,28.250898,0,0,1
D0000095,2025-01-05T18:16:00Z,8192,35,,,,31.452859,,,,30.802131,0,0,1
D0000096,2025-01-05T18:16:00Z,8192,35,,,,31.792976,,,,29.551059,0,0,1
D0000097,2025-01-05T18:24:00Z,8192,35,,,,31.482374,,,,32.321238,0,0,1
D0000098,2025-01-05T18:24:00Z,8192,35,,,,31.645863,,,,29.673301,0,0,1
D0000099,2025-01-05T18:24:00Z,8192,35,,,,31.191758,,,,30.142926,0,0,1
D0000100,2025-01-05T18:24:00Z,8192,35,,,,31.371708,,,,29.592314,0,0,1
D0000101,2025-01-05T18:24:00Z,8192,35,5.0666948,64.349336,12.700456,31.343666,89.600546,201.15127,0.43653793,30.065029,0,0,1
D0000102,2025-01-05T18:24:00Z,8192,35,,,,31.314752,,,,29.947286,0,0,1
D0000103,2025-01-05T18:24:00Z,8192,35,,,,31.642811,,,,29.098483,0,0,1
D0000104,2025-01-05T18:24:00Z,8192,35,,,,31.088987,,,,30.008456,0,0,1
D0000105,2025-01-05T18:24:00Z,8192,35,,,,31.238296,,,,30.688432,0,0,1
D0000106,2025-01-05T18:24:00Z,8192,35,5.0544361,65.073557,12.874543,31.519931,89.502833,202.63486,0.28147867,30.37367,0,0,1
D0000107,2025-01-05T18:24:00Z,8192,35,,,,30.904857,,,,28.207754,0,0,1
D0000108,2025-01-05T18:24:00Z,8192,35,4.9406647,65.19754,13.196107,31.559754,89.453772,196.11697,0.44247279,30.99412,0,0,1
D0000109,2025-01-05T18:24:00Z,8192,35,,,,31.715668,,,,31.244075,1,0,0
D0000110,2025-01-05T18:24:00Z,8192,35,,,,31.046064,,,,27.64515,0,0,1
D0000111,2025-01-05T18:24:00Z,8192,35,,,,31.642023,,,,31.00366,0,0,1
D0000112,2025-01-05T18:24:00Z,8192,35,,,,31.18992,,,,30.210205,0,0,1
D0000113,2025-01-05T18:24:00Z,8192,35,,,,31.253103,,,,28.966555,0,0,1
D0000114,2025-01-05T18:24:00Z,8192,35,5.1155235,64.373361,12.583925,31.090218,89.575012,197.26737,0.20944367,28.887211,0,0,1
D0000115,2025-01-05T18:24:00Z,8192,35,,,,31.273948,,,,31.7305,0,0,1
D0000116,2025-01-05T18:24:00Z,8192,35,,,,31.138204,,,,29.863261,0,0,1
D0000117,2025-01-05T18:24:00Z,8192,35,,,,31.562779,,,,28.522294,0,0,1
D0000118,2025-01-05T18:24:00Z,8192,35,,,,31.385893,,,,29.747583,0,0,1
D0000119,2025-01-05T18:24:00Z,8192,35,,,,31.444821,,,,28.262133,0,0,1
D0000120,2025-01-05T18:24:00Z,8192,35,,,,31.059937,,,,30.329057,0,0,1
D0000121,2025-01-05T18:24:00Z,8192,35,,,,31.47729,,,,29.104602,0,0,1
D0000122,2025-01-05T18:24:00Z,8192,35,,,,31.184712,,,,29.899716,0,0,1
D0000123,2025-01-05T18:24:00Z,8192,35,5.1421125,65.296574,12.698395,31.404047,89.494267,200.95838,0.47982696,28.875881,0,0,1
D0000124,2025-01-05T18:24:00Z,8192,35,,,,31.724552,,,,31.240347,0,0,1
D0000125,2025-01-05T18:24:00Z,8192,35,,,,31.58155,,,,31.784751,0,0,1
D0000126,2025-01-05T18:24:00Z,8192,35,,,,31.349934,,,,31.825609,0,0,1
D0000127,2025-01-05T18:24:00Z,8192,35,,,,31.416684,,,,30.632208,0,0,1
D0000128,2025-01-05T18:24:00Z,8192,35,,,,31.381561,,,,30.549506,0,0,1
D0000129,2025-01-05T18:32:00Z,8192,35,,,,31.503197,,,,29.974117,0,0,1
D0000130,2025-01-05T18:32:00Z,8192,35,,,,30.892101,,,,30.65031,0,0,1
D0000131,2025-01-05T18:32:00Z,8192,35,,,,31.099057,,,,30.201059,0,0,1
D0000132,2025-01-05T18:32:00Z,8192,35,,,,31.026526,,,,30.662079,0,0,1
D0000133,2025-01-05T18:32:00Z,8192,35,,,,31.430635,,,,31.25859,0,0,1
D0000134,2025-01-05T18:32:00Z,8192,35,4.9426466,65.098804,13.170839,31.349933,89.637476,195.29007,0.1951969,32.293386,0,0,1
D0000135,2025-01-05T18:32:00Z,8192,35,,,,30.75511,,,,28.797845,0,0,1
D0000136,2025-01-05T18:32:00Z,8192,35,,,,30.708171,,,,31.608116,0,0,1
D0000137,2025-01-05T18:32:00Z,8192,35,,,,31.134389,,,,29.672447,0,0,1
D0000138,2025-01-05T18:32:00Z,8192,35,4.9934233,65.56466,13.130203,31.170371,89.556921,197.69216,0.31628412,29.551635,0,0,1
D0000139,2025-01-05T18:32:00Z,8192,35,,,,31.465794,,,,30.113454,0,0,1
D0000140,2025-01-05T18:32:00Z,8192,35,5.1246605,64.208317,12.529282,31.218841,89.528006,203.54225,0.26298259,28.778484,0,0,1
D0000141,2025-01-05T18:32:00Z,8192,35,,,,30.978114,,,,32.354703,0,0,1
D0000142,2025-01-05T18:32:00Z,8192,35,,,,31.39206,,,,28.983808,0,0,1
D0000143,2025-01-05T18:32:00Z,8192,35,5.0775169,64.857692,12.773506,30.821001,89.502456,195.20476,0.25652195,30.215479,0,0,1
D0000144,2025-01-05T18:32:00Z,8192,35,,,,31.362058,,,,29.902734,0,0,1
D0000145,2025-01-05T18:32:00Z,8192,35,,,,30.819097,,,,28.756261,0,0,1
D0000146,2025-01-05T18:32:00Z,8192,35,4.9184903,65.18523,13.253097,31.022755,89.547586,197.00722,0.35133601,31.187472,0,0,1
D0000147,2025-01-05T18:32:00Z,8192,35,,,,30.739963,,,,28.429687,0,0,1
D0000148,2025-01-05T18:32:00Z,8192,35,4.949305,65.713785,13.277376,31.021813,89.463062,196.90128,0.21711557,31.037749,0,0,1
D0000149,2025-01-05T18:32:00Z,8192,35,,,,30.84532,,,,29.121628,0,0,1
D0000150,2025-01-05T18:32:00Z,8192,35,,,,30.69369,,,,28.559433,0,0,1
D0000151,2025-01-05T18:32:00Z,8192,35,,,,31.027134,,,,31.601296,0,0,1
D0000152,2025-01-05T18:32:00Z,8192,35,,,,31.118543,,,,30.64644,0,0,1
D0000153,2025-01-05T18:32:00Z,8192,35,,,,30.909262,,,,29.54635,0,0,1
D0000154,2025-01-05T18:32:00Z,8192,35,5.0686876,64.890399,12.802209,30.920359,89.513079,193.84486,0.25378948,29.873423,0,0,1
D0000155,2025-01-05T18:32:00Z,8192,35,,,,31.352097,,,,29.915802,0,0,1
D0000156,2025-01-05T18:32:00Z,8192,35,,,,30.885204,,,,29.612363,0,0,1
D0000157,2025-01-05T18:32:00Z,8192,35,,,,30.977902,,,,28.868135,0,0,1
D0000158,2025-01-05T18:32:00Z,8192,35,,,,31.292953,,,,30.2462,0,0,1
D0000159,2025-01-05T18:32:00Z,8192,35,5.0030029,65.074375,13.007063,31.200301,89.591504,194.99942,0.28597757,30.845635,0,0,1
D0000160,2025-01-05T18:32:00Z,8192,35,5.037159,64.489979,12.802848,30.730115,89.510245,201.67442,0.17418556,29.149334,0,0,1
D0000161,2025-01-05T18:40:00Z,8192,35,,,,31.079211,,,,28.472371,0,0,1
D0000162,2025-01-05T18:40:00Z,8192,35,,,,31.442707,,,,30.729022,0,0,1
D0000163,2025-01-05T18:40:00Z,8192,35,5.0082732,64.642526,12.907149,31.628827,89.606639,204.65934,0.19169182,30.540845,0,0,1
D0000164,2025-01-05T18:40:00Z,8192,35,,,,31.361389,,,,28.865874,0,0,1
D0000165,2025-01-05T18:40:00Z,8192,35,,,,31.730197,,,,30.290212,0,0,1
D0000166,2025-01-05T18:40:00Z,8192,35,,,,31.281087,,,,29.870395,0,0,1
D0000167,2025-01-05T18:40:00Z,8192,35,,,,31.226277,,,,30.552319,0,0,1
D0000168,2025-01-05T18:40:00Z,8192,35,,,,31.304451,,,,29.64155,0,0,1
D0000169,2025-01-05T18:40:00Z,8192,35,5.0238609,65.38819,13.015525,31.355394,89.484326,204.63586,0.16865027,30.432931,0,0,1
D0000170,2025-01-05T18:40:00Z,8192,35,5.0905506,65.080544,12.784579,31.792915,89.506826,199.64615,0.3247133,30.558291,0,0,1
D0000171,2025-01-05T18:40:00Z,8192,35,5.1524949,64.584551,12.534617,31.451299,89.446372,199.4692,0.17115412,28.73883,0,0,1
D0000172,2025-01-05T18:40:00Z,8192,35,,,,31.764498,,,,30.769229,0,0,1
D0000173,2025-01-05T18:40:00Z,8192,35,,,,31.198606,,,,29.068712,0,0,1
D0000174,2025-01-05T18:40:00Z,8192,35,,,,30.964602,,,,29.524033,0,0,1
D0000175,2025-01-05T18:40:00Z,8192,35,,,,31.250227,,,,29.686604,0,0,1
D0000176,2025-01-05T18:40:00Z,8192,35,,,,31.48613,,,,29.719799,0,0,1
D0000177,2025-01-05T18:40:00Z,8192,35,,,,31.864378,,,,32.091104,0,0,1
D0000178,2025-01-05T18:40:00Z,8192,35,,,,31.246942,,,,29.588348,0,0,1
D0000179,2025-01-05T18:40:00Z,8192,35,,,,31.541178,,,,29.874667,0,0,1
D0000180,2025-01-05T18:40:00Z,8192,35,,,,31.649074,,,,30.995414,0,0,1
D0000181,2025-01-05T18:40:00Z,8192,35,,,,31.259229,,,,28.82128,0,0,1
D0000182,2025-01-05T18:40:00Z,8192,35,,,,31.355676,,,,31.24527,0,0,1
D0000183,2025-01-05T18:40:00Z,8192,35,,,,31.481053,,,,31.12333,0,0,1
D0000184,2025-01-05T18:40:00Z,8192,35,,,,31.324557,,,,30.915494,0,0,1
D0000185,2025-01-05T18:40:00Z,8192,35,5.0086396,64.69975,12.917629,31.287939,89.361016,201.47869,0.45534826,29.047533,0,0,1
D0000186,2025-01-05T18:40:00Z,8192,35,5.1312654,64.925226,12.652868,31.623902,89.515038,202.46567,0.091036304,30.008442,0,0,1
D0000187,2025-01-05T18:40:00Z,8192,35,,,,31.786029,,,,32.306531,0,0,1
D0000188,2025-01-05T18:40:00Z,8192,35,,,,31.488607,,,,30.337398,0,0,1
D0000189,2025-01-05T18:40:00Z,8192,35,4.9848018,65.858125,13.211784,31.451261,89.485001,201.47424,0.24260302,30.307799,0,0,1
D0000190,2025-01-05T18:40:00Z,8192,35,,,,31.406408,,,,31.482827,0,0,1
D0000191,2025-01-05T18:40:00Z,8192,35,5.1227013,66.211897,12.925192,31.500183,89.491647,196.60141,0.27719692,29.530624,0,0,1
D0000192,2025-01-05T18:40:00Z,8192,35,,,,31.759575,,,,28.8619,0,0,1
D0000193,2025-01-05T18:48:00Z,8192,35,,,,30.940334,,,,29.74317,0,0,1
D0000194,2025-01-05T18:48:00Z,8192,35,,,,30.961823,,,,29.792952,0,0,1
D0000195,2025-01-05T18:48:00Z,8192,35,,,,30.722399,,,,30.120402,1,0,0
D0000196,2025-01-05T18:48:00Z,8192,35,,,,31.112418,,,,30.660499,0,0,1
D0000197,2025-01-05T18:48:00Z,8192,35,,,,31.33555,,,,29.698812,0,0,1
D0000198,2025-01-05T18:48:00Z,8192,35,,,,31.170237,,,,30.20028,0,0,1
D0000199,2025-01-05T18:48:00Z,8192,35,,,,30.855123,,,,31.468436,0,0,1
D0000200,2025-01-05T18:48:00Z,8192,35,,,,30.74835,,,,28.903073,0,0,1
D0000201,2025-01-05T18:48:00Z,8192,35,5.0634868,64.648061,12.767499,31.107782,89.441054,199.43713,0.41204598,29.440741,0,0,1
D0000202,2025-01-05T18:48:00Z,8192,35,,,,30.999348,,,,30.705546,0,0,1
D0000203,2025-01-05T18:48:00Z,8192,35,,,,30.732454,,,,29.184487,0,0,1
D0000204,2025-01-05T18:48:00Z,8192,35,,,,31.081314,,,,30.515428,0,0,1
D0000205,2025-01-05T18:48:00Z,8192,35,,,,31.158781,,,,29.983683,0,0,1
D0000206,2025-01-05T18:48:00Z,8192,35,5.0346778,64.970636,12.904626,31.317423,89.595337,199.89633,0.60221935,30.182899,0,0,1
D0000207,2025-01-05T18:48:00Z,8192,35,,,,31.251482,,,,29.144712,0,0,1
D0000208,2025-01-05T18:48:00Z,8192,35,,,,30.936328,,,,30.024501,0,0,1
D0000209,2025-01-05T18:48:00Z,8192,35,,,,31.016505,,,,28.958882,0,0,1
D0000210,2025-01-05T18:48:00Z,8192,35,,,,31.225494,,,,29.908748,0,0,1
D0000211,2025-01-05T18:48:00Z,8192,35,5.012141,65.649236,13.098043,31.572108,89.49657,200.69446,0.27959715,30.582742,0,0,1
D0000212,2025-01-05T18:48:00Z,8192,35,,,,31.067162,,,,31.133941,0,0,1
D0000213,2025-01-05T18:48:00Z,8192,35,,,,30.747584,,,,31.758893,0,0,1
D0000214,2025-01-05T18:48:00Z,8192,35,,,,31.303417,,,,31.04652,0,0,1
D0000215,2025-01-05T18:48:00Z,8192,35,4.9785212,65.174461,13.091129,31.00181,89.5899,198.1775,0.53028519,30.204659,0,0,1
D0000216,2025-01-05T18:48:00Z,8192,35,,,,30.962034,,,,29.479271,0,0,1
D0000217,2025-01-05T18:48:00Z,8192,35,,,,31.115453,,,,31.073729,0,0,1
D0000218,2025-01-05T18:48:00Z,8192,35,,,,30.795199,,,,29.814102,0,0,1
D0000219,2025-01-05T18:48:00Z,8192,35,,,,30.89611,,,,28.163596,0,0,1
D0000220,2025-01-05T18:48:00Z,8192,35,5.0139877,65.194054,13.002436,31.189533,89.514284,197.29363,0.24222504,31.865777,0,0,1
D0000221,2025-01-05T18:48:00Z,8192,35,,,,30.992057,,,,30.505177,0,0,1
D0000222,2025-01-05T18:48:00Z,8192,35,,,,30.877744,,,,29.214157,0,0,1
D0000223,2025-01-05T18:48:00Z,8192,35,,,,30.767099,,,,29.482391,0,0,1
D0000224,2025-01-05T18:48:00Z,8192,35,,,,30.858742,,,,28.235356,0,0,1
D0000225,2025-01-05T18:56:00Z,8192,35,,,,31.827547,,,,30.932956,0,0,1
D0000226,2025-01-05T18:56:00Z,8192,35,,,,31.364731,,,,31.133309,0,0,1
D0000227,2025-01-05T18:56:00Z,8192,35,,,,31.027529,,,,31.239886,0,0,1
D0000228,2025-01-05T18:56:00Z,8192,35,,,,31.211603,,,,30.483362,0,0,1
D0000229,2025-01-05T18:56:00Z,8192,35,,,,31.415681,,,,31.031152,0,0,1
D0000230,2025-01-05T18:56:00Z,8192,35,,,,31.36551,,,,32.173487,0,0,1
D0000231,2025-01-05T18:56:00Z,8192,35,5.0610996,64.561081,12.756335,31.189406,89.438419,194.75423,0.50895639,30.227208,0,0,1
D0000232,2025-01-05T18:56:00Z,8192,35,,,,31.04343,,,,30.581314,0,0,1
D0000233,2025-01-05T18:56:00Z,8192,35,,,,31.659328,,,,29.758544,0,0,1
D0000234,2025-01-05T18:56:00Z,8192,35,4.9328738,64.54148,13.083951,30.864783,89.610078,199.32114,0.57027719,31.022836,0,0,1
D0000235,2025-01-05T18:56:00Z,8192,35,4.9918723,65.101,13.041399,30.958426,89.397369,204.00203,0.34584184,29.854696,0,0,1
D0000236,2025-01-05T18:56:00Z,8192,35,,,,31.591285,,,,30.642609,0,0,1
D0000237,2025-01-05T18:56:00Z,8192,35,,,,30.954753,,,,29.046861,0,0,1
D0000238,2025-01-05T18:56:00Z,8192,35,4.8687078,64.454425,13.238508,30.910473,89.492223,206.01498,0.73874627,32.281843,0,0,1
D0000239,2025-01-05T18:56:00Z,8192,35,,,,31.198306,,,,30.055153,0,0,1
D0000240,2025-01-05T18:56:00Z,8192,35,,,,31.103982,,,,31.420707,1,0,0
D0000241,2025-01-05T18:56:00Z,8192,35,,,,31.137956,,,,29.780563,0,0,1
D0000242,2025-01-05T18:56:00Z,8192,35,5.049659,63.724203,12.619506,30.951709,89.524821,199.89328,0.38258491,30.113814,0,0,1
D0000243,2025-01-05T18:56:00Z,8192,35,,,,31.343478,,,,29.718225,0,0,1
D0000244,2025-01-05T18:56:00Z,8192,35,,,,31.295039,,,,29.13007,1,0,0
D0000245,2025-01-05T18:56:00Z,8192,35,5.1439176,64.35629,12.511143,31.235406,89.378011,198.6417,0.25607211,29.190983,0,0,1
D0000246,2025-01-05T18:56:00Z,8192,35,,,,31.400349,,,,29.795297,0,0,1
D0000247,2025-01-05T18:56:00Z,8192,35,,,,31.567477,,,,29.592895,0,0,1
D0000248,2025-01-05T18:56:00Z,8192,35,,,,31.19348,,,,30.350862,0,0,1
D0000249,2025-01-05T18:56:00Z,8192,35,5.0588049,64.715129,12.792573,31.429935,89.439095,196.74756,0.48354941,29.505064,1,0,0
D0000250,2025-01-05T18:56:00Z,8192,35,,,,31.457998,,,,31.621954,0,0,1
D0000251,2025-01-05T18:56:00Z,8192,35,,,,31.311082,,,,31.177181,0,0,1
D0000252,2025-01-05T18:56:00Z,8192,35,,,,31.089063,,,,30.154386,0,0,1
D0000253,2025-01-05T18:56:00Z,8192,35,,,,31.706193,,,,29.272359,0,0,1
D0000254,2025-01-05T18:56:00Z,8192,35,,,,31.163164,,,,30.065166,0,0,1
D0000255,2025-01-05T18:56:00Z,8192,35,,,,30.962168,,,,29.851801,0,0,1
D0000256,2025-01-05T18:56:00Z,8192,35,,,,31.406979,,,,28.661192,0,0,1
D0000257,2025-01-05T19:04:00Z,8192,35,,,,31.676778,,,,30.226107,0,0,1
D0000258,2025-01-05T19:04:00Z,8192,35,,,,31.042469,,,,32.523891,0,0,1
D0000259,2025-01-05T19:04:00Z,8192,35,,,,31.241375,,,,29.217123,0,0,1
D0000260,2025-01-05T19:04:00Z,8192,35,,,,31.09328,,,,29.829443,0,0,1
D0000261,2025-01-05T19:04:00Z,8192,35,,,,31.206446,,,,28.837757,0,0,1
D0000262,2025-01-05T19:04:00Z,8192,35,,,,31.357893,,,,28.320068,0,0,1
D0000263,2025-01-05T19:04:00Z,8192,35,,,,31.440472,,,,29.434571,0,0,1
