die_id,stack_id,disposition
D0000083,S000062,assembled
D0000084,S000019,assembled
D0000085,S000026,assembled
D0000086,S000057,assembled
D0000087,S000017,assembled
D0000088,S000056,assembled
D0000089,S000039,assembled
D0000090,S000031,assembled
D0000091,S000044,assembled
D0000092,,screen_rejected
D0000093,S000050,assembled
D0000094,S000055,assembled
D0000095,S000030,assembled
D0000096,S000048,assembled
D0000097,S000009,assembled
D0000098,S000057,assembled
D0000099,S000056,assembled
D0000100,S000045,assembled
D0000101,S000009,assembled
D0000102,S000054,assembled
D0000103,S000056,assembled
D0000104,S000037,assembled
D0000105,S000049,assembled
D0000106,S000061,assembled
D0000107,S000017,assembled
D0000108,S000002,assembled
D0000109,,screen_rejected
D0000110,S000036,assembled
D0000111,S000042,assembled
D0000112,S000016,assembled
D0000113,S000015,assembled
D0000114,S000007,assembled
D0000115,S000046,assembled
D0000116,S000029,assembled
D0000117,S000008,assembled
D0000118,S000013,assembled
D0000119,S000055,assembled
D0000120,S000022,assembled
D0000121,S000060,assembled
D0000122,S000043,assembled
D0000123,S000041,assembled
D0000124,S000044,assembled
D0000125,S000026,assembled
D0000126,S000027,assembled
D0000127,S000061,assembled
D0000128,S000049,assembled
D0000129,S000002,assembled
D0000130,S000057,assembled
D0000131,S000010,assembled
D0000132,S000038,assembled
D0000133,S000033,assembled
D0000134,S000036,assembled
D0000135,S000001,assembled
D0000136,S000031,assembled
D0000137,S000003,assembled
D0000138,,screen_rejected
D0000139,S000001,assembled
D0000140,S000056,assembled
D0000141,S000031,assembled
D0000142,S000035,assembled
D0000143,S000025,assembled
D0000144,S000063,assembled
D0000145,S000004,assembled
D0000146,S000036,assembled
D0000147,S000041,assembled
D0000148,S000028,assembled
D0000149,S000004,assembled
D0000150,S000040,assembled
D0000151,,eligible_unassigned
D0000152,S000021,assembled
D0000153,S000006,assembled
D0000154,S000056,assembled
D0000155,S000027,assembled
D0000156,S000042,assembled
D0000157,S000007,assembled
D0000158,S000050,assembled
D0000159,S000043,assembled
D0000160,S000036,assembled
D0000161,S000002,assembled
D0000162,S000033,assembled
D0000163,S000057,assembled
D0000164,S000011,assembled
D0000165,S000001,assembled
D0000166,,screen_rejected
D0000167,S000013,assembled
D0000168,S000033,assembled
D0000169,S000007,assembled
D0000170,S000048,assembled
D0000171,S000052,assembled
D0000172,S000051,assembled
D0000173,S000031,assembled
D0000174,S000001,assembled
D0000175,S000026,assembled
D0000176,S000027,assembled
D0000177,S000018,assembled
D0000178,S000039,assembled
D0000179,S000042,assembled
D0000180,S000063,assembled
D0000181,S000028,assembled
D0000182,S000039,assembled
D0000183,S000037,assembled
D0000184,S000030,assembled
D0000185,S000041,assembled
D0000186,S000061,assembled
D0000187,S000055,assembled
D0000188,S000005,assembled
D0000189,S000059,assembled
D0000190,S000049,assembled
D0000191,S000041,assembled
D0000192,S000043,assembled
D0000193,S000009,assembled
D0000194,S000056,assembled
D0000195,,screen_rejected
D0000196,S000001,assembled
D0000197,S000052,assembled
D0000198,S000060,assembled
D0000199,S000062,assembled
D0000200,S000009,assembled
D0000201,S000033,assembled
D0000202,S000040,assembled
D0000203,S000062,assembled
D0000204,S000036,assembled
D0000205,S000048,assembled
D0000206,S000060,assembled
D0000207,S000016,assembled
D0000208,S000002,assembled
D0000209,S000006,assembled
D0000210,S000029,assembled
D0000211,S000004,assembled
D0000212,S000062,assembled
D0000213,S000010,assembled
D0000214,S000045,assembled
D0000215,S000007,assembled
D0000216,S000025,assembled
D0000217,S000012,assembled
D0000218,S000035,assembled
D0000219,S000060,assembled
D0000220,S000027,assembled
D0000221,S000015,assembled
D0000222,S000024,assembled
D0000223,S000002,assembled
D0000224,S000037,assembled
D0000225,S000005,assembled
D0000226,S000004,assembled
D0000227,S000035,assembled
D0000228,S000034,assembled
D0000229,S000015,assembled
D0000230,S000049,assembled
D0000231,S000056,assembled
D0000232,,screen_rejected
D0000233,S000023,assembled
D0000234,S000034,assembled
D0000235,S000003,assembled
D0000236,S000055,assembled
D0000237,S000031,assembled
D0000238,S000059,assembled
D0000239,S000005,assembled
D0000240,,screen_rejected
D0000241,S000028,assembled
D0000242,S000036,assembled
D0000243,S000062,assembled
D0000244,,screen_rejected
D0000245,S000030,assembled
D0000246,S000002,assembled
D0000247,S000028,assembled
D0000248,S000048,assembled
D0000249,,screen_rejected
D0000250,S000012,assembled
D0000251,S000040,assembled
D0000252,S000054,assembled
D0000253,S000028,assembled
D0000254,S000010,assembled
D0000255,S000017,assembled
D0000256,S000035,assembled
D0000257,S000046,assembled
D0000258,S000027,assembled
D0000259,S000058,assembled
D0000260,S000016,assembled
D0000261,S000024,assembled
D0000262,S000029,assembled
D0000263,S000008,assembled
D0000264,S000032,assembled
D0000265,S000023,assembled
D0000266,S000046,assembled
D0000267,S000053,assembled
D0000268,S000015,assembled
D0000269,S000042,assembled
D0000270,S000019,assembled
D0000271,S000021,assembled
D0000272,S000044,assembled
D0000273,S000058,assembled
D0000274,S000051,assembled
D0000275,S000035,assembled
D0000276,S000036,assembled
D0000277,S000061,assembled
D0000278,S000005,assembled
D0000279,S000002,assembled
D0000280,S000058,assembled
D0000281,,screen_rejected
D0000282,S000034,assembled
D0000283,S000002,assembled
D0000284,S000013,assembled
D0000285,S000051,assembled
D0000286,S000063,assembled
D0000287,S000019,assembled
D0000288,S000038,assembled
D0000289,S000009,assembled
D0000290,S000063,assembled
D0000291,S000010,assembled
D0000292,S000014,assembled
D0000293,S000050,assembled
D0000294,S000033,assembled
D0000295,S000001,assembled
D0000296,S000046,assembled
D0000297,S000024,assembled
D0000298,S000039,assembled
D0000299,S000030,assembled
D0000300,S000060,assembled
D0000301,S000018,assembled
D0000302,S000055,assembled
D0000303,S000020,assembled
D0000304,S000046,assembled
D0000305,S000029,assembled
D0000306,S000023,assembled
D0000307,S000059,assembled
D0000308,,screen_rejected
D0000309,S000060,assembled
D0000310,S000014,assembled
D0000311,S000006,assembled
D0000312,S000016,assembled
D0000313,S000020,assembled
D0000314,S000059,assembled
D0000315,S000005,assembled
D0000316,S000060,assembled
D0000317,,eligible_unassigned
D0000318,S000050,assembled
D0000319,S000011,assembled
D0000320,S000021,assembled
D0000321,S000059,assembled
D0000322,S000052,assembled
D0000323,S000060,assembled
D0000324,S000011,assembled
D0000325,S000045,assembled
D0000326,S000060,assembled
D0000327,S000033,assembled
D0000328,S000046,assembled
D0000329,S000033,assembled
D0000330,S000055,assembled
D0000331,S000051,assembled
D0000332,S000055,assembled
D0000333,S000027,assembled
D0000334,S000040,assembled
D0000335,,screen_rejected
D0000336,S000009,assembled
D0000337,S000044,assembled
D0000338,S000057,assembled
D0000339,,screen_rejected
D0000340,S000004,assembled
D0000341,S000043,assembled
D0000342,S000030,assembled
D0000343,S000047,assembled
D0000344,,screen_rejected
D0000345,S000046,assembled
D0000346,S000014,assembled
D0000347,S000006,assembled
D0000348,S000040,assembled
D0000349,S000007,assembled
D0000350,S000012,assembled
D0000351,S000025,assembled
D0000352,S000030,assembled
D0000353,S000032,assembled
D0000354,S000018,assembled
D0000355,S000013,assembled
D0000356,S000041,assembled
D0000357,S000040,assembled
D0000358,S000053,assembled
D0000359,S000059,assembled
D0000360,S000034,assembled
D0000361,S000032,assembled
D0000362,S000048,assembled
D0000363,S000025,assembled
D0000364,S000001,assembled
D0000365,S000015,assembled
D0000366,S000005,assembled
D0000367,S000042,assembled
D0000368,S000036,assembled
D0000369,S000057,assembled
D0000370,S000011,assembled
D0000371,S000062,assembled
D0000372,S000022,assembled
D0000373,S000015,assembled
D0000374,S000050,assembled
D0000375,S000026,assembled
D0000376,S000017,assembled
D0000377,S000003,assembled
D0000378,S000025,assembled
D0000379,S000010,assembled
D0000380,S000059,assembled
D0000381,S000041,assembled
D0000382,S000023,assembled
D0000383,S000012,assembled
D0000384,S000054,assembled
D0000385,S000003,assembled
D0000386,S000057,assembled
D0000387,S000007,assembled
D0000388,S000051,assembled
D0000389,S000015,assembled
D0000390,S000009,assembled
D0000391,,eligible_unassigned
D0000392,S000002,assembled
D0000393,S000013,assembled
D0000394,S000045,assembled
D0000395,,screen_rejected
D0000396,S000041,assembled
D0000397,S000022,assembled
D0000398,S000038,assembled
D0000399,S000008,assembled
D0000400,S000032,assembled
D0000401,S000026,assembled
D0000402,S000031,assembled
D0000403,S000041,assembled
D0000404,S000005,assembled
D0000405,S000011,assembled
D0000406,S000019,assembled
D0000407,,screen_rejected
D0000408,S000012,assembled
D0000409,S000031,assembled
D0000410,S000006,assembled
D0000411,S000008,assembled
D0000412,S000021,assembled
D0000413,S000045,assembled
D0000414,S000053,assembled
D0000415,S000002,assembled
D0000416,S000001,assembled
D0000417,S000035,assembled
D0000418,S000058,assembled
D0000419,S000023,assembled
D0000420,S000020,assembled
D0000421,S000018,assembled
D0000422,S000005,assembled
D0000423,S000062,assembled
D0000424,S000047,assembled
D0000425,S000003,assembled
D0000426,S000031,assembled
D0000427,S000039,assembled
D0000428,S000038,assembled
D0000429,S000004,assembled
D0000430,S000054,assembled
D0000431,,screen_rejected
D0000432,S000032,assembled
D0000433,S000018,assembled
D0000434,S000008,assembled
D0000435,,screen_rejected
D0000436,S000024,assembled
D0000437,S000039,assembled
D0000438,S000012,assembled
D0000439,S000015,assembled
D0000440,,screen_rejected
D0000441,S000055,assembled
D0000442,S000024,assembled
D0000443,S000040,assembled
D0000444,S000025,assembled
D0000445,S000034,assembled
D0000446,S000056,assembled
D0000447,S000009,assembled
D0000448,S000016,assembled
D0000449,S000032,assembled
D0000450,S000011,assembled
D0000451,S000049,assembled
D0000452,S000046,assembled
D0000453,S000011,assembled
D0000454,S000001,assembled
D0000455,S000007,assembled
D0000456,S000014,assembled
D0000457,S000036,assembled
D0000458,S000007,assembled
D0000459,S000045,assembled
D0000460,S000023,assembled
D0000461,S000028,assembled
D0000462,S000035,assembled
D0000463,,screen_rejected
D0000464,S000017,assembled
D0000465,S000035,assembled
D0000466,S000012,assembled
D0000467,S000017,assembled
D0000468,S000049,assembled
D0000469,S000006,assembled
D0000470,S000020,assembled
D0000471,S000046,assembled
D0000472,S000030,assembled
D0000473,S000026,assembled
D0000474,S000057,assembled
D0000475,S000043,assembled
D0000476,S000049,assembled
D0000477,S000057,assembled
D0000478,S000060,assembled
D0000479,S000049,assembled
D0000480,S000001,assembled
D0000481,S000033,assembled
D0000482,S000029,assembled
D0000483,S000014,assembled
D0000484,S000047,assembled
D0000485,S000049,assembled
D0000486,S000021,assembled
D0000487,S000047,assembled
D0000488,S000062,assembled
D0000489,S000007,assembled
D0000490,S000027,assembled
D0000491,S000016,assembled
D0000492,S000043,assembled
D0000493,S000040,assembled
D0000494,S000047,assembled
D0000495,S000011,assembled
D0000496,S000031,assembled
D0000497,S000038,assembled
D0000498,S000051,assembled
D0000499,S000009,assembled
D0000500,S000001,assembled
D0000501,S000013,assembled
D0000502,S000016,assembled
D0000503,S000046,assembled
D0000504,S000048,assembled
D0000505,S000011,assembled
D0000506,S000026,assembled
D0000507,S000041,assembled
D0000508,S000063,assembled
D0000509,S000056,assembled
D0000510,S000062,assembled
D0000511,S000046,assembled
D0000512,S000002,assembled
D0000513,S000028,assembled
D0000514,S000039,assembled
D0000515,S000056,assembled
D0000516,S000006,assembled
D0000517,S000044,assembled
D0000518,S000010,assembled
D0000519,S000017,assembled
D0000520,S000039,assembled
D0000521,S000038,assembled
D0000522,S000052,assembled
D0000523,S000022,assembled
D0000524,S000051,assembled
D0000525,S000012,assembled
D0000526,S000058,assembled
D0000527,S000032,assembled
D0000528,,screen_rejected
D0000529,S000039,assembled
D0000530,S000038,assembled
D0000531,,screen_rejected
D0000532,S000051,assembled
D0000533,S000047,assembled
D0000534,S000052,assembled
D0000535,,screen_rejected
D0000536,S000013,assembled
D0000537,S000015,assembled
D0000538,S000054,assembled
D0000539,S000017,assembled
D0000540,S000036,assembled
D0000541,S000022,assembled
D0000542,S000008,assembled
D0000543,S000037,assembled
D0000544,S000040,assembled
D0000545,S000061,assembled
D0000546,,eligible_unassigned
D0000547,S000010,assembled
D0000548,S000037,assembled
D0000549,S000054,assembled
D0000550,S000047,assembled
D0000551,S000027,assembled
D0000552,S000019,assembled
D0000553,S000034,assembled
D0000554,S000003,assembled
D0000555,S000016,assembled
D0000556,S000033,assembled
D0000557,S000038,assembled
D0000558,S000030,assembled
D0000559,S000034,assembled
D0000560,S000029,assembled
D0000561,S000031,assembled
D0000562,S000024,assembled
D0000563,S000019,assembled
D0000564,,screen_rejected
D0000565,S000040,assembled
D0000566,S000061,assembled
D0000567,S000008,assembled
D0000568,S000019,assembled
D0000569,S000021,assembled
D0000570,S000052,assembled
D0000571,S000007,assembled
D0000572,S000014,assembled
D0000573,S000036,assembled
D0000574,S000038,assembled
D0000575,S000052,assembled
D0000576,S000028,assembled
D0000577,S000061,assembled
D0000578,,screen_rejected
D0000579,S000038,assembled
D0000580,S000019,assembled
D0000581,S000021,assembled
D0000582,S000053,assembled
D0000583,S000003,assembled
D0000584,S000025,assembled
D0000585,S000062,assembled
D0000586,S000024,assembled
D0000587,S000007,assembled
D0000588,S000019,assembled
D0000589,S000014,assembled
D0000590,S000023,assembled
D0000591,S000044,assembled
D0000592,S000015,assembled
D0000593,S000026,assembled
D0000594,S000043,assembled
D0000595,S000014,assembled
D0000596,S000042,assembled
D0000597,S000017,assembled
D0000598,S000048,assembled
D0000599,S000011,assembled
D0000600,S000030,assembled
D0000601,S000012,assembled
D0000602,S000017,assembled
D0000603,S000043,assembled
D0000604,S000016,assembled
D0000605,S000061,assembled
D0000606,S000048,assembled
D0000607,S000013,assembled
D0000608,S000016,assembled
D0000609,S000020,assembled
D0000610,S000041,assembled
D0000611,S000039,assembled
D0000612,S000028,assembled
D0000613,S000048,assembled
D0000614,S000039,assembled
D0000615,,screen_rejected
D0000616,S000026,assembled
D0000617,S000015,assembled
D0000618,S000020,assembled
D0000619,S000024,assembled
D0000620,S000035,assembled
D0000621,S000059,assembled
D0000622,S000018,assembled
D0000623,S000055,assembled
D0000624,S000055,assembled
D0000625,S000057,assembled
D0000626,S000025,assembled
D0000627,S000042,assembled
D0000628,S000006,assembled
D0000629,S000008,assembled
D0000630,S000045,assembled
D0000631,S000063,assembled
D0000632,S000050,assembled
D0000633,S000060,assembled
D0000634,S000011,assembled
D0000635,S000018,assembled
D0000636,S000013,assembled
D0000637,S000052,assembled
D0000638,S000034,assembled
D0000639,S000006,assembled
D0000640,S000029,assembled
D0000641,S000032,assembled
D0000642,S000033,assembled
D0000643,S000003,assembled
D0000644,S000006,assembled
D0000645,S000002,assembled
D0000646,S000035,assembled
D0000647,S000017,assembled
D0000648,S000012,assembled
D0000649,S000005,assembled
D0000650,S000037,assembled
D0000651,S000004,assembled
D0000652,S000053,assembled
D0000653,S000014,assembled
D0000654,S000051,assembled
D0000655,S000008,assembled
D0000656,S000034,assembled
D0000657,S000052,assembled
D0000658,S000032,assembled
D0000659,,eligible_unassigned
D0000660,S000047,assembled
D0000661,S000045,assembled
D0000662,S000032,assembled
D0000663,S000024,assembled
D0000664,S000022,assembled
D0000665,S000020,assembled
D0000666,S000060,assembled
D0000667,S000040,assembled
D0000668,S000044,assembled
D0000669,S000047,assembled
D0000670,S000044,assembled
D0000671,S000034,assembled
D0000672,S000022,assembled
D0000673,S000044,assembled
D0000674,S000030,assembled
D0000675,S000049,assembled
D0000676,S000001,assembled
D0000677,S000020,assembled
D0000678,S000007,assembled
D0000679,S000020,assembled
D0000680,S000043,assembled
D0000681,S000022,assembled
D0000682,S000043,assembled
D0000683,S000005,assembled
D0000684,S000005,assembled
D0000685,S000061,assembled
D0000686,,screen_rejected
D0000687,S000017,assembled
D0000688,S000037,assembled
D0000689,S000023,assembled
D0000690,S000031,assembled
D0000691,S000019,assembled
D0000692,S000055,assembled
D0000693,S000051,assembled
D0000694,S000062,assembled
D0000695,S000045,assembled
D0000696,S000004,assembled
D0000697,S000054,assembled
D0000698,S000037,assembled
D0000699,S000021,assembled
D0000700,S000025,assembled
D0000701,S000063,assembled
D0000702,S000022,assembled
D0000703,S000020,assembled
D0000704,S000025,assembled
D0000705,S000014,assembled
D0000706,S000042,assembled
D0000707,S000019,assembled
D0000708,S000053,assembled
D0000709,S000021,assembled
D0000710,S000050,assembled
D0000711,S000049,assembled
D0000712,S000022,assembled
D0000713,S000056,assembled
D0000714,S000022,assembled
D0000715,S000052,assembled
D0000716,S000008,assembled
D0000717,S000053,assembled
D0000718,S000029,assembled
D0000719,S000045,assembled
D0000720,S000042,assembled
D0000721,S000013,assembled
D0000722,S000038,assembled
D0000723,S000052,assembled
D0000724,S000053,assembled
D0000725,S000054,assembled
D0000726,S000058,assembled
D0000727,S000058,assembled
D0000728,,screen_rejected
D0000729,S000058,assembled
D0000730,S000018,assembled
D0000731,S000050,assembled
D0000732,S000053,assembled
D0000733,S000026,assembled
D0000734,S000037,assembled
D0000735,S000050,assembled
D0000736,S000041,assembled
D0000737,S000004,assembled
D0000738,S000040,assembled
D0000739,S000042,assembled
D0000740,S000021,assembled
D0000741,,screen_rejected
D0000742,S000023,assembled
D0000743,S000041,assembled
D0000744,S000016,assembled
D0000745,S000032,assembled
D0000746,S000063,assembled
D0000747,S000029,assembled
D0000748,,screen_rejected
D0000749,S000042,assembled
D0000750,S000051,assembled
D0000751,S000027,assembled
D0000752,S000030,assembled
D0000753,S000014,assembled
D0000754,S000011,assembled
D0000755,S000055,assembled
D0000756,S000004,assembled
D0000757,,screen_rejected
D0000758,S000008,assembled
D0000759,S000018,assembled
D0000760,S000057,assembled
D0000761,S000009,assembled
D0000762,S000044,assembled
D0000763,S000026,assembled
D0000764,S000036,assembled
D0000765,S000038,assembled
D0000766,S000034,assembled
D0000767,S000003,assembled
D0000768,,screen_rejected
D0000769,S000004,assembled
D0000770,S000009,assembled
D0000771,S000063,assembled
D0000772,S000010,assembled
D0000773,S000023,assembled
D0000774,S000021,assembled
D0000775,S000046,assembled
D0000776,S000034,assembled
D0000777,S000049,assembled
D0000778,S000029,assembled
D0000779,S000006,assembled
D0000780,S000061,assembled
D0000781,S000003,assembled
D0000782,S000030,assembled
D0000783,S000031,assembled
D0000784,S000048,assembled
D0000785,S000039,assembled
D0000786,S000057,assembled
D0000787,S000028,assembled
D0000788,,screen_rejected
D0000789,S000028,assembled
D0000790,S000061,assembled
D0000791,S000053,assembled
D0000792,S000018,assembled
D0000793,S000063,assembled
D0000794,S000037,assembled
D0000795,S000024,assembled
D0000796,S000016,assembled
D0000797,S000003,assembled
D0000798,S000058,assembled
D0000799,S000028,assembled
D0000800,S000048,assembled
D0000801,S000107,assembled
D0000802,S000102,assembled
D0000803,S000107,assembled
D0000804,S000070,assembled
D0000805,S000072,assembled
D0000806,S000096,assembled
D0000807,S000120,assembled
D0000808,S000088,assembled
D0000809,S000081,assembled
D0000810,S000064,assembled
D0000811,,screen_rejected
D0000812,S000107,assembled
D0000813,S000083,assembled
D0000814,S000106,assembled
D0000815,S000073,assembled
D0000816,S000094,assembled
D0000817,S000111,assembled
D0000818,S000119,assembled
D0000819,S000111,assembled
D0000820,S000108,assembled
D0000821,S000089,assembled
D0000822,S000125,assembled
D0000823,S000119,assembled
D0000824,S000088,assembled
D0000825,S000110,assembled
D0000826,S000070,assembled
D0000827,S000069,assembled
D0000828,S000081,assembled
D0000829,S000087,assembled
D0000830,S000101,assembled
D0000831,S000071,assembled
D0000832,S000102,assembled
D0000833,S000122,assembled
D0000834,S000069,assembled
D0000835,S000070,assembled
D0000836,S000121,assembled
D0000837,S000103,assembled
D0000838,S000086,assembled
D0000839,,screen_rejected
D0000840,S000071,assembled
D0000841,S000106,assembled
D0000842,S000090,assembled
D0000843,S000090,assembled
D0000844,S000079,assembled
D0000845,S000085,assembled
D0000846,S000114,assembled
D0000847,S000103,assembled
D0000848,S000080,assembled
D0000849,S000064,assembled
D0000850,S000100,assembled
D0000851,S000124,assembled
D0000852,S000119,assembled
D0000853,S000075,assembled
D0000854,S000078,assembled
D0000855,S000093,assembled
D0000856,S000099,assembled
D0000857,S000075,assembled
D0000858,S000094,assembled
D0000859,S000076,assembled
D0000860,S000072,assembled
D0000861,S000073,assembled
D0000862,S000065,assembled
D0000863,S000085,assembled
D0000864,S000099,assembled
D0000865,S000111,assembled
D0000866,S000113,assembled
D0000867,S000108,assembled
D0000868,S000102,assembled
D0000869,S000095,assembled
D0000870,S000122,assembled
D0000871,S000078,assembled
D0000872,S000096,assembled
D0000873,S000125,assembled
D0000874,S000117,assembled
D0000875,S000093,assembled
D0000876,S000087,assembled
D0000877,S000066,assembled
D0000878,S000070,assembled
D0000879,S000067,assembled
D0000880,S000067,assembled
D0000881,S000094,assembled
D0000882,S000097,assembled
D0000883,S000115,assembled
D0000884,S000101,assembled
D0000885,S000083,assembled
D0000886,S000116,assembled
D0000887,,screen_rejected
D0000888,S000089,assembled
D0000889,S000086,assembled
D0000890,S000104,assembled
D0000891,S000091,assembled
D0000892,S000079,assembled
D0000893,S000111,assembled
D0000894,S000127,assembled
D0000895,S000115,assembled
D0000896,S000110,assembled
D0000897,S000115,assembled
D0000898,S000110,assembled
D0000899,S000082,assembled
D0000900,S000072,assembled
D0000901,S000126,assembled
D0000902,S000095,assembled
D0000903,S000081,assembled
D0000904,S000095,assembled
D0000905,,eligible_unassigned
D0000906,S000116,assembled
D0000907,S000065,assembled
D0000908,S000116,assembled
D0000909,S000097,assembled
D0000910,S000125,assembled
D0000911,S000098,assembled
D0000912,S000097,assembled
D0000913,S000075,assembled
D0000914,S000092,assembled
D0000915,S000121,assembled
D0000916,S000114,assembled
D0000917,S000112,assembled
D0000918,S000090,assembled
D0000919,S000122,assembled
D0000920,S000068,assembled
D0000921,S000086,assembled
D0000922,S000104,assembled
D0000923,S000084,assembled
D0000924,S000127,assembled
D0000925,S000064,assembled
D0000926,S000116,assembled
D0000927,S000099,assembled
D0000928,S000069,assembled
D0000929,S000089,assembled
D0000930,S000105,assembled
D0000931,S000108,assembled
D0000932,S000112,assembled
D0000933,S000083,assembled
D0000934,S000073,assembled
D0000935,S000127,assembled
D0000936,S000119,assembled
D0000937,S000092,assembled
D0000938,S000076,assembled
D0000939,S000082,assembled
D0000940,S000113,assembled
D0000941,S000106,assembled
D0000942,,screen_rejected
D0000943,S000105,assembled
D0000944,,screen_rejected
D0000945,S000100,assembled
D0000946,S000078,assembled
D0000947,S000082,assembled
D0000948,S000080,assembled
D0000949,S000072,assembled
D0000950,S000104,assembled
D0000951,S000086,assembled
D0000952,S000095,assembled
D0000953,S000096,assembled
D0000954,S000082,assembled
D0000955,S000081,assembled
D0000956,S000118,assembled
D0000957,S000095,assembled
D0000958,S000125,assembled
D0000959,S000124,assembled
D0000960,S000094,assembled
D0000961,S000103,assembled
D0000962,S000105,assembled
D0000963,S000097,assembled
D0000964,S000091,assembled
D0000965,S000120,assembled
D0000966,S000079,assembled
D0000967,S000103,assembled
D0000968,S000123,assembled
D0000969,S000084,assembled
D0000970,S000118,assembled
D0000971,S000105,assembled
D0000972,S000091,assembled
D0000973,S000112,assembled
D0000974,,eligible_unassigned
D0000975,S000066,assembled
D0000976,S000099,assembled
D0000977,S000111,assembled
D0000978,S000117,assembled
D0000979,S000122,assembled
D0000980,S000106,assembled
D0000981,S000073,assembled
D0000982,S000109,assembled
D0000983,S000090,assembled
D0000984,S000083,assembled
D0000985,S000082,assembled
D0000986,,screen_rejected
D0000987,S000086,assembled
D0000988,S000109,assembled
D0000989,S000079,assembled
D0000990,S000103,assembled
D0000991,S000068,assembled
D0000992,S000116,assembled
D0000993,S000108,assembled
D0000994,S000114,assembled
D0000995,S000121,assembled
D0000996,S000104,assembled
D0000997,S000124,assembled
D0000998,S000066,assembled
D0000999,S000113,assembled
D0001000,S000104,assembled
D0001001,S000084,assembled
D0001002,S000124,assembled
D0001003,S000069,assembled
D0001004,S000108,assembled
D0001005,S000087,assembled
D0001006,S000095,assembled
D0001007,,eligible_unassigned
D0001008,S000092,assembled
D0001009,S000076,assembled
D0001010,S000118,assembled
D0001011,S000078,assembled
D0001012,S000126,assembled
D0001013,S000120,assembled
D0001014,S000085,assembled
D0001015,S000066,assembled
D0001016,S000068,assembled
D0001017,S000088,assembled
D0001018,S000090,assembled
D0001019,S000080,assembled
D0001020,S000099,assembled
D0001021,S000118,assembled
D0001022,S000091,assembled
D0001023,S000109,assembled
D0001024,S000100,assembled
D0001025,S000083,assembled
D0001026,S000090,assembled
D0001027,S000073,assembled
D0001028,S000116,assembled
D0001029,S000097,assembled
D0001030,S000071,assembled
D0001031,S000102,assembled
D0001032,S000088,assembled
D0001033,S000089,assembled
D0001034,S000074,assembled
D0001035,S000085,assembled
D0001036,S000079,assembled
D0001037,S000084,assembled
D0001038,S000081,assembled
D0001039,,eligible_unassigned
D0001040,S000088,assembled
D0001041,S000105,assembled
D0001042,S000071,assembled
D0001043,S000093,assembled
D0001044,S000117,assembled
D0001045,S000067,assembled
D0001046,S000084,assembled
D0001047,S000085,assembled
D0001048,S000118,assembled
D0001049,S000110,assembled
D0001050,S000095,assembled
D0001051,S000098,assembled
D0001052,S000103,assembled
D0001053,S000087,assembled
D0001054,,screen_rejected
D0001055,S000082,assembled
D0001056,S000070,assembled
D0001057,S000076,assembled
D0001058,S000105,assembled
D0001059,S000106,assembled
D0001060,S000108,assembled
D0001061,S000115,assembled
D0001062,S000113,assembled
D0001063,S000127,assembled
D0001064,S000126,assembled
D0001065,S000106,assembled
D0001066,S000110,assembled
D0001067,S000097,assembled
D0001068,S000106,assembled
D0001069,S000087,assembled
D0001070,S000066,assembled
D0001071,S000092,assembled
D0001072,S000123,assembled
D0001073,S000079,assembled
