stack_id,lot_id,split,product_generation,stack_layer_count,capacity_gb,packaging_route,assembly_tool_id,emc_batch_id,base_die_id,assembly_start_time_utc,reflow_start_time_utc,assembly_end_time_utc,feature_available_time_utc,stack_height_um,mold_cap_thickness_um,inter_die_gap_mean_um,max_alignment_offset_um,cumulative_die_shift_um,emc_viscosity_pa_s,molding_pressure_mpa,molding_vacuum_absolute_kpa,reflow_peak_temperature_c,time_above_liquidus_sec,heating_rate_c_sec,cure_temperature_c,cure_duration_min,underfill_void_pct,delamination_area_pct,package_warpage_um,stacks_since_tool_service,inspection_sampled
S000011,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000011,2025-01-07T01:40:00Z,2025-01-07T01:45:00Z,2025-01-07T03:20:00Z,2025-01-07T05:20:00Z,611.89857,29.953755,13.044819,0.61740791,1.1143619,8.9624923,6.718796,2.070398,245.52218,54.050803,1.5370643,174.8181,57.6736,0.1799942,0.12740892,13.541148,10,1
S000012,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000012,2025-01-07T01:50:00Z,2025-01-07T01:55:00Z,2025-01-07T03:30:00Z,2025-01-07T05:30:00Z,609.84752,29.960028,12.966234,0.72733108,0.27205159,10.539562,7.0026147,2.2151277,245.27593,56.947751,1.4373872,176.1146,61.878318,0.21868853,0.067050705,13.059076,11,1
S000013,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000013,2025-01-07T02:00:00Z,2025-01-07T02:05:00Z,2025-01-07T03:40:00Z,2025-01-07T05:40:00Z,608.48657,30.183991,13.024912,0.69729059,2.1458829,10.607957,7.0867171,2.8837254,248.38125,61.422387,1.6672055,175.65499,60.525752,0.24438031,0.1288463,15.742271,12,1
S000014,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000014,2025-01-07T02:10:00Z,2025-01-07T02:15:00Z,2025-01-07T03:50:00Z,2025-01-07T05:50:00Z,612.60676,30.24992,13.06116,0.54495249,0.92856321,10.605108,7.2529007,2.2797695,244.91052,59.267126,1.5248208,176.41485,59.718454,0.29918602,0.045277695,15.004132,13,1
S000015,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000015,2025-01-07T02:20:00Z,2025-01-07T02:25:00Z,2025-01-07T04:00:00Z,2025-01-07T06:00:00Z,608.99773,29.760534,12.947709,0.59273878,2.1178248,9.708364,7.3847896,2.838803,247.20715,58.661872,1.5610512,175.54745,65.469021,0.29009356,0.1913957,16.773472,14,1
S000016,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000016,2025-01-07T02:30:00Z,2025-01-07T02:35:00Z,2025-01-07T04:10:00Z,2025-01-07T06:10:00Z,608.60177,28.431855,13.018839,0.76312586,0.66704452,10.999103,7.0157954,2.4751874,244.1406,51.109161,1.4613495,175.67361,59.081507,0.32938649,0.13186111,11.192158,15,1
S000017,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000017,2025-01-07T02:40:00Z,2025-01-07T02:45:00Z,2025-01-07T04:20:00Z,2025-01-07T06:20:00Z,607.86965,30.038462,12.966129,0.61457123,0.49588096,7.7520818,6.8496887,2.0227298,246.44371,53.361209,1.4139959,174.86655,61.564413,0.10648927,0.056436206,12.289058,16,1
S000018,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000018,2025-01-07T02:50:00Z,2025-01-07T02:55:00Z,2025-01-07T04:30:00Z,2025-01-07T06:30:00Z,610.33733,30.436593,12.977985,0.74990163,1.0482931,9.695849,7.0344206,2.486995,243.56254,56.720736,1.49712,174.68653,58.892255,0.3680927,0.16260145,14.215918,17,1
S000019,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000019,2025-01-07T03:00:00Z,2025-01-07T03:05:00Z,2025-01-07T04:40:00Z,2025-01-07T06:40:00Z,613.96944,30.367502,13.064643,0.50937713,1.9824065,8.0135993,7.1429885,3.0188138,248.12548,58.527795,1.5263977,175.75706,56.782655,0.23738043,0.10854666,13.277503,18,1
S000020,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000020,2025-01-07T03:10:00Z,2025-01-07T03:15:00Z,2025-01-07T04:50:00Z,2025-01-07T06:50:00Z,612.95335,29.856955,13.031075,0.67459538,0.53501045,8.0585035,7.0912413,2.5421507,243.60069,54.677464,1.4622163,173.9339,61.158569,0.22630173,0.083896632,12.824611,19,1
S000021,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000021,2025-01-07T03:20:00Z,2025-01-07T03:25:00Z,2025-01-07T05:00:00Z,2025-01-07T07:00:00Z,611.01473,30.104603,13.010007,0.66841478,2.2831261,10.762,7.6107118,3.1876325,250.84343,59.871209,1.4613133,176.59527,60.663903,0.33713246,0.31044701,17.469606,20,1
S000022,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000022,2025-01-07T03:30:00Z,2025-01-07T03:35:00Z,2025-01-07T05:10:00Z,2025-01-07T07:10:00Z,610.00235,30.345797,13.076072,0.66401664,1.1169632,9.5797965,7.1604927,3.2083476,249.1752,60.665464,1.5023441,175.30668,59.715393,0.31680118,0.098105154,12.96554,21,1
S000023,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000023,2025-01-07T03:40:00Z,2025-01-07T03:45:00Z,2025-01-07T05:20:00Z,2025-01-07T07:20:00Z,613.34404,30.632155,13.061476,0.43356242,0.33376316,9.6838924,6.7612291,2.3811576,243.55807,58.180415,1.5451893,174.71114,59.349098,0.26386535,0.080829308,10.185791,22,1
S000024,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000024,2025-01-07T03:50:00Z,2025-01-07T03:55:00Z,2025-01-07T05:30:00Z,2025-01-07T07:30:00Z,611.09346,30.058674,13.040962,0.52234328,1.6590298,9.6212249,6.9272414,2.0127212,243.90114,52.675435,1.4779415,172.64674,58.608888,0.1650922,0.060952391,11.549394,23,1
S000025,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000025,2025-01-07T04:00:00Z,2025-01-07T04:05:00Z,2025-01-07T05:40:00Z,2025-01-07T07:40:00Z,611.84068,29.880016,13.030369,0.47513576,1.0201457,9.7288395,7.4711767,2.842958,248.55972,55.740324,1.6083626,176.35964,57.940113,0.23800047,0.16563347,12.023545,24,1
S000026,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000026,2025-01-07T04:10:00Z,2025-01-07T04:15:00Z,2025-01-07T05:50:00Z,2025-01-07T07:50:00Z,611.9478,30.17023,13.018909,0.50810447,0.63269408,9.542706,7.0803764,2.1025997,245.08938,56.355878,1.4239756,173.85387,61.054956,0.16817087,0.075388374,12.777881,25,1
S000027,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000027,2025-01-07T04:20:00Z,2025-01-07T04:25:00Z,2025-01-07T06:00:00Z,2025-01-07T08:00:00Z,610.22822,29.555174,12.974467,0.44972008,2.6135689,10.592321,7.3323384,3.6530901,249.73285,53.287164,1.3966266,174.54805,59.617944,0.8061121,0.66011695,14.18525,26,1
S000028,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000028,2025-01-07T04:30:00Z,2025-01-07T04:35:00Z,2025-01-07T06:10:00Z,2025-01-07T08:10:00Z,610.07073,29.49072,13.086072,0.73470636,2.299856,10.530868,7.0978297,2.594077,245.31884,56.672719,1.5733236,173.95083,60.445604,0.16348178,0.095969344,15.088235,27,1
S000029,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000029,2025-01-07T04:40:00Z,2025-01-07T04:45:00Z,2025-01-07T06:20:00Z,2025-01-07T08:20:00Z,609.77981,30.339307,13.016034,0.38050624,0.59178587,9.6276798,7.1587618,2.3060129,244.82446,55.647012,1.4523705,173.93702,61.029746,0.14088435,0.045100232,12.980838,28,1
S000030,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000030,2025-01-07T04:50:00Z,2025-01-07T04:55:00Z,2025-01-07T06:30:00Z,2025-01-07T08:30:00Z,609.98679,29.772316,12.975537,0.4767533,0.21051678,8.5689099,6.8427272,2.246904,247.12022,53.89146,1.5674828,174.65993,63.358882,0.53325608,0.157704,11.229176,29,1
S000031,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000031,2025-01-07T05:00:00Z,2025-01-07T05:05:00Z,2025-01-07T06:40:00Z,2025-01-07T08:40:00Z,609.93497,30.284453,12.990359,0.92648456,1.6529293,10.198178,7.0997037,2.9555331,247.4223,58.289927,1.5084316,173.55471,63.163956,0.36685979,0.046819739,12.017377,30,1
S000032,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000032,2025-01-07T05:10:00Z,2025-01-07T05:15:00Z,2025-01-07T06:50:00Z,2025-01-07T08:50:00Z,609.3758,29.834661,12.962824,0.63045537,0.97741323,9.5506326,7.2664005,2.7231262,248.47616,54.637517,1.3273643,174.50989,62.505767,0.37061154,0.15777896,15.018384,31,1
S000033,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000033,2025-01-07T05:20:00Z,2025-01-07T05:25:00Z,2025-01-07T07:00:00Z,2025-01-07T09:00:00Z,611.0622,29.922395,13.056856,0.49390703,1.8001425,9.5956809,7.1166316,2.7732883,245.43827,61.690194,1.5917599,176.37636,60.787651,0.39255224,0.29329426,16.064444,32,1
S000034,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000034,2025-01-07T05:30:00Z,2025-01-07T05:35:00Z,2025-01-07T07:10:00Z,2025-01-07T09:10:00Z,609.92282,30.666836,13.004651,0.3942543,1.2528518,10.123422,7.3090066,2.5844273,245.6643,57.417127,1.4720006,174.76296,61.990261,0.22364585,0.050563444,14.239325,33,1
S000035,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000035,2025-01-07T05:40:00Z,2025-01-07T05:45:00Z,2025-01-07T07:20:00Z,2025-01-07T09:20:00Z,609.59116,29.597266,13.026,0.47893197,0.61698341,7.8888209,7.1204942,2.3837443,244.18201,55.407599,1.4817257,173.81174,60.66605,0.16501863,0.19568068,12.509262,34,1
S000036,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000036,2025-01-07T05:50:00Z,2025-01-07T05:55:00Z,2025-01-07T07:30:00Z,2025-01-07T09:30:00Z,608.83688,29.905149,12.933638,0.80288728,0.22448679,9.0554736,6.9308646,2.409829,245.80566,56.135553,1.5707226,174.27648,59.099192,0.33534582,0.09846615,11.83125,35,1
S000037,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000037,2025-01-07T06:00:00Z,2025-01-07T06:05:00Z,2025-01-07T07:40:00Z,2025-01-07T09:40:00Z,611.07162,29.480842,13.095126,0.53836343,1.8216049,10.715951,7.3340526,3.3972017,248.77787,59.489967,1.536934,174.89805,62.904341,0.52856993,0.35232978,15.7937,36,1
S000038,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000038,2025-01-07T06:10:00Z,2025-01-07T06:15:00Z,2025-01-07T07:50:00Z,2025-01-07T09:50:00Z,608.35123,29.298607,12.976864,0.46547322,0.62763817,9.7330371,7.0645719,2.8153232,244.42771,55.651838,1.4755419,175.16767,60.527977,0.41374338,0.078601137,13.262957,37,1
S000039,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000039,2025-01-07T06:20:00Z,2025-01-07T06:25:00Z,2025-01-07T08:00:00Z,2025-01-07T10:00:00Z,609.77504,29.467274,13.026679,0.56291452,1.3436335,11.022554,7.1567815,3.3386158,249.08185,54.852133,1.5922655,175.32063,59.090444,0.26751145,0.11701139,12.596471,38,1
S000040,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000040,2025-01-07T06:30:00Z,2025-01-07T06:35:00Z,2025-01-07T08:10:00Z,2025-01-07T10:10:00Z,611.27017,30.889809,13.018207,0.52639622,0.2506265,10.66811,7.2565863,2.7138474,245.81335,53.613705,1.5040372,175.12942,61.069782,0.58189675,0.10635211,13.017223,39,1
S000041,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000041,2025-01-07T06:40:00Z,2025-01-07T06:45:00Z,2025-01-07T08:20:00Z,2025-01-07T10:20:00Z,607.76842,29.556609,12.940558,0.53524438,1.7785485,8.5444318,6.817431,1.7743277,246.36495,51.593261,1.3857351,175.14097,62.832432,0.14115359,0.097745944,13.133342,40,1
S000042,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000042,2025-01-07T06:50:00Z,2025-01-07T06:55:00Z,2025-01-07T08:30:00Z,2025-01-07T10:30:00Z,609.25333,30.176426,12.955766,0.64943661,0.80648605,9.1208823,7.1110502,2.654466,242.69031,52.964895,1.4475354,174.42653,57.791458,0.15480097,0.084188092,12.478353,41,1
S000043,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000043,2025-01-07T07:00:00Z,2025-01-07T07:05:00Z,2025-01-07T08:40:00Z,2025-01-07T10:40:00Z,612.13394,29.742667,12.99862,0.74555096,1.3745352,9.5006376,7.3956236,3.7684588,245.47916,58.038473,1.4860285,174.74688,62.47851,0.25032798,0.11952233,14.268374,42,1
S000044,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000044,2025-01-07T07:10:00Z,2025-01-07T07:15:00Z,2025-01-07T08:50:00Z,2025-01-07T10:50:00Z,610.70634,29.97506,12.980482,0.65888794,1.3644481,9.6952175,7.2758017,2.5262369,245.14823,50.422644,1.5537942,173.90078,58.920829,0.18773511,0.065645921,13.091685,43,1
S000045,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000045,2025-01-07T07:20:00Z,2025-01-07T07:25:00Z,2025-01-07T09:00:00Z,2025-01-07T11:00:00Z,610.30163,30.387103,12.957823,0.68418587,2.5465235,9.564366,7.0677524,2.6708612,246.87137,57.114501,1.5480675,177.34034,58.23674,0.50271546,0.46344358,16.45328,44,1
S000046,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000046,2025-01-07T07:30:00Z,2025-01-07T07:35:00Z,2025-01-07T09:10:00Z,2025-01-07T11:10:00Z,609.45386,29.215409,12.989414,0.61386605,1.8865651,10.832354,6.6949087,2.8492492,249.1205,57.433791,1.5004834,175.55097,55.060373,0.16165497,0.15323113,15.646246,45,1
S000047,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000047,2025-01-07T07:40:00Z,2025-01-07T07:45:00Z,2025-01-07T09:20:00Z,2025-01-07T11:20:00Z,611.41089,29.480369,13.048418,0.42435856,0.54091986,9.3163307,6.668468,2.7041817,246.34371,52.920405,1.4968679,173.95641,59.105239,0.15830579,0.22518414,12.603635,46,1
S000048,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000048,2025-01-07T07:50:00Z,2025-01-07T07:55:00Z,2025-01-07T09:30:00Z,2025-01-07T11:30:00Z,610.50833,29.640988,12.943093,0.6757186,0.12469324,8.2395538,6.381638,2.339251,244.91901,53.32252,1.5796851,175.52563,63.44027,0.22814723,0.303409,12.561647,47,1
S000049,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000049,2025-01-07T08:00:00Z,2025-01-07T08:05:00Z,2025-01-07T09:40:00Z,2025-01-07T11:40:00Z,609.29757,29.957971,12.893365,0.71303256,1.3175891,10.4258,7.1926291,3.2096912,248.57067,57.866262,1.4707014,176.04103,63.71117,0.26109302,0.072089015,13.66256,48,1
S000050,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000050,2025-01-07T08:10:00Z,2025-01-07T08:15:00Z,2025-01-07T09:50:00Z,2025-01-07T11:50:00Z,608.32203,30.061917,12.883355,0.48661921,0.64100047,7.7813328,7.0303959,2.4589468,245.48345,55.929977,1.4659568,176.4399,59.425731,0.11276771,0.074914299,12.621167,49,1
S000051,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000051,2025-01-07T08:20:00Z,2025-01-07T08:25:00Z,2025-01-07T10:00:00Z,2025-01-07T12:00:00Z,611.6296,30.311684,12.980023,0.48304709,0.43019062,9.7675113,7.2455965,4.0868861,246.24318,55.168859,1.5692021,175.82453,61.538609,0.46554171,0.18177769,14.672245,50,1
S000052,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000052,2025-01-07T08:30:00Z,2025-01-07T08:35:00Z,2025-01-07T10:10:00Z,2025-01-07T12:10:00Z,609.05221,29.4556,13.009331,0.61953365,1.1859404,9.298901,6.8844195,2.7149987,246.31965,55.17309,1.5976809,175.70942,60.449176,0.28316437,0.070081211,14.959729,51,1
S000053,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000053,2025-01-07T08:40:00Z,2025-01-07T08:45:00Z,2025-01-07T10:20:00Z,2025-01-07T12:20:00Z,607.669,30.298417,13.024283,0.36930883,0.33377489,9.4305802,6.8265043,2.1179776,245.33227,51.418109,1.4082866,174.40246,60.549774,0.15393292,0.098563155,11.771458,52,1
S000054,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000054,2025-01-07T08:50:00Z,2025-01-07T08:55:00Z,2025-01-07T10:30:00Z,2025-01-07T12:30:00Z,612.44666,30.691721,12.976467,0.63274871,2.2224092,9.5535711,6.9088557,2.6299741,246.36014,58.682133,1.4962412,175.2151,57.693728,0.23437425,0.04933224,14.005372,53,1
S000055,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000055,2025-01-07T09:00:00Z,2025-01-07T09:05:00Z,2025-01-07T10:40:00Z,2025-01-07T12:40:00Z,611.39879,29.744723,13.024581,0.55034051,1.542136,9.2945794,7.1482569,3.6445498,245.46077,56.146461,1.5209696,173.24886,61.975847,0.74706078,0.20045029,12.759128,54,1
S000056,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000056,2025-01-07T09:10:00Z,2025-01-07T09:15:00Z,2025-01-07T10:50:00Z,2025-01-07T12:50:00Z,610.30535,29.947135,12.99406,0.58127539,0.81550184,9.6718567,7.0683882,2.2902311,246.17394,56.719509,1.4315492,174.34446,63.729901,0.40237029,0.14329936,12.8303,55,1
S000057,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000057,2025-01-07T09:20:00Z,2025-01-07T09:25:00Z,2025-01-07T11:00:00Z,2025-01-07T13:00:00Z,611.60947,30.214455,12.963781,0.70993373,2.1233964,9.1647998,7.0937987,3.3120747,246.77585,61.526903,1.5364476,174.62377,59.68455,0.48449655,0.28908803,15.931856,56,1
S000058,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T04,EMC001,B0000058,2025-01-07T09:30:00Z,2025-01-07T09:35:00Z,2025-01-07T11:10:00Z,2025-01-07T13:10:00Z,610.92698,30.181696,13.107491,0.66262603,1.9438862,8.9371181,6.8295526,3.2398838,245.70782,56.936895,1.4470036,175.03467,61.943508,0.3508052,0.060038265,15.211101,57,1
S000059,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T05,EMC001,B0000059,2025-01-07T09:40:00Z,2025-01-07T09:45:00Z,2025-01-07T11:20:00Z,2025-01-07T13:20:00Z,611.02801,30.891869,13.089135,0.45484004,1.2729569,9.1470944,6.9076194,2.3500827,245.64603,59.083563,1.4274413,176.30593,61.345124,0.22021408,0.1122002,14.039214,58,1
S000060,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T06,EMC001,B0000060,2025-01-07T09:50:00Z,2025-01-07T09:55:00Z,2025-01-07T11:30:00Z,2025-01-07T13:30:00Z,612.43677,30.101897,13.084273,0.47868658,0.68353105,8.5082638,6.8036353,2.1272927,244.18374,58.481353,1.5107023,175.08717,63.468558,0.39007394,0.180931,13.815433,59,1
S000061,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T01,EMC001,B0000061,2025-01-07T10:00:00Z,2025-01-07T10:05:00Z,2025-01-07T11:40:00Z,2025-01-07T13:40:00Z,614.66504,30.563803,13.095407,0.57990674,1.8659541,9.7513454,7.1634556,2.7317864,247.11309,62.928307,1.323051,174.9305,59.381655,0.29473696,0.23755547,17.98766,60,1
S000062,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000062,2025-01-07T10:10:00Z,2025-01-07T10:15:00Z,2025-01-07T11:50:00Z,2025-01-07T13:50:00Z,611.79256,30.528916,13.037064,0.63940305,0.70623138,8.8475986,7.1406741,1.9858256,243.18622,53.26111,1.5749905,174.96381,62.113146,0.32751817,0.27697341,13.279072,61,1
S000063,L0001,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T03,EMC001,B0000063,2025-01-07T10:20:00Z,2025-01-07T10:25:00Z,2025-01-07T12:00:00Z,2025-01-07T14:00:00Z,610.22723,30.921928,12.930266,0.66603574,1.0357597,10.724408,7.0289752,4.0090396,244.75797,59.256203,1.6125639,176.69352,62.070741,0.61054868,0.097181846,15.853557,62,1
S000064,L0002,train,HBM3E,12,36,Advanced_MR_MUF_inspired,ASSEMBLY_T02,EMC001,B0000073,2025-01-07T12:00:00Z,2025-01-07T12:05:00Z,2025-01-07T13:40:00Z,2025-01-07T15:40:00Z,606.34833,29.390748,12.990248,0.46607597,1.35508,9.6275777,7.0278719,2.898427,245.86568,57.271265,1.4224296,175.91793,62.092881,0.35840201,0.035423854,12.793167,75,1
