split,arm,synthetic_audit,coexisting,cost,pending_cost,technician_hours,engineer_hours,equipment_hours,nominal_hours,complete,concern_complete,correctly_complete,unresolved_count,unexplained_count,untested_count,false_absences,false_positives,missed_faults,missed_coexisting_faults,incorrectly_complete,review_pending,attempts,inconclusive_attempts,repeated_attempts,mechanism_evidence_complete,battery_attempted,audit_complete
test,manufacturing,False,True,1495.75,117.0,3.73625,3.6425,8.4325,28.1275,0.845,0.845,0.38,0.22,0.055,2.69,0.03,0.05,0.635,0.635,0.465,0.155,2.48,0.305,0.125,0.02,0.02,0.0
test,manufacturing,True,False,2383.8,621.0,5.5975,6.2125,14.06,39.605,0.6,0.6,0.56,0.925,0.0,0.69,0.025,0.05,0.1,0.0,0.04,0.4,5.035,0.705,0.38,0.6,0.655,0.6
test,mock,False,False,1146.0834586466165,51.1578947368421,2.852218045112782,2.815093984962406,6.5219736842105265,21.25107142857143,0.8699248120300752,0.8753383458646616,0.8333082706766918,0.1549624060150376,0.05842105263157895,3.7107518796992482,0.024360902255639097,0.03616541353383459,0.11541353383458647,0.0,0.03661654135338346,0.13007518796992482,1.9096992481203008,0.25661654135338346,0.1130827067669173,0.017368421052631578,0.0036090225563909775,0.0
test,mock,False,True,1495.75,117.0,3.73625,3.6425,8.4325,28.1275,0.845,0.845,0.38,0.22,0.055,2.69,0.03,0.05,0.635,0.635,0.465,0.155,2.48,0.305,0.125,0.02,0.02,0.0
test,mock,True,False,2383.8,621.0,5.5975,6.2125,14.06,39.605,0.6,0.6,0.56,0.925,0.0,0.69,0.025,0.05,0.1,0.0,0.04,0.4,5.035,0.705,0.38,0.6,0.655,0.6
test,prevalence,False,False,1146.0834586466165,51.1578947368421,2.852218045112782,2.815093984962406,6.5219736842105265,21.25107142857143,0.8699248120300752,0.8753383458646616,0.8333082706766918,0.1549624060150376,0.05842105263157895,3.7107518796992482,0.024360902255639097,0.03616541353383459,0.11541353383458647,0.0,0.03661654135338346,0.13007518796992482,1.9096992481203008,0.25661654135338346,0.1130827067669173,0.017368421052631578,0.0036090225563909775,0.0
test,prevalence,False,True,1495.75,117.0,3.73625,3.6425,8.4325,28.1275,0.845,0.845,0.38,0.22,0.055,2.69,0.03,0.05,0.635,0.635,0.465,0.155,2.48,0.305,0.125,0.02,0.02,0.0
test,prevalence,True,False,2383.8,621.0,5.5975,6.2125,14.06,39.605,0.6,0.6,0.56,0.925,0.0,0.69,0.025,0.05,0.1,0.0,0.04,0.4,5.035,0.705,0.38,0.6,0.655,0.6
train,ct_first,False,False,1010.5303630363036,48.62376237623762,2.556720297029703,2.423560231023102,5.741538778877888,18.79881600660066,0.8747689768976897,0.8794884488448845,0.834042904290429,0.15135313531353134,0.05722772277227723,3.7693399339933995,0.026452145214521453,0.040577557755775574,0.11504950495049505,0.0,0.04072607260726072,0.12523102310231024,1.8281683168316831,0.23902640264026404,0.09592409240924092,0.008333333333333333,0.001716171617161716,0.0
train,ct_first,False,True,1609.5625,97.875,3.98734375,3.97265625,9.12296875,30.01234375,0.858125,0.8625,0.53375,0.186875,0.04125,2.423125,0.0525,0.0425,0.44375,0.44375,0.324375,0.141875,2.59125,0.364375,0.155,0.135625,0.025625,0.0
train,ct_first,True,False,2389.6666666666665,643.8,5.552416666666667,6.286083333333333,14.139583333333333,39.190583333333336,0.55,0.5513333333333333,0.508,0.9496666666666667,0.0,0.7153333333333334,0.025333333333333333,0.053,0.12066666666666667,0.0,0.042,0.45,5.088333333333333,0.844,0.446,0.5513333333333333,0.6423333333333333,0.55
train,ct_first,True,True,2302.0,756.0,5.195,6.205,13.74,36.36,0.5,0.51,0.5,1.16,0.0,0.84,0.0,0.02,0.16,0.16,0.0,0.5,5.06,0.9,0.48,0.51,0.58,0.5
train,full,False,False,1011.4024752475248,48.65346534653465,2.5574752475247524,2.4271658415841584,5.747438118811881,18.80407178217822,0.8746369636963697,0.8794554455445545,0.834042904290429,0.1514026402640264,0.05722772277227723,3.767128712871287,0.026485148514851484,0.040544554455445546,0.11399339933993399,0.0,0.040594059405940595,0.12536303630363035,1.829983498349835,0.23942244224422443,0.09620462046204621,0.008316831683168317,0.001716171617161716,0.0
train,full,False,True,1654.75,97.875,4.03203125,4.15390625,9.42046875,30.35859375,0.855625,0.86125,0.5825,0.186875,0.04125,2.305625,0.055625,0.0425,0.39125,0.39125,0.273125,0.144375,2.6725,0.37875,0.16625,0.135625,0.025625,0.0
train,full,True,False,2389.6666666666665,643.8,5.552416666666667,6.286083333333333,14.139583333333333,39.190583333333336,0.55,0.5513333333333333,0.508,0.9496666666666667,0.0,0.7153333333333334,0.025333333333333333,0.053,0.12066666666666667,0.0,0.042,0.45,5.088333333333333,0.844,0.446,0.5513333333333333,0.6423333333333333,0.55
train,full,True,True,2302.0,756.0,5.195,6.205,13.74,36.36,0.5,0.51,0.5,1.16,0.0,0.84,0.0,0.02,0.16,0.16,0.0,0.5,5.06,0.9,0.48,0.51,0.58,0.5
train,inspection,False,False,1011.4024752475248,48.65346534653465,2.5574752475247524,2.4271658415841584,5.747438118811881,18.80407178217822,0.8746369636963697,0.8794554455445545,0.834042904290429,0.1514026402640264,0.05722772277227723,3.767128712871287,0.026485148514851484,0.040544554455445546,0.11399339933993399,0.0,0.040594059405940595,0.12536303630363035,1.829983498349835,0.23942244224422443,0.09620462046204621,0.008316831683168317,0.001716171617161716,0.0
train,inspection,False,True,1609.5625,97.875,3.98734375,3.97265625,9.12296875,30.01234375,0.858125,0.8625,0.53375,0.186875,0.04125,2.423125,0.0525,0.0425,0.44375,0.44375,0.324375,0.141875,2.59125,0.364375,0.155,0.135625,0.025625,0.0
train,inspection,True,False,2389.6666666666665,643.8,5.552416666666667,6.286083333333333,14.139583333333333,39.190583333333336,0.55,0.5513333333333333,0.508,0.9496666666666667,0.0,0.7153333333333334,0.025333333333333333,0.053,0.12066666666666667,0.0,0.042,0.45,5.088333333333333,0.844,0.446,0.5513333333333333,0.6423333333333333,0.55
train,inspection,True,True,2302.0,756.0,5.195,6.205,13.74,36.36,0.5,0.51,0.5,1.16,0.0,0.84,0.0,0.02,0.16,0.16,0.0,0.5,5.06,0.9,0.48,0.51,0.58,0.5
train,manufacturing,False,False,1010.5559405940594,48.62376237623762,2.5567491749174915,2.4236592409240925,5.74171204620462,18.798989273927393,0.8747359735973598,0.8794719471947194,0.834042904290429,0.15136963696369637,0.05722772277227723,3.769306930693069,0.026452145214521453,0.04056105610561056,0.11503300330033003,0.0,0.040693069306930695,0.12526402640264026,1.8282343234323433,0.23905940594059405,0.09594059405940594,0.008333333333333333,0.001716171617161716,0.0
train,manufacturing,False,True,1609.5625,97.875,3.98734375,3.97265625,9.12296875,30.01234375,0.858125,0.8625,0.53375,0.186875,0.04125,2.423125,0.0525,0.0425,0.44375,0.44375,0.324375,0.141875,2.59125,0.364375,0.155,0.135625,0.025625,0.0
train,manufacturing,True,False,2389.6666666666665,643.8,5.552416666666667,6.286083333333333,14.139583333333333,39.190583333333336,0.55,0.5513333333333333,0.508,0.9496666666666667,0.0,0.7153333333333334,0.025333333333333333,0.053,0.12066666666666667,0.0,0.042,0.45,5.088333333333333,0.844,0.446,0.5513333333333333,0.6423333333333333,0.55
train,manufacturing,True,True,2302.0,756.0,5.195,6.205,13.74,36.36,0.5,0.51,0.5,1.16,0.0,0.84,0.0,0.02,0.16,0.16,0.0,0.5,5.06,0.9,0.48,0.51,0.58,0.5
train,mock,False,False,1010.5303630363036,48.62376237623762,2.556720297029703,2.423560231023102,5.741538778877888,18.79881600660066,0.8747689768976897,0.8794884488448845,0.834042904290429,0.15135313531353134,0.05722772277227723,3.7693399339933995,0.026452145214521453,0.040577557755775574,0.11504950495049505,0.0,0.04072607260726072,0.12523102310231024,1.8281683168316831,0.23902640264026404,0.09592409240924092,0.008333333333333333,0.001716171617161716,0.0
train,mock,False,True,1609.5625,97.875,3.98734375,3.97265625,9.12296875,30.01234375,0.858125,0.8625,0.53375,0.186875,0.04125,2.423125,0.0525,0.0425,0.44375,0.44375,0.324375,0.141875,2.59125,0.364375,0.155,0.135625,0.025625,0.0
train,mock,True,False,2389.6666666666665,643.8,5.552416666666667,6.286083333333333,14.139583333333333,39.190583333333336,0.55,0.5513333333333333,0.508,0.9496666666666667,0.0,0.7153333333333334,0.025333333333333333,0.053,0.12066666666666667,0.0,0.042,0.45,5.088333333333333,0.844,0.446,0.5513333333333333,0.6423333333333333,0.55
train,mock,True,True,2302.0,756.0,5.195,6.205,13.74,36.36,0.5,0.51,0.5,1.16,0.0,0.84,0.0,0.02,0.16,0.16,0.0,0.5,5.06,0.9,0.48,0.51,0.58,0.5
train,prevalence,False,False,1010.5303630363036,48.62376237623762,2.556720297029703,2.423560231023102,5.741538778877888,18.79881600660066,0.8747689768976897,0.8794884488448845,0.834042904290429,0.15135313531353134,0.05722772277227723,3.7693399339933995,0.026452145214521453,0.040577557755775574,0.11504950495049505,0.0,0.04072607260726072,0.12523102310231024,1.8281683168316831,0.23902640264026404,0.09592409240924092,0.008333333333333333,0.001716171617161716,0.0
train,prevalence,False,True,1609.5625,97.875,3.98734375,3.97265625,9.12296875,30.01234375,0.858125,0.8625,0.53375,0.186875,0.04125,2.423125,0.0525,0.0425,0.44375,0.44375,0.324375,0.141875,2.59125,0.364375,0.155,0.135625,0.025625,0.0
train,prevalence,True,False,2389.6666666666665,643.8,5.552416666666667,6.286083333333333,14.139583333333333,39.190583333333336,0.55,0.5513333333333333,0.508,0.9496666666666667,0.0,0.7153333333333334,0.025333333333333333,0.053,0.12066666666666667,0.0,0.042,0.45,5.088333333333333,0.844,0.446,0.5513333333333333,0.6423333333333333,0.55
train,prevalence,True,True,2302.0,756.0,5.195,6.205,13.74,36.36,0.5,0.51,0.5,1.16,0.0,0.84,0.0,0.02,0.16,0.16,0.0,0.5,5.06,0.9,0.48,0.51,0.58,0.5
validation,ct_first,False,False,1083.9760683760683,42.76923076923077,2.590405982905983,2.7651923076923075,6.256388888888889,19.08972222222222,0.8682905982905983,0.8766666666666667,0.8312820512820512,0.15333333333333332,0.05641025641025641,3.694358974358974,0.02666666666666667,0.03743589743589744,0.11504273504273504,0.0,0.037008547008547006,0.1317094017094017,1.9285470085470084,0.2652136752136752,0.12735042735042734,0.022222222222222223,0.0029914529914529917,0.0
validation,ct_first,False,True,1386.0,90.0,3.4525,3.4275,7.77,26.685,0.905,0.905,0.4,0.13,0.02,3.89,0.035,0.035,0.6,0.6,0.505,0.095,1.9,0.295,0.16,0.0,0.0,0.0
validation,ct_first,True,False,2460.9714285714285,586.2857142857143,5.762142857142857,6.432142857142857,14.521428571428572,40.81857142857143,0.5728571428571428,0.5757142857142857,0.5242857142857142,0.9114285714285715,0.0,0.6514285714285715,0.022857142857142857,0.05142857142857143,0.12,0.0,0.04857142857142857,0.42714285714285716,5.16,0.8757142857142857,0.4857142857142857,0.5757142857142857,0.6742857142857143,0.5728571428571428
validation,full,False,False,1084.480341880342,42.76923076923077,2.5908760683760685,2.7672435897435896,6.259764957264958,19.09309829059829,0.8681196581196581,0.8765811965811966,0.8312820512820512,0.15341880341880343,0.05641025641025641,3.6931623931623934,0.02675213675213675,0.03735042735042735,0.11452991452991453,0.0,0.03683760683760684,0.13188034188034187,1.9295726495726495,0.2654700854700855,0.12752136752136753,0.022222222222222223,0.0029914529914529917,0.0
validation,full,False,True,1404.75,90.0,3.46875,3.505,7.895,26.81,0.905,0.905,0.415,0.13,0.02,3.84,0.045,0.035,0.585,0.585,0.49,0.095,1.935,0.3,0.165,0.0,0.0,0.0
validation,full,True,False,2460.9714285714285,586.2857142857143,5.762142857142857,6.432142857142857,14.521428571428572,40.81857142857143,0.5728571428571428,0.5757142857142857,0.5242857142857142,0.9114285714285715,0.0,0.6514285714285715,0.022857142857142857,0.05142857142857143,0.12,0.0,0.04857142857142857,0.42714285714285716,5.16,0.8757142857142857,0.4857142857142857,0.5757142857142857,0.6742857142857143,0.5728571428571428
validation,inspection,False,False,1084.8521367521369,42.76923076923077,2.591196581196581,2.7687820512820513,6.26224358974359,19.095576923076923,0.8681196581196581,0.8765811965811966,0.8312820512820512,0.15341880341880343,0.05641025641025641,3.692136752136752,0.02675213675213675,0.03735042735042735,0.11401709401709402,0.0,0.03683760683760684,0.13188034188034187,1.9302564102564101,0.26555555555555554,0.1276068376068376,0.022222222222222223,0.0029914529914529917,0.0
validation,inspection,False,True,1386.0,90.0,3.4525,3.4275,7.77,26.685,0.905,0.905,0.4,0.13,0.02,3.89,0.035,0.035,0.6,0.6,0.505,0.095,1.9,0.295,0.16,0.0,0.0,0.0
validation,inspection,True,False,2460.9714285714285,586.2857142857143,5.762142857142857,6.432142857142857,14.521428571428572,40.81857142857143,0.5728571428571428,0.5757142857142857,0.5242857142857142,0.9114285714285715,0.0,0.6514285714285715,0.022857142857142857,0.05142857142857143,0.12,0.0,0.04857142857142857,0.42714285714285716,5.16,0.8757142857142857,0.4857142857142857,0.5757142857142857,0.6742857142857143,0.5728571428571428
validation,manufacturing,False,False,1083.9931623931625,42.76923076923077,2.590448717948718,2.7652350427350427,6.256517094017094,19.089850427350427,0.8682051282051282,0.8765811965811966,0.8312820512820512,0.15341880341880343,0.05641025641025641,3.694358974358974,0.02666666666666667,0.03735042735042735,0.11504273504273504,0.0,0.036923076923076927,0.1317948717948718,1.9286324786324787,0.2652136752136752,0.12735042735042734,0.022222222222222223,0.0029914529914529917,0.0
validation,manufacturing,False,True,1386.0,90.0,3.4525,3.4275,7.77,26.685,0.905,0.905,0.4,0.13,0.02,3.89,0.035,0.035,0.6,0.6,0.505,0.095,1.9,0.295,0.16,0.0,0.0,0.0
validation,manufacturing,True,False,2460.9714285714285,586.2857142857143,5.762142857142857,6.432142857142857,14.521428571428572,40.81857142857143,0.5728571428571428,0.5757142857142857,0.5242857142857142,0.9114285714285715,0.0,0.6514285714285715,0.022857142857142857,0.05142857142857143,0.12,0.0,0.04857142857142857,0.42714285714285716,5.16,0.8757142857142857,0.4857142857142857,0.5757142857142857,0.6742857142857143,0.5728571428571428
validation,mock,False,False,1083.9760683760683,42.76923076923077,2.590405982905983,2.7651923076923075,6.256388888888889,19.08972222222222,0.8682905982905983,0.8766666666666667,0.8312820512820512,0.15333333333333332,0.05641025641025641,3.694358974358974,0.02666666666666667,0.03743589743589744,0.11504273504273504,0.0,0.037008547008547006,0.1317094017094017,1.9285470085470084,0.2652136752136752,0.12735042735042734,0.022222222222222223,0.0029914529914529917,0.0
validation,mock,False,True,1386.0,90.0,3.4525,3.4275,7.77,26.685,0.905,0.905,0.4,0.13,0.02,3.89,0.035,0.035,0.6,0.6,0.505,0.095,1.9,0.295,0.16,0.0,0.0,0.0
validation,mock,True,False,2460.9714285714285,586.2857142857143,5.762142857142857,6.432142857142857,14.521428571428572,40.81857142857143,0.5728571428571428,0.5757142857142857,0.5242857142857142,0.9114285714285715,0.0,0.6514285714285715,0.022857142857142857,0.05142857142857143,0.12,0.0,0.04857142857142857,0.42714285714285716,5.16,0.8757142857142857,0.4857142857142857,0.5757142857142857,0.6742857142857143,0.5728571428571428
validation,prevalence,False,False,1083.9760683760683,42.76923076923077,2.590405982905983,2.7651923076923075,6.256388888888889,19.08972222222222,0.8682905982905983,0.8766666666666667,0.8312820512820512,0.15333333333333332,0.05641025641025641,3.694358974358974,0.02666666666666667,0.03743589743589744,0.11504273504273504,0.0,0.037008547008547006,0.1317094017094017,1.9285470085470084,0.2652136752136752,0.12735042735042734,0.022222222222222223,0.0029914529914529917,0.0
validation,prevalence,False,True,1386.0,90.0,3.4525,3.4275,7.77,26.685,0.905,0.905,0.4,0.13,0.02,3.89,0.035,0.035,0.6,0.6,0.505,0.095,1.9,0.295,0.16,0.0,0.0,0.0
validation,prevalence,True,False,2460.9714285714285,586.2857142857143,5.762142857142857,6.432142857142857,14.521428571428572,40.81857142857143,0.5728571428571428,0.5757142857142857,0.5242857142857142,0.9114285714285715,0.0,0.6514285714285715,0.022857142857142857,0.05142857142857143,0.12,0.0,0.04857142857142857,0.42714285714285716,5.16,0.8757142857142857,0.4857142857142857,0.5757142857142857,0.6742857142857143,0.5728571428571428
